范围,资产编号,模型系列,资产类型,状态,文件数,大小MiB,本地位置,集中链接,SHA256,哈希类型,同一路径别名,官方获取地址,许可备注,核验口径
核心DTI登记,retargetmap_deployed,ReTargetMap,任务检查点,当前已用,1,4.722,outputs/biomaster_best_model_20260906/retargetmap_selected_v1/model.pt,data/research/dti_reliability_20260920_v1/model_assets/retargetmap_deployed,ca1ad1de8364806282bacac993fd477711c59498c42248982c441eafcc254f76,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,fixed_6000__all_inactive__binary__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.721,outputs/biomaster_endpoint_ablation_20260911/all_inactive_seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/fixed_6000__all_inactive__binary__20260921,afb20adcdd571cde1c5847cb74ebaff3ecef04b6b98487ec2f33e281bf2d303e,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,fixed_6000__all_inactive__binary__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.721,outputs/biomaster_endpoint_ablation_20260911/all_inactive_seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/fixed_6000__all_inactive__binary__20260922,b3fbc32b11fb48a82d517755052416364f779aeb62bcd1d462973d1d9d1c826d,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,fixed_6000__all_inactive__binary__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.721,outputs/biomaster_endpoint_ablation_20260911/all_inactive_seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/fixed_6000__all_inactive__binary__20260923,3a07dc1ef3b518822442861e9887a2e69ab955ff341cf72348fb25dab4701e88,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,fixed_6000__kdki_inactive__binary__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.721,outputs/biomaster_endpoint_ablation_20260911/kdki_inactive_seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/fixed_6000__kdki_inactive__binary__20260921,a356cbe3e89db97fc90dc72cefe8274d03c7694bf14e11759c1dd0f10ffc9dae,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,fixed_6000__kdki_inactive__binary__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.721,outputs/biomaster_endpoint_ablation_20260911/kdki_inactive_seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/fixed_6000__kdki_inactive__binary__20260922,777026cf6bf6d18cd1f995d10be831d863021d555537c11da5fef0725107ae7f,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,fixed_6000__kdki_inactive__binary__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.721,outputs/biomaster_endpoint_ablation_20260911/kdki_inactive_seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/fixed_6000__kdki_inactive__binary__20260923,d6b4e1c477b3f99423be1e03763d3284c6de6abef8304808f03293dd9707275e,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__all_inactive__binary__20260921,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_endpoint_multitask_20260911/all_inactive__binary__seed_20260921/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__binary__20260921,caf875dde9bc4b49164cfdb4e21ac64dfd1072e63747e9af6f1348e6e9473334,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__all_inactive__binary__20260922,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_endpoint_multitask_20260911/all_inactive__binary__seed_20260922/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__binary__20260922,29011320c118fa7d91959b4433ba5b5259eb1f838247518ed91e18be218483e1,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
核心DTI登记,multitask__all_inactive__binary__20260923,Palinova_AB,自训检查点,历史已训练；测试已查看,1,4.728,outputs/biomaster_endpoint_multitask_20260911/all_inactive__binary__seed_20260923/model.pt,data/research/dti_reliability_20260920_v1/model_assets/multitask__all_inactive__binary__20260923,d7064c7171ad55a5cf670cc7c16b5fdc69a037ebc8dbc6c631deacf59be8dafe,file_sha256,,,See model registry,9月20日冻结哈希登记；本轮复核存在/文件大小；模型目录未重复全量哈希
