范围,模型系列,资产类型,登记条目,不同路径数,大小MiB_按该组路径去重,状态
核心DTI登记,ReTargetMap,任务检查点,1,1,4.722,当前已用
核心DTI登记,Palinova_AB,自训检查点,61,61,288.3,历史已训练；测试已查看
核心DTI登记,DTIAM,自训模型目录,6,6,17620.766,历史已训练；测试已查看
核心DTI登记,ConPLex,任务检查点,1,1,12.009,当前已用
核心DTI登记,DrugCLIP,任务检查点,6,6,6863.466,当前集成成员
核心DTI登记,ProbeMatchDTI,任务检查点,1,1,74.435,当前已用
核心DTI登记,DTBind,任务检查点,3,3,17.855,当前已用；有权重；分支输入适配待核验
核心DTI登记,nesso,模型配置,1,1,0.002,当前已用
核心DTI登记,nesso,任务检查点,1,1,157.763,当前已用
核心DTI登记,EviDTI,任务检查点,3,3,857.991,有权重；当前目录适配待核验
核心DTI登记,ScopeDTI_light,任务检查点,25,25,215.075,有权重；固定目标库适用范围待核验
核心DTI登记,DTIAM,预训练编码器,1,1,260.967,仅编码器
核心DTI登记,shared_encoders,预训练编码器,1,1,2483.881,仅编码器
核心DTI登记,ProbeMatchDTI,预训练编码器,2,2,1926.881,仅编码器
核心DTI登记,TAPB,预训练编码器,1,1,178.574,仅编码器
核心DTI登记,ConPLex,预训练编码器,1,1,1605.986,仅编码器
辅助路线另列,TxGNN,辅助任务检查点,1,1,100.349,疾病图谱任务；配套config.pkl和原图谱一起使用
辅助路线另列,结构预训练教师,辅助任务检查点,1,1,128.548,几何任务教师；新训练数据对齐及部分编码缓存需恢复
