ligand_inchikey,drug_names,project_entity_ids,active_target_count,experimental_pocket_targets,recovered_no_experimental_pocket_targets,chembl37_moa_pairs,strict_positive_pairs,conflicting_pairs,grey_negative_inactive_pairs,nonstrict_activity_only_pairs,local_unreported_pairs,physical_pairs_completed,stable_physical_pairs,local_unreported_physical_support_pairs,local_unreported_stable_pairs,top_local_unreported_target,top_local_unreported_target_chembl_id,top_local_unreported_evidence_stage,drug_centric_program_rank,pair_count_d0_chembl37_recorded,pair_count_d1_external_rediscovery_control,pair_count_d2_local_unreported_stable_awaiting_literature_audit,pair_count_d3_external_non_support_hold,pair_count_d4_local_unreported_physical_not_stable,pair_count_d5_local_unreported_dta_only,pair_count_d6_target_gate_hold,pair_count_d7_literature_selectivity_risk,top_v6_literature_audit_target,top_v6_literature_audit_target_chembl_id,top_v6_literature_audit_pair_id,pair_count_v7_d0_chembl37_recorded,pair_count_v7_d1_external_rediscovery_control,pair_count_v7_d3_external_non_support_hold,pair_count_v7_d4_local_unreported_physical_not_stable,pair_count_v7_d5_local_unreported_dta_only,pair_count_v7_d6_target_gate_hold,pair_count_v7_d7_literature_selectivity_risk,pair_count_v7_v7_d0_structured_external_rediscovery,pair_count_v7_v7_d1_literature_direct_rediscovery,pair_count_v7_v7_d2_direct_enzyme_context_not_classic_target,pair_count_v7_v7_d3_kirhub_biochemical_rediscovery,pair_count_v7_v7_d4_external_assay_non_support_or_weak,pair_count_v7_v7_d5_computational_precedent_only,pair_count_v7_v7_d6_unvalidated_confounder_or_hotspot_risk,pair_count_v7_v7_d7_unvalidated_cleaner_hypothesis,top_relation_ranker_gene_v7,top_relation_ranker_target_chembl_id_v7,top_relation_ranker_rank_v7,top_relation_ranker_score_v7,top_new_target_ranker_gene_v7,top_new_target_ranker_target_chembl_id_v7,top_new_target_ranker_rank_v7,top_new_target_ranker_score_v7,kirhub_wt_pairs_tested_v7,kirhub_wt_strong_pairs_v7,common_hotspot_active_measurements_v7,common_hotspot_active_target_pairs_v7,prospective_unvalidated_case_count_v7,database_gap_rediscovery_control_count_v7,top_advanced_overall_gene_v8,top_advanced_overall_target_chembl_id_v8,top_advanced_overall_rank_v8,top_advanced_overall_score_v8,top_advanced_overall_applicability_domain_v8,top_advanced_unreported_gene_v8,top_advanced_unreported_target_chembl_id_v8,top_advanced_unreported_rank_v8,top_advanced_unreported_score_v8,top_advanced_unreported_applicability_domain_v8,v8_graph_seed_target_count,v8_external_pairs,v8_external_strict_pairs,v8_external_strict_positives,v8_mutation_application_pairs,v8_prospective_unvalidated_cases,v8_database_gap_rediscovery_controls,top_robust_coverage_gene_v9,top_robust_coverage_target_v9,top_robust_coverage_rank_v9,top_robust_coverage_score_v9,top_internal_positive_incidence_v9,v9_robust_coverage_top20_targets,v9_bindingdb_strict_positive_pairs,v9_integrated_prospective_cases,v9_structural_overrides,v10_top_seeded_gene,v10_top_seeded_target_chembl_id,v10_top_seeded_rank_185,v10_top_seeded_score,v10_top_unseeded_gene,v10_top_unseeded_target_chembl_id,v10_top_unseeded_rank_199,v10_top_unseeded_score,v10_seeded_primary_top20_targets,v10_unseeded_exploratory_top20_targets
FIKPXCOQUIZNHB-WDEREUQCSA-N,repotrectinib,UNII:08O3FQ4UNP,384,338,46,4,4,0,0,4,372,70,14,16,14,TGFBR1,CHEMBL4439,D1_STATE_OR_SEED_STABLE,1,12,6,2,8,51,106,199,0,WEE1,CHEMBL5491,FIKPXCOQUIZNHB-WDEREUQCSA-N__CHEMBL5491,12,6,8,51,106,199,0,0,0,0,1,0,0,0,1,CDK4,CHEMBL331,1.0,0.9584875516296202,CDK4,CHEMBL331,1.0,0.9353322831536952,101,33,6,4,1,1,ALK,CHEMBL4247,1.0,0.9771558800393418,AD1_HIGH_GRAPH_SUPPORT,CACNA2D2,CHEMBL3896,5.0,0.9639825004013658,AD1_HIGH_GRAPH_SUPPORT,8.0,101,93,25,4,1,1,JAK3,CHEMBL2148,1.0,0.990861618799,0.4074074074074074,20,0,1,0,ALK,CHEMBL4247,1.0,0.9320765797178324,TGFBR1,CHEMBL4439,1.0,0.9973753,20,20
YIBOMRUWOWDFLG-ONEGZZNKSA-N,rilpivirine,UNII:FI96A8X663,384,338,46,0,1,0,0,2,381,66,11,13,11,LYN,CHEMBL3905,D1_STATE_OR_SEED_STABLE,2,3,1,10,0,54,115,201,0,ACVR1,CHEMBL5903,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL5903,3,1,0,54,115,201,0,0,0,0,0,0,0,10,0,ITK,CHEMBL2959,1.0,0.8644806120042331,YES1,CHEMBL2073,1.0,0.8173383560847931,0,0,0,0,0,0,KCNH2,CHEMBL240,1.0,0.9908089401957384,AD3_LOW_GRAPH_SUPPORT,HDAC3,CHEMBL1829,2.0,0.8388618038443661,AD3_LOW_GRAPH_SUPPORT,1.0,0,0,0,0,0,0,KCNH2,CHEMBL240,1.0,0.998694516971,0.5891891891891892,20,0,0,0,LCK,CHEMBL258,1.0,0.876227631834444,MAPK10,CHEMBL2637,1.0,1.0,20,20
PDGKHKMBHVFCMG-UHFFFAOYSA-N,trilaciclib,UNII:U6072DO9XG,384,338,46,2,0,0,0,6,376,81,11,12,11,JAK2,CHEMBL2971,D1_STATE_OR_SEED_STABLE,3,8,0,10,0,62,99,204,1,ACVR1,CHEMBL5903,PDGKHKMBHVFCMG-UHFFFAOYSA-N__CHEMBL5903,8,0,0,62,99,204,1,0,0,0,0,0,0,10,0,JAK1,CHEMBL2835,1.0,0.9244986423663676,JAK2,CHEMBL2971,1.0,0.9028709311239907,0,0,0,0,0,0,SLC29A1,CHEMBL1997,1.0,0.3822008054599994,AD1_HIGH_GRAPH_SUPPORT,SLC29A1,CHEMBL1997,1.0,0.3822008054599994,AD1_HIGH_GRAPH_SUPPORT,2.0,0,0,0,0,0,0,NTRK2,CHEMBL4898,1.0,0.972584856397,0.0,20,0,0,0,CDK6,CHEMBL2508,1.0,0.8810991558696464,MAP3K5,CHEMBL5285,1.0,0.9973753,20,20
GBLBJPZSROAGMF-RWYJCYHVSA-N,pralsetinib,UNII:1WPE73O1WV,384,338,46,1,2,0,0,0,381,34,9,9,9,AURKC,CHEMBL3935,D1_STATE_OR_SEED_STABLE,4,3,2,3,4,23,145,204,0,AURKC,CHEMBL3935,GBLBJPZSROAGMF-RWYJCYHVSA-N__CHEMBL3935,3,2,4,23,145,204,0,0,0,0,2,1,0,0,0,IRAK1,CHEMBL3357,1.0,0.8949237103845228,IRAK1,CHEMBL3357,1.0,0.874523330394645,101,31,7,4,0,2,JAK2,CHEMBL2971,1.0,0.9953255874756712,AD1_HIGH_GRAPH_SUPPORT,HDAC3,CHEMBL1829,3.0,0.582452658163951,AD3_LOW_GRAPH_SUPPORT,3.0,101,98,28,4,0,2,JAK2,CHEMBL2971,1.0,0.993472584856,0.9253731343283582,20,0,0,0,GABRA3,CHEMBL3026,1.0,0.8827005846219207,IGF1R,CHEMBL1957,1.0,0.9973753,20,20
GLYMPHUVMRFTFV-QLFBSQMISA-N,ensartinib,UNII:SMA5ZS5B22,384,338,46,1,1,0,0,0,382,28,7,7,7,ROS1,CHEMBL5568,D1_STATE_OR_SEED_STABLE,5,2,0,7,0,20,151,204,0,ROS1,CHEMBL5568,GLYMPHUVMRFTFV-QLFBSQMISA-N__CHEMBL5568,2,0,0,20,151,204,0,0,1,0,0,0,0,6,0,ALK,CHEMBL4247,1.0,0.9220236058882924,ALK,CHEMBL4247,1.0,0.8278001862683141,0,0,0,0,0,1,MET,CHEMBL3717,1.0,0.9983146464421844,AD1_HIGH_GRAPH_SUPPORT,ACHE,CHEMBL220,2.0,0.9018159913346608,AD3_LOW_GRAPH_SUPPORT,2.0,0,0,0,0,0,1,MET,CHEMBL3717,1.0,0.996083550914,0.9253731343283582,20,0,0,0,RYR1,CHEMBL1846,1.0,0.957360394815606,AURKB,CHEMBL2185,1.0,1.0,20,20
NYNZQNWKBKUAII-KBXCAEBGSA-N,larotrectinib,UNII:PF9462I9HX,384,338,46,0,4,0,0,3,377,70,6,7,6,TGFBR1,CHEMBL4439,D1_STATE_OR_SEED_STABLE,6,7,0,1,6,60,107,203,0,PLA2G7,CHEMBL3514,NYNZQNWKBKUAII-KBXCAEBGSA-N__CHEMBL3514,7,0,6,60,107,203,0,0,0,0,0,0,0,1,0,MAPK3,CHEMBL3385,1.0,0.8733791827246012,MAPK3,CHEMBL3385,1.0,0.8408575706988305,103,4,0,0,0,0,NTRK3,CHEMBL5608,1.0,0.994700113898348,AD1_HIGH_GRAPH_SUPPORT,FGFR3,CHEMBL2742,2.0,0.9926468599367816,AD1_HIGH_GRAPH_SUPPORT,4.0,103,97,0,0,0,0,MAPK14,CHEMBL260,1.0,0.98955613577,0.6153846153846154,20,0,0,0,NTRK2,CHEMBL4898,1.0,0.9753358670553848,IGF1R,CHEMBL1957,1.0,1.0,20,20
HKXBNHCUPKIYDM-CGMHZMFXSA-N,doxercalciferol,UNII:3DIZ9LF5Y9,384,338,46,1,0,0,0,2,381,21,6,6,6,NR3C1,CHEMBL2034,D1_STATE_OR_SEED_STABLE,7,3,0,6,0,12,160,203,0,THRB,CHEMBL1947,HKXBNHCUPKIYDM-CGMHZMFXSA-N__CHEMBL1947,3,0,0,12,160,203,0,0,0,0,0,0,0,6,0,VDR,CHEMBL1977,1.0,0.946267762124875,NR1H4,CHEMBL2047,1.0,0.8564418699698605,0,0,0,0,0,0,GABRA3,CHEMBL3026,1.0,0.4870496401775147,AD2_MEDIUM_GRAPH_SUPPORT,GABRA3,CHEMBL3026,1.0,0.4870496401775147,AD2_MEDIUM_GRAPH_SUPPORT,1.0,0,0,0,0,0,0,CDK2,CHEMBL301,1.0,0.963446475196,0.0290964777947932,22,0,0,0,CFB,CHEMBL5731,1.0,0.80252683076168,CSNK1E,CHEMBL4937,1.0,0.9816273,20,20
KEIPNCCJPRMIAX-HNNXBMFYSA-N,futibatinib,UNII:4B93MGE4AL,384,338,46,0,5,0,1,2,376,23,7,6,6,RET,CHEMBL2041,D1_STATE_OR_SEED_STABLE,8,8,1,0,5,15,151,204,0,,,,8,1,5,15,151,204,0,0,0,0,0,0,0,0,0,SCN9A,CHEMBL4296,1.0,0.8533038908478467,EGFR,CHEMBL203,1.0,0.7998210487782772,101,8,3,1,0,0,BTK,CHEMBL5251,1.0,0.9801445338070394,AD1_HIGH_GRAPH_SUPPORT,ROS1,CHEMBL5568,2.0,0.4947876340372545,AD3_LOW_GRAPH_SUPPORT,5.0,101,93,4,1,0,0,FGFR2,CHEMBL4142,1.0,0.992167101828,0.0,20,0,0,0,BTK,CHEMBL5251,1.0,0.8653248330238634,MAPK3,CHEMBL3385,1.0,0.9895013,20,20
IIXWYSCJSQVBQM-LLVKDONJSA-N,lorlatinib,UNII:OSP71S83EU,384,338,46,1,10,0,0,19,354,67,6,6,6,MAP3K5,CHEMBL5285,D1_STATE_OR_SEED_STABLE,9,30,1,1,4,59,98,191,0,TTK,CHEMBL3983,IIXWYSCJSQVBQM-LLVKDONJSA-N__CHEMBL3983,30,1,4,59,98,191,0,0,0,0,0,0,0,0,1,ACVR1,CHEMBL5903,1.0,0.927747404638212,ACVR1,CHEMBL5903,1.0,0.9257252590001128,103,8,0,0,1,0,ROS1,CHEMBL5568,1.0,0.9892772497107436,AD1_HIGH_GRAPH_SUPPORT,TBXAS1,CHEMBL1835,5.0,0.9692330588385992,AD1_HIGH_GRAPH_SUPPORT,11.0,103,90,1,0,1,0,ACVR1,CHEMBL5903,1.0,0.998694516971,0.5891891891891892,20,0,1,0,ROS1,CHEMBL5568,1.0,0.9801942081162875,MAPK8,CHEMBL2276,1.0,1.0,20,20
HCDMJFOHIXMBOV-UHFFFAOYSA-N,pemigatinib,UNII:Y6BX7BL23K,384,338,46,3,1,0,0,14,366,31,6,6,6,RET,CHEMBL2041,D1_STATE_OR_SEED_STABLE,10,18,0,2,4,22,140,198,0,THRB,CHEMBL1947,HCDMJFOHIXMBOV-UHFFFAOYSA-N__CHEMBL1947,18,0,4,22,140,198,0,0,0,0,0,1,0,1,0,FGFR1,CHEMBL3650,1.0,0.8920108961622204,FGFR4,CHEMBL3973,1.0,0.777081526415917,101,7,0,0,0,0,FGFR4,CHEMBL3973,1.0,0.9888537197659376,AD1_HIGH_GRAPH_SUPPORT,ROS1,CHEMBL5568,2.0,0.7084387912289989,AD3_LOW_GRAPH_SUPPORT,4.0,101,92,3,0,0,0,FGFR4,CHEMBL3973,1.0,1.0,0.5891891891891892,20,0,0,0,FGFR2,CHEMBL4142,1.0,0.9350929215778812,CSNK1E,CHEMBL4937,1.0,0.9895013,20,20
