candidate_rank,project_full_inchikey,target_chembl_id,drug_name,gene_symbol,molecule_chembl_id,modeled_chembl_preferred_entity,chembl_standard_inchikey,project_vs_chembl_full_inchikey_status,source_label_vs_chembl_preferred_name_class,identity_execution_status,prodrug,pubchem_cid,pubchem_identity_status,pubchem_vendor_record_status,preassay_chemistry_flags,experimental_handling_risk_tier,risk_tier_reasons,chembl_known_mechanism_count,chembl_known_mechanisms,execution_wave,target_assay_class,primary_assay_route,orthogonal_confirmation_route,required_counterassays,active_species_requirement,execution_authorization,success_gate,deployment_branch,target_lane_evidence_status,known_target_component_count,target_family_relation,top10_view_count_of_8,top20_view_count_of_8,supportive_ge80pct_view_count_of_8,target_centered_supportive_count_of_4,drug_centered_supportive_count_of_4,minimum_directional_percentile,maximum_directional_percentile,directional_percentile_range,rank_discordance_flag,selection_bias_status,rank_rule,boltz_primary_completed,boltz_affinity_probability_binary,boltz_support_count_3seed,physical_metadata_consistency_flag,boltz_rank_within_selectively_computed_target_subset,boltz_target_subset_denominator,gnina_primary_completed,gnina_primary_cnn_affinity,gnina_cnn_rank_within_selectively_computed_target_subset,gnina_target_subset_denominator,receptor_ensemble_decision,comparison_bias,independent_exact_pair_validation_status,internal_selection_overlap,portfolio_decision_state,orthogonal_priority_reason,claim_boundary
1,RJCWBNBKOKFWNY-IDPLTSGASA-N,CHEMBL2034,omaveloxolone,NR3C1,CHEMBL4303525,OMAVELOXOLONE,RJCWBNBKOKFWNY-IDPLTSGASA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,71811910,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,CLOGP_GT_5|ENONE_ELECTROPHILE_CONTROL,R3_HIGH_SPECIAL_HANDLING,PREDECLARED_COMPOUND_SPECIFIC_R3,1,Nuclear factor erythroid 2-related factor 2 activator,W1_BLINDED_CANDIDATE_PILOT,NUCLEAR_RECEPTOR,NR3C1 coregulator-recruitment concentration response,direct NR3C1 binding or cellular GR target engagement,"known receptor pharmacology, reporter interference, mock and viability",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W1_PENDING_FROZEN_V17_PROCUREMENT_AND_RECEIVED_LOT_QC_NOT_RELEASED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,5,6,6,3,3,0.6240208877284595,1.0,0.3759791122715404,LOWER_RANGE_LT_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.6115212440490723,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,26.0,141,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W1_FROZEN_PENDING_REAL_PROCUREMENT_AND_EXPERIMENTAL_DATA,FROZEN_STANDARD_ORTHOGONAL_AND_COUNTERASSAY_ROUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
2,GCKFUYQCUCGESZ-BPIQYHPVSA-N,CHEMBL215,etonogestrel,ALOX5,CHEMBL1531,ETONOGESTREL,GCKFUYQCUCGESZ-BPIQYHPVSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,6917715,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,LOW_SOLUBILITY_HEURISTIC|BRENK_ALERT|ENONE_ELECTROPHILE_CONTROL,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,1,Progesterone receptor agonist,W1_BLINDED_CANDIDATE_PILOT,METABOLIC_OR_SIGNAL_ENZYME,ALOX5 substrate-to-product assay with required cofactors,LC-MS 5-HpETE/5-HETE or direct ALOX5 binding,"ALOX12/15, COX, iron/redox, aggregation and optical controls",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W1_PENDING_FROZEN_V17_PROCUREMENT_AND_RECEIVED_LOT_QC_NOT_RELEASED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,3,5,5,2,3,0.4631432545201669,1.0,0.5368567454798331,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.8495544195175171,2.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,5.0,158,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W1_FROZEN_PENDING_REAL_PROCUREMENT_AND_EXPERIMENTAL_DATA,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
3,YQNQNVDNTFHQSW-UHFFFAOYSA-N,CHEMBL2023,nitazoxanide,COMT,CHEMBL1401,NITAZOXANIDE,YQNQNVDNTFHQSW-UHFFFAOYSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,1,41684,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,BRENK_ALERT|NITRO_REDOX_READOUT_CONTROL|ESTER_HYDROLYSIS_STABILITY_CONTROL|MULTI_CHARGED_OR_ZWITTERION_REPRESENTATION,R3_HIGH_SPECIAL_HANDLING,PREDECLARED_COMPOUND_SPECIFIC_R3|CHEMBL_PRODRUG_FLAG,2,Pyruvate:ferredoxin oxidoreductase inhibitor | Pyruvate:ferredoxin oxidoreductase inhibitor,W1_BLINDED_CANDIDATE_PILOT,METABOLIC_OR_SIGNAL_ENZYME,COMT methyl-transfer assay with SAM/Mg2+,LC-MS product plus orthogonal SAM turnover or direct binding,"substrate stability, redox/optical, active-species and no-enzyme controls",Run parent and tizoxanide separately and quantify hydrolysis/interconversion during assay incubation.,W1_PENDING_FROZEN_V17_PROCUREMENT_AND_RECEIVED_LOT_QC_NOT_RELEASED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,2,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,5,7,7,3,4,0.4575799721835883,0.9888734353268428,0.5312934631432544,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.6586097478866577,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,5.0,127,True,5.5425753593,64.0,128,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W1_FROZEN_PENDING_REAL_PROCUREMENT_AND_EXPERIMENTAL_DATA,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
4,WBFUHHBPNXWNCC-UHFFFAOYSA-N,CHEMBL3629,acoramidis,CSNK2A1,CHEMBL3940890,ACORAMIDIS,WBFUHHBPNXWNCC-UHFFFAOYSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,71464713,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,BRENK_ALERT,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,1,Transthyretin stabiliser,W1_BLINDED_CANDIDATE_PILOT,KINASE,CSNK2A1 biochemical kinase assay at ATP near Km,radiometric assay or NanoBRET/CETSA/direct binding,"CSNK2A2, ATP shift, kinase panel, solubility and aggregation",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W1_PENDING_FROZEN_V17_PROCUREMENT_AND_RECEIVED_LOT_QC_NOT_RELEASED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,UNSEEDED_TARGET_DTA_199,EXPLORATORY_INTERNAL_SUPPORT_EXTERNAL_NOT_REPLICATED,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,6,7,7,4,3,0.6892950391644909,0.9949494949494948,0.305654455785004,LOWER_RANGE_LT_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.8744338154792786,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,1.0,150,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W1_FROZEN_PENDING_REAL_PROCUREMENT_AND_EXPERIMENTAL_DATA,FROZEN_STANDARD_ORTHOGONAL_AND_COUNTERASSAY_ROUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
5,UBZPNQRBUOBBLN-PWRODBHTSA-N,CHEMBL283,serdexmethylphenidate,MMP3,CHEMBL4301162,SERDEXMETHYLPHENIDATE,UBZPNQRBUOBBLN-PWRODBHTSA-O,FULL_INCHIKEY_REPRESENTATION_MISMATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,1,134823895,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,TPSA_GT_140|BRENK_ALERT|ESTER_HYDROLYSIS_STABILITY_CONTROL|MULTI_CHARGED_OR_ZWITTERION_REPRESENTATION,R3_HIGH_SPECIAL_HANDLING,PREDECLARED_COMPOUND_SPECIFIC_R3|CHEMBL_PRODRUG_FLAG|PROJECT_CHEMBL_FULL_KEY_REPRESENTATION_MISMATCH,2,Norepinephrine transporter inhibitor | Dopamine transporter inhibitor,W1_BLINDED_CANDIDATE_PILOT,METALLOPROTEASE_OR_PROTEASE,MMP3 peptide-cleavage assay,LC-MS cleavage/direct binding with second substrate,"MMP2/9, zinc/calcium, fluorescence, mock enzyme and active-species controls",Run parent and dexmethylphenidate separately; track project zwitterion and ChEMBL neutral representation by full key.,W1_PENDING_FROZEN_V17_PROCUREMENT_AND_RECEIVED_LOT_QC_NOT_RELEASED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,UNSEEDED_TARGET_DTA_199,EXPLORATORY_INTERNAL_SUPPORT_EXTERNAL_NOT_REPLICATED,2,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,7,8,8,4,4,0.8172323759791122,1.0,0.1827676240208877,LOWER_RANGE_LT_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.8775597810745239,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,3.0,76,True,7.184817791,11.0,76,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W1_FROZEN_PENDING_REAL_PROCUREMENT_AND_EXPERIMENTAL_DATA,FROZEN_STANDARD_ORTHOGONAL_AND_COUNTERASSAY_ROUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
6,IIXWYSCJSQVBQM-LLVKDONJSA-N,CHEMBL3983,lorlatinib,TTK,CHEMBL3286830,LORLATINIB,IIXWYSCJSQVBQM-LLVKDONJSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,71731823,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,NONE,R2_MODERATE_COUNTERASSAY,KNOWN_TARGET_BROAD_FAMILY_OVERLAP,2,EML4-ALK inhibitor | ALK tyrosine kinase receptor inhibitor,W1_BLINDED_CANDIDATE_PILOT,KINASE,TTK biochemical kinase assay at ATP near Km,NanoBRET/CETSA/direct binding with phospho-substrate readout,"ALK/ROS1, ATP shift, kinase panel and cell-cycle toxicity",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W1_PENDING_FROZEN_V17_PROCUREMENT_AND_RECEIVED_LOT_QC_NOT_RELEASED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,UNSEEDED_TARGET_DTA_199,EXPLORATORY_INTERNAL_SUPPORT_EXTERNAL_NOT_REPLICATED,3,F3_BROAD_PROTEIN_CLASS_OVERLAP,7,7,7,4,3,0.660574412532637,0.9930458970792768,0.3324714845466398,LOWER_RANGE_LT_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.9156389236450196,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,1.0,74,True,7.3871150017,17.0,74,NO_SUPPORT_ACROSS_QUALIFIED_STATES,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W1_FROZEN_PENDING_REAL_PROCUREMENT_AND_EXPERIMENTAL_DATA,FROZEN_STANDARD_ORTHOGONAL_AND_COUNTERASSAY_ROUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
7,SIFNOOUKXBRGGB-AREMUKBSSA-N,CHEMBL2808,elacestrant,NR1H3,CHEMBL4297509,ELACESTRANT,SIFNOOUKXBRGGB-AREMUKBSSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,23642301,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,CLOGP_GT_5|LOW_SOLUBILITY_HEURISTIC|BRENK_ALERT,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,1,Estrogen receptor alpha degrader,W1_BLINDED_CANDIDATE_PILOT,NUCLEAR_RECEPTOR,NR1H3/LXR-alpha coregulator-recruitment concentration response,direct LXR-alpha binding or cellular target-gene engagement,"ESR1/known target, LXR-beta, mock reporter, cytotoxicity and partitioning",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W1_PENDING_FROZEN_V17_PROCUREMENT_AND_RECEIVED_LOT_QC_NOT_RELEASED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,UNSEEDED_TARGET_DTA_199,EXPLORATORY_INTERNAL_SUPPORT_EXTERNAL_NOT_REPLICATED,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,6,8,8,4,4,0.863517060367454,0.995827538247566,0.132310477880112,LOWER_RANGE_LT_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.7692838907241821,2.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,19.0,87,True,7.6696982384,17.0,87,NO_SUPPORT_ACROSS_QUALIFIED_STATES,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W1_FROZEN_PENDING_REAL_PROCUREMENT_AND_EXPERIMENTAL_DATA,FROZEN_STANDARD_ORTHOGONAL_AND_COUNTERASSAY_ROUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
8,MXAYKZJJDUDWDS-LBPRGKRZSA-N,CHEMBL4068,ixazomib,CMA1,CHEMBL2141296,IXAZOMIB,MXAYKZJJDUDWDS-LBPRGKRZSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,25183872,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,BRENK_ALERT|BORON_COVALENT_REACTIVITY_CONTROL,R3_HIGH_SPECIAL_HANDLING,PREDECLARED_COMPOUND_SPECIFIC_R3|BORON_COVALENT_CHEMISTRY,1,26S proteasome inhibitor,W1_BLINDED_CANDIDATE_PILOT,METALLOPROTEASE_OR_PROTEASE,CMA1 cleavage assay with preincubation time series,LC-MS/activity probe/intact-protein MS,"proteasome, related proteases, dilution/washout and no-enzyme stability",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W1_PENDING_FROZEN_V17_PROCUREMENT_AND_RECEIVED_LOT_QC_NOT_RELEASED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,UNSEEDED_TARGET_DTA_199,EXPLORATORY_INTERNAL_SUPPORT_EXTERNAL_NOT_REPLICATED,38,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,5,6,6,3,3,0.344923504867872,0.9777468706536856,0.6328233657858137,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.965825080871582,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,1.0,83,True,5.9712281227,38.0,83,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W1_FROZEN_PENDING_REAL_PROCUREMENT_AND_EXPERIMENTAL_DATA,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
9,CGIGDMFJXJATDK-UHFFFAOYSA-N,CHEMBL2808,indomethacin,NR1H3,CHEMBL6,INDOMETHACIN,CGIGDMFJXJATDK-UHFFFAOYSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,3715,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,NONE,R1_STANDARD,NO_PREDECLARED_R3_OR_R2_FLAG,1,Cyclooxygenase inhibitor,W2_CONTINGENT_ONLY,NUCLEAR_RECEPTOR,NR1H3/LXR-alpha coregulator-recruitment concentration response,direct LXR-alpha binding or cellular target-gene engagement,"ESR1/known target, LXR-beta, mock reporter, cytotoxicity and partitioning",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,UNSEEDED_TARGET_DTA_199,EXPLORATORY_INTERNAL_SUPPORT_EXTERNAL_NOT_REPLICATED,2,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,4,8,8,4,4,0.8122392211404729,0.9916550764951322,0.1794158553546593,LOWER_RANGE_LT_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.7821434736251831,2.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,14.0,87,True,4.4062943459,83.0,87,NO_SUPPORT_ACROSS_QUALIFIED_STATES,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,FROZEN_STANDARD_ORTHOGONAL_AND_COUNTERASSAY_ROUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
10,MXAYKZJJDUDWDS-LBPRGKRZSA-N,CHEMBL4073,ixazomib,MMP7,CHEMBL2141296,IXAZOMIB,MXAYKZJJDUDWDS-LBPRGKRZSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,25183872,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,BRENK_ALERT|BORON_COVALENT_REACTIVITY_CONTROL,R3_HIGH_SPECIAL_HANDLING,PREDECLARED_COMPOUND_SPECIFIC_R3|BORON_COVALENT_CHEMISTRY,1,26S proteasome inhibitor,W2_CONTINGENT_ONLY,METALLOPROTEASE_OR_PROTEASE,MMP7 peptide-cleavage concentration response,LC-MS cleavage or direct binding with second substrate,"MMP2/3/9, zinc/calcium, fluorescence quench, aggregation and mock enzyme",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,UNSEEDED_TARGET_DTA_199,EXPLORATORY_INTERNAL_SUPPORT_EXTERNAL_NOT_REPLICATED,38,F3_BROAD_PROTEIN_CLASS_OVERLAP,4,8,8,4,4,0.8052851182197497,0.9921671018276762,0.1868819836079265,LOWER_RANGE_LT_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.9771406650543212,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,1.0,98,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,FROZEN_STANDARD_ORTHOGONAL_AND_COUNTERASSAY_ROUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
