target_chembl_id,gene_symbol,uniprot_accession,target_class_zh,assay_lane,target_calibration_tier,positive_compounds,negative_compounds,panel_quota_per_class,positive_pool,primary_negative_pool,all_negative_pool,panel_quality,selected_positive,selected_negative,development_rows,locked_evaluation_rows,gnina_gate_b_remote_positive_rows,gnina_gate_a_formally_evaluable,gnina_gate_a_auroc_primary_cnn_affinity,gnina_gate_a_average_precision_primary_cnn_affinity,gnina_gate_a_bedroc_alpha20_primary_cnn_affinity,gnina_gate_a_ef_5pct,gnina_gate_a_bootstrap_auroc_ci_low,gnina_gate_a_bootstrap_auroc_ci_high,gnina_gate_a_permutation_bh_q,gnina_gate_a_primary_gate_pass,gnina_gate_a_primary_gate_strong,gnina_gate_b_formally_evaluable,gnina_gate_b_auroc_primary_cnn_affinity,gnina_gate_b_average_precision_primary_cnn_affinity,gnina_gate_b_bedroc_alpha20_primary_cnn_affinity,gnina_gate_b_ef_5pct,gnina_gate_b_bootstrap_auroc_ci_low,gnina_gate_b_bootstrap_auroc_ci_high,gnina_gate_b_permutation_bh_q,gnina_gate_b_primary_gate_pass,gnina_gate_b_primary_gate_strong,gnina_target_qualification,gnina_use_policy,gate_a_scope,gate_a_rows,gate_a_positive,gate_a_negative,gate_a_formally_evaluable,gate_a_auroc_affinity_probability_binary,gate_a_average_precision_affinity_probability_binary,gate_a_auroc_secondary_ligand_iptm,gate_a_average_precision_secondary_ligand_iptm,gate_a_bedroc_alpha20_affinity_probability_binary,gate_a_bootstrap_auroc_ci_low,gate_a_bootstrap_auroc_ci_high,gate_a_permutation_p_one_sided,gate_a_ef_5pct,gate_a_permutation_bh_q,gate_a_primary_gate_pass_raw,gate_a_gate_a_dependency_pass,gate_a_primary_gate_pass,gate_a_primary_gate_strong,gate_b_scope,gate_b_rows,gate_b_positive,gate_b_negative,gate_b_formally_evaluable,gate_b_auroc_affinity_probability_binary,gate_b_average_precision_affinity_probability_binary,gate_b_auroc_secondary_ligand_iptm,gate_b_average_precision_secondary_ligand_iptm,gate_b_bedroc_alpha20_affinity_probability_binary,gate_b_bootstrap_auroc_ci_low,gate_b_bootstrap_auroc_ci_high,gate_b_permutation_p_one_sided,gate_b_ef_5pct,gate_b_permutation_bh_q,gate_b_primary_gate_pass_raw,gate_b_gate_a_dependency_pass,gate_b_primary_gate_pass,gate_b_primary_gate_strong,development_positive_n,development_negative_n,development_positive_q25,development_positive_median,development_negative_q90,development_negative_q95,development_negative_q99,boltz_target_qualification,boltz_use_policy,final_audit_status,redock_status_final,redock_best_symmetry_rmsd_A_final,pdb_id,target_chain_id,alternate_structure_used,docking_context_included,usable_experimental_pocket_instances,usable_experimental_pdbs,alternate_experimental_pdb_count,target_route,target_route_zh,qualified_models,allowed_scope_zh,next_compute_action_zh,target_route_priority,01_STRICT_AB_DISCOVERY_CORE,02_STRICT_C_DISCOVERY_RESERVE,03_LOCAL_ANALOG_BASELINE,04_RECEPTOR_PROTOCOL_REVIEW_AB,05_RECEPTOR_PROTOCOL_REVIEW_C,06_IN_DOMAIN_BELOW_BACKGROUND,07_OUT_OF_DOMAIN_EXPLORATORY,08_KNOWN_CONTROL_CALIBRATION_ONLY,09_TECHNICAL_INCOMPLETE,strict_boltz_abc_pairs,receptor_review_abc_pairs,strict_gnina_abc_pairs,P1_DUAL_STRUCTURE_SUPPORT,P2_BOLTZ_SUPPORT_GNINA_DISAGREES,P3_GNINA_SUPPORT_BOLTZ_DISAGREES,P4_BOLTZ_ONLY_APPLICABLE,P5_GNINA_ONLY_APPLICABLE,physical_union_pairs,urgent_receptor_repair
CHEMBL3514,PLA2G7,Q13093,酶（非激酶）,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,155,36,32,158.0,38.0,49.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,14.0,True,0.875,0.8705089283673844,0.983105684119956,2.0,0.7301587301587302,0.9803921568627452,0.0048899311046881,True,True,True,0.8622448979591837,0.8568842688590587,0.9785526853251956,2.0,0.7,0.9777985739750444,0.0310737852429514,True,True,REMOTE_STRONG,N1_N2_N3_INCLUDING_REMOTE,GATE_A,32.0,16.0,16.0,True,0.7421875,0.7346750919331564,0.47265625,0.5955396826786392,0.794836585106268,0.545380934854619,0.9130605285592498,0.0134932533733133,2.0,0.0337331334332833,True,True,True,True,GATE_B,28.0,14.0,14.0,True,0.7602040816326531,0.7455658953558113,0.4132653061224489,0.5377984955154782,0.8174998305049997,0.5487179487179488,0.9240716374269006,0.0069965017491254,2.0,0.0366986318161673,True,True,True,True,16.0,16.0,0.474594309926033,0.5530027449131012,0.6597391366958618,0.6900250166654587,0.7042153686285019,BOLTZ_REMOTE_QUALIFIED,MAY_RANK_LOCAL_AND_REMOTE_WITHIN_TARGET,FROZEN_PASS,PASS,0.5195,5jad,A,,False,95,32,31,E1_DUAL_REMOTE_QUALIFIED,双模型远程资格,Boltz-2+GNINA,允许N1/N2/N3；优先检验双模型一致与分歧,多seed Boltz；GNINA受体ensemble；稳定后每靶点最多2条进入MD候选,1,40,11,0,0,0,134,0,0,0,51,0,31,3,48,28,0,0,79,False
CHEMBL1947,THRB,P10828,核内/表观遗传蛋白,NUCLEAR_EPIGENETIC_DOMAIN,T1_RICH_POSITIVE_NEGATIVE,276,76,32,276.0,162.0,192.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,13.0,True,0.91796875,0.949702380952381,0.9997148114831292,2.0,0.7692028985507245,1.0,0.0048899311046881,True,True,True,0.8994082840236687,0.937146187146187,0.999443265685294,2.0,0.7272727272727273,1.0,0.0310737852429514,True,True,REMOTE_STRONG,N1_N2_N3_INCLUDING_REMOTE,GATE_A,32.0,16.0,16.0,True,0.82421875,0.8557456754631678,0.83984375,0.8975198412698413,0.992856559891216,0.6558704453441295,0.9514411027568922,0.000999500249875,2.0,0.0045289855072463,True,True,True,True,GATE_B,26.0,13.0,13.0,True,0.8461538461538461,0.8671433267587112,0.7810650887573966,0.8644927536231883,0.9938418468199116,0.6624553571428571,0.9738848039215686,0.000999500249875,2.0,0.0089632603053312,True,True,True,True,16.0,16.0,0.7224391102790833,0.7949425876140594,0.7160446643829346,0.7643933892250061,0.8757525563240051,BOLTZ_REMOTE_QUALIFIED,MAY_RANK_LOCAL_AND_REMOTE_WITHIN_TARGET,FROZEN_PASS,PASS,0.7633,1nq1,A,,False,41,30,29,E1_DUAL_REMOTE_QUALIFIED,双模型远程资格,Boltz-2+GNINA,允许N1/N2/N3；优先检验双模型一致与分歧,多seed Boltz；GNINA受体ensemble；稳定后每靶点最多2条进入MD候选,1,16,21,0,0,0,106,0,1,0,37,0,31,6,31,25,0,0,62,False
CHEMBL2808,NR1H3,Q13133,核内/表观遗传蛋白,NUCLEAR_EPIGENETIC_DOMAIN,T1_RICH_POSITIVE_NEGATIVE,322,262,32,322.0,121.0,321.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,15.0,True,0.88671875,0.904966615042046,0.9938939542901064,2.0,0.7450940700166706,0.9880987394957984,0.0071718989535426,True,True,True,0.8933333333333333,0.9089128318075684,0.9910470878016652,2.0,0.7499151583710407,1.0,0.0258948210357928,True,True,REMOTE_STRONG,N1_N2_N3_INCLUDING_REMOTE,GATE_A,32.0,16.0,16.0,True,0.7890625,0.7141771745196668,0.80078125,0.8106332234110619,0.5183026402637174,0.5950548245614035,0.9451164215686274,0.0034982508745627,1.0,0.0109085242325074,True,True,True,True,GATE_B,30.0,15.0,15.0,True,0.7866666666666666,0.7124300117953368,0.8088888888888889,0.8161461251167134,0.4998204708811076,0.5981894841269841,0.9470899470899472,0.0034982508745627,1.0,0.0206917817686901,True,True,True,True,16.0,16.0,0.6186930686235428,0.709804505109787,0.7676739692687988,0.7807613909244537,0.8098623573780059,BOLTZ_REMOTE_QUALIFIED,MAY_RANK_LOCAL_AND_REMOTE_WITHIN_TARGET,FROZEN_PASS,PASS,0.6562,3ipq,A,,False,15,7,6,E1_DUAL_REMOTE_QUALIFIED,双模型远程资格,Boltz-2+GNINA,允许N1/N2/N3；优先检验双模型一致与分歧,多seed Boltz；GNINA受体ensemble；稳定后每靶点最多2条进入MD候选,1,14,5,0,0,0,68,0,0,0,19,0,3,0,19,3,0,0,22,False
CHEMBL2208,MAPKAPK2,P49137,激酶,KINASE_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,357,439,32,532.0,408.0,554.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,13.0,True,0.8828125,0.8923873716153128,0.995710506099286,2.0,0.7568627450980392,0.9761904761904762,0.0048899311046881,True,True,True,0.8698224852071006,0.8806251440866824,0.9934635047346176,2.0,0.7083333333333334,0.9812642045454544,0.0310737852429514,True,True,REMOTE_STRONG,N1_N2_N3_INCLUDING_REMOTE,GATE_A,32.0,16.0,16.0,True,0.7109375,0.7522928634981731,0.7890625,0.7318442841880342,0.8641532123471348,0.5018744778613199,0.8809873949579832,0.0204897551224387,2.0,0.0475362318840579,True,True,True,True,GATE_B,26.0,13.0,13.0,True,0.7633136094674555,0.7930238564853949,0.7633136094674555,0.7135894020509405,0.8840199052961623,0.5345982142857143,0.9528044871794872,0.008495752123938,2.0,0.0414354226395574,True,True,True,True,16.0,16.0,0.4583884328603744,0.5114472210407257,0.6745302081108093,0.7195656895637512,0.8107652306556701,BOLTZ_REMOTE_QUALIFIED,MAY_RANK_LOCAL_AND_REMOTE_WITHIN_TARGET,FROZEN_PASS,PASS,0.5386,3r2y,A,,False,82,24,23,E1_DUAL_REMOTE_QUALIFIED,双模型远程资格,Boltz-2+GNINA,允许N1/N2/N3；优先检验双模型一致与分歧,多seed Boltz；GNINA受体ensemble；稳定后每靶点最多2条进入MD候选,1,4,3,0,0,0,45,0,0,0,7,0,5,0,7,5,0,0,12,False
CHEMBL4128,TEK,Q02763,激酶,KINASE_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,394,169,32,392.0,77.0,206.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,15.0,True,0.7578125,0.6654868415897828,0.280539412938966,0.0,0.5674438500096395,0.93147619047619,0.0262969628296562,True,True,True,0.7955555555555556,0.6826637251637252,0.258978656295214,0.0,0.5821755952380953,0.9732142857142856,0.0561054455775511,True,True,REMOTE_STRONG,N1_N2_N3_INCLUDING_REMOTE,GATE_A,32.0,16.0,16.0,True,0.9453125,0.953607978279031,0.39453125,0.4942355035106393,0.9996489375348642,0.8587815126050421,1.0,0.0004997501249375,2.0,0.0027344818156959,True,True,True,True,GATE_B,30.0,15.0,15.0,True,0.9377777777777778,0.9477040388805094,0.3688888888888889,0.4879043601932312,0.9995738994686488,0.8449687499999999,1.0,0.0004997501249375,2.0,0.0053434821051012,True,True,True,True,16.0,16.0,0.3609911426901817,0.839423805475235,0.8046371340751648,0.8255850821733475,0.8619598776102065,BOLTZ_REMOTE_QUALIFIED,MAY_RANK_LOCAL_AND_REMOTE_WITHIN_TARGET,FROZEN_PASS,PASS,0.408,2osc,A,,False,19,11,10,E1_DUAL_REMOTE_QUALIFIED,双模型远程资格,Boltz-2+GNINA,允许N1/N2/N3；优先检验双模型一致与分歧,多seed Boltz；GNINA受体ensemble；稳定后每靶点最多2条进入MD候选,1,5,2,1,0,0,59,0,0,0,7,0,6,1,6,5,0,0,12,False
CHEMBL3973,FGFR4,P22455,激酶,KINASE_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,1315,137,32,1342.0,102.0,233.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,12.0,True,0.78125,0.798515124670016,0.8661830798239034,2.0,0.5960723039215685,0.94140625,0.0232271727472687,True,True,True,0.8125000000000001,0.8177038239538239,0.8928873674701756,2.0,0.5925925925925927,0.9857142857142857,0.0679739052189562,True,True,REMOTE_STRONG,N1_N2_N3_INCLUDING_REMOTE,GATE_A,32.0,16.0,16.0,True,0.8046875,0.8027664175206746,0.63671875,0.6481077479209596,0.9219634371019604,0.6454112992270887,0.94140625,0.0029985007496251,2.0,0.0097703957010258,True,True,True,True,GATE_B,24.0,12.0,12.0,True,0.8472222222222222,0.8629722129722129,0.6874999999999999,0.6986135263515294,0.9895490070200428,0.6643344155844156,0.9851984126984128,0.000999500249875,2.0,0.0089632603053312,True,True,True,True,16.0,16.0,0.287681370973587,0.5052551478147507,0.63360196352005,0.6519329845905304,0.6773143351078034,BOLTZ_REMOTE_QUALIFIED,MAY_RANK_LOCAL_AND_REMOTE_WITHIN_TARGET,FROZEN_PASS,PASS,1.3013,4qrc,A,,False,96,48,47,E1_DUAL_REMOTE_QUALIFIED,双模型远程资格,Boltz-2+GNINA,允许N1/N2/N3；优先检验双模型一致与分歧,多seed Boltz；GNINA受体ensemble；稳定后每靶点最多2条进入MD候选,1,6,2,0,0,0,58,0,0,0,8,0,0,0,8,0,0,0,8,False
CHEMBL3935,AURKC,Q9UQB9,激酶,KINASE_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,67,131,32,68.0,38.0,155.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,16.0,True,0.8046875,0.8322610312131746,0.961079652323954,2.0,0.6318070409982175,0.9490245863970588,0.0116933135112108,True,True,True,0.8046875,0.8322610312131746,0.961079652323954,2.0,0.6235294117647059,0.9450980392156862,0.036992601479704,True,True,REMOTE_STRONG,N1_N2_N3_INCLUDING_REMOTE,GATE_A,32.0,16.0,16.0,True,0.76953125,0.7920043697991213,0.796875,0.8347657733348524,0.8659844245309756,0.581782531194296,0.9250122549019608,0.0044977511244377,2.0,0.0135869565217391,True,True,True,True,GATE_B,32.0,16.0,16.0,True,0.76953125,0.7920043697991213,0.796875,0.8347657733348524,0.8659844245309756,0.5685892538833716,0.9227527605244996,0.0054972513743128,2.0,0.0299654094521366,True,True,True,True,16.0,16.0,0.3931975960731506,0.5173134207725525,0.5656292736530304,0.6314734369516373,0.7157278805971146,BOLTZ_REMOTE_QUALIFIED,MAY_RANK_LOCAL_AND_REMOTE_WITHIN_TARGET,FROZEN_PASS,PASS,0.4925,6gr8,A,,False,3,2,1,E1_DUAL_REMOTE_QUALIFIED,双模型远程资格,Boltz-2+GNINA,允许N1/N2/N3；优先检验双模型一致与分歧,多seed Boltz；GNINA受体ensemble；稳定后每靶点最多2条进入MD候选,1,4,0,0,0,0,52,0,0,0,4,0,4,1,3,3,0,0,7,False
CHEMBL2326,CA7,P43166,酶（非激酶）,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,1336,34,32,1205.0,70.0,75.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,11.0,True,0.95703125,0.966394927536232,0.9998347730241708,2.0,0.8745098039215686,1.0,0.0048899311046881,True,True,True,0.9421487603305784,0.9646464646464648,0.9999328241890394,2.0,0.8035714285714286,1.0,0.0258948210357928,True,True,REMOTE_STRONG,N1_N2_N3_INCLUDING_REMOTE,GATE_A,32.0,16.0,16.0,True,0.9296875,0.9147188074868028,1.0,1.0,0.9794403813791092,0.8173611111111111,1.0,0.0004997501249375,2.0,0.0027344818156959,True,True,True,True,GATE_B,22.0,11.0,11.0,True,0.9008264462809916,0.8826645576645578,1.0,1.0,0.9608950634464852,0.7320684523809524,1.0,0.0004997501249375,2.0,0.0053434821051012,True,True,True,True,16.0,16.0,0.9632212668657304,0.9796148538589478,0.9320275485515594,0.9390304088592528,0.9456273555755615,BOLTZ_REMOTE_QUALIFIED,MAY_RANK_LOCAL_AND_REMOTE_WITHIN_TARGET,FROZEN_PASS,PASS,0.4625,3mdz,A,,True,30,13,12,E1_DUAL_REMOTE_QUALIFIED,双模型远程资格,Boltz-2+GNINA,允许N1/N2/N3；优先检验双模型一致与分歧,多seed Boltz；GNINA受体ensemble；稳定后每靶点最多2条进入MD候选,1,1,1,0,0,0,115,0,0,0,2,0,4,0,2,4,0,0,6,False
CHEMBL5443,CDC7,O00311,激酶,KINASE_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,196,139,32,196.0,141.0,142.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,10.0,True,0.7265625,0.7773267704517705,0.9711581341213584,2.0,0.5356817524580683,0.8980491727941177,0.0603949385561484,True,True,True,0.8600000000000001,0.9118181818181816,0.9992401606174042,2.0,0.6262310606060605,1.0,0.0561054455775511,True,True,REMOTE_STRONG,N1_N2_N3_INCLUDING_REMOTE,GATE_A,32.0,16.0,16.0,True,0.84765625,0.8314886020419743,0.8203125,0.846119678932179,0.8662164477070484,0.680150082236842,0.979767126148705,0.0014992503748125,2.0,0.005720823798627,True,True,True,True,GATE_B,20.0,10.0,10.0,True,0.83,0.8309920634920633,0.73,0.7860279997779998,0.9143765844971448,0.6098598901098901,1.0,0.0054972513743128,2.0,0.0299654094521366,True,True,True,True,16.0,16.0,0.7059691846370697,0.7613999843597412,0.8420268595218658,0.891476109623909,0.961227598786354,BOLTZ_REMOTE_QUALIFIED,MAY_RANK_LOCAL_AND_REMOTE_WITHIN_TARGET,FROZEN_PASS,PASS,0.3059,4f9c,A,,False,18,7,6,E1_DUAL_REMOTE_QUALIFIED,双模型远程资格,Boltz-2+GNINA,允许N1/N2/N3；优先检验双模型一致与分歧,多seed Boltz；GNINA受体ensemble；稳定后每靶点最多2条进入MD候选,1,0,3,0,0,0,84,0,0,0,3,0,3,1,2,2,0,0,5,False
CHEMBL331,CDK4,P11802,激酶,KINASE_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,1126,366,32,1166.0,266.0,384.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,12.0,True,0.8203125,0.8677119335637482,0.9957172919353872,2.0,0.6509757236227824,0.9607843137254902,0.0124129020349776,True,True,True,0.8263888888888888,0.8966528640441683,0.999503465101964,2.0,0.6142063492063491,1.0,0.0517896420715856,True,True,REMOTE_STRONG,N1_N2_N3_INCLUDING_REMOTE,GATE_A,32.0,16.0,16.0,True,0.98046875,0.9805183531746032,0.859375,0.874177366262964,0.9997542315782828,0.9350281554383116,1.0,0.0004997501249375,2.0,0.0027344818156959,True,True,True,True,GATE_B,24.0,12.0,12.0,True,0.9930555555555556,0.9935897435897436,0.875,0.8814200301332655,0.9999666019550836,0.9571428571428572,1.0,0.0004997501249375,2.0,0.0053434821051012,True,True,True,True,16.0,16.0,0.7060650885105133,0.8377980589866638,0.8002851903438568,0.8374461233615875,0.8890121281147003,BOLTZ_REMOTE_QUALIFIED,MAY_RANK_LOCAL_AND_REMOTE_WITHIN_TARGET,FROZEN_PASS,PASS,1.3621,7sj3,A,,False,4,4,3,E1_DUAL_REMOTE_QUALIFIED,双模型远程资格,Boltz-2+GNINA,允许N1/N2/N3；优先检验双模型一致与分歧,多seed Boltz；GNINA受体ensemble；稳定后每靶点最多2条进入MD候选,1,1,0,0,0,0,62,0,1,0,1,0,2,1,0,1,0,0,2,False
