pairId,project_entity_ids,drug_names,ligand_inchikey,ligand_smiles,target_chembl_id,gene_symbol,target_class_zh,assay_lane,result_category,result_category_zh,recommended_use_zh,boltz_evidence_tier,boltzAffinityProbabilityBinary,boltzLigandIptm,boltz_target_qualification,gnina_structure_evidence_tier,dual_structure_support_ab,dta_bidirectional_top10pct_concordant,conplex_rank_within_target,conplex_rank_within_ligand,drugclip_rank_within_target,drugclip_rank_within_ligand,novelty_class,max_tanimoto_to_target_positive,receptor_protocol_status,redock_status,redock_best_symmetry_rmsd_A,effective_known_control,known_flag_conflict,technical_status_zh,task_code,start_condition,planned_runs
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL2023,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL2023,COMT,酶（非激酶）,ENZYME_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_REMOTE_QUALIFIED,OUT_OF_DOMAIN_EXPLORATORY,False,False,492.0,24.0,176.0,57.0,N3_REMOTE,0.2,FROZEN_PASS,PASS,1.5802,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL203,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL203,EGFR,激酶,KINASE_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_REMOTE_QUALIFIED,,False,False,90.0,1.0,521.0,176.0,N3_REMOTE,0.2717391304347826,FROZEN_PASS,PASS,1.0644,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL6009,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL6009,DGAT1,酶（非激酶）,ENZYME_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_REMOTE_QUALIFIED,,False,False,572.0,25.0,185.0,87.0,N3_REMOTE,0.2183908045977011,FROZEN_REVIEW_REDOCK_FAILED,FAIL_RMSD_GT_2P5,4.1732,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL4439,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL4439,TGFBR1,激酶,KINASE_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_REMOTE_QUALIFIED,,False,False,456.0,234.5,18.0,5.0,N3_REMOTE,0.2278481012658227,FROZEN_PASS,PASS,1.2791,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL3629,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL3629,CSNK2A1,激酶,KINASE_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_REMOTE_QUALIFIED,,False,False,577.5,234.5,55.0,10.0,N3_REMOTE,0.2150537634408602,FROZEN_PASS,PASS,1.9404,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL5568,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL5568,ROS1,激酶,KINASE_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_REMOTE_QUALIFIED,,False,False,251.0,8.0,535.0,156.0,N3_REMOTE,0.2105263157894736,FROZEN_PASS,PASS,0.9517,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL3116,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL3116,CDK9,激酶,KINASE_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_REMOTE_QUALIFIED,,False,False,456.0,234.5,135.0,16.0,N3_REMOTE,0.2444444444444444,FROZEN_PASS,PASS,0.4037,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL1974,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL1974,FLT3,激酶,KINASE_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_REMOTE_QUALIFIED,,False,False,104.0,6.0,635.0,294.0,N3_REMOTE,0.2688172043010752,FROZEN_PASS,PASS,1.7779,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL4937,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL4937,CSNK1E,激酶,KINASE_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_REMOTE_QUALIFIED,,False,False,523.5,234.5,196.0,25.0,N3_REMOTE,0.198019801980198,FROZEN_PASS,PASS,1.2964,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL279,UNII:ITX08688JL,quinidine,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CHEMBL279,KDR,激酶,KINASE_BIOCHEMICAL,09_TECHNICAL_INCOMPLETE,技术未完成,修正配体构象或模型输入后重算,TECHNICAL_INCOMPLETE,,,BOLTZ_REMOTE_QUALIFIED,,False,False,228.0,21.0,547.0,229.0,N3_REMOTE,0.2619047619047619,FROZEN_PASS,PASS,0.3482,False,False,Boltz技术未完成,C0_QUINIDINE_INPUT_REPAIR,enumerate correct stereochemistry/protonation and generate valid conformer,1
