drug_names,pair_count,http_status,returned_records,total_api_matches,eligible_single_drug_label_count,unique_eligible_indication_texts,combination_records,indications_text,source_urls,all_eligible_set_ids,label_status,api_last_updated
3-iodobenzylguanidine,1,404,0,0,0,0,0,,,,NO_USABLE_SINGLE_DRUG_LABEL,
acetaminophen,2,200,30,3537,1,1,16,"Uses temporarily reduces fever relieves minor aches, pains, and headache",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3561bbc3-53b0-4857-8b71-39e165ed95ce,3561bbc3-53b0-4857-8b71-39e165ed95ce,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
aclidinium,1,200,2,2,1,1,1,1 INDICATIONS AND USAGE TUDORZA® PRESSAIR® (aclidinium bromide inhalation powder) is indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). TUDORZA PRESSAIR is an anticholinergic indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). (1),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6f92cceb-a63f-4470-99b6-56179d98f10f,6f92cceb-a63f-4470-99b6-56179d98f10f,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
afatinib,2,200,2,2,2,2,0,"1 INDICATIONS AND USAGE Afatinib tablets are a kinase inhibitor indicated for: • First-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test ( 1.1 ) Limitations of Use : Safety and efficacy of afatinib tablets were not established in patients whose tumors have resistant EGFR mutations ( 1.1 ) • Treatment of patients with metastatic, squamous NSCLC progressing after platinum-based chemotherapy ( 1.2 ) 1.1 EGFR Mutation-Positive, Metastatic Non-Small Cell Lung Cancer Afatinib tablets are indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test [see Dosage and Administration (2.1), Clinical Pharmacology (12.1), Clinical Studies (14.1)]. Limitations of Use : The safety and efficacy of afatinib tablets have not been established in patients whose tumors have resistant EGFR mutations [ see Clinical Studies (14.1)] . 1.2 Previously Treated, Metastatic Squamous NSCLC Afatinib tablets are indicated for the treatment of patients with metastatic squamous NSCLC progressing after platinum-based chemotherapy.

[LABEL]
1 INDICATIONS AND USAGE GILOTRIF is a kinase inhibitor indicated for: First-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test ( 1.1 ) Limitations of Use : Safety and efficacy of GILOTRIF were not established in patients whose tumors have resistant EGFR mutations ( 1.1 ) Treatment of patients with metastatic, squamous NSCLC progressing after platinum-based chemotherapy ( 1.2 ) 1.1 EGFR Mutation-Positive, Metastatic Non-Small Cell Lung Cancer GILOTRIF is indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test [see Dosage and Administration (2.1) , Clinical Pharmacology (12.1) , Clinical Studies (14.1) ]. Limitations of Use : The safety and efficacy of GILOTRIF have not been established in patients whose tumors have resistant EGFR mutations [see Clinical Studies (14.1) ]. 1.2 Previously Treated, Metastatic Squamous NSCLC GILOTRIF is indicated for the treatment of patients with metastatic squamous NSCLC progressing after platinum-based chemotherapy .",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ec5b9e00-3eab-4dbd-9bb3-75865b1af485;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fd638e5e-8032-e7ca-0179-95e96ab5d387,ec5b9e00-3eab-4dbd-9bb3-75865b1af485;fd638e5e-8032-e7ca-0179-95e96ab5d387,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
albuterol,1,200,30,134,24,11,6,"1 INDICATIONS AND USAGE Albuterol Sulfate Inhalation Aerosol is a beta 2 -adrenergic agonist indicated for: Treatment or prevention of bronchospasm in patients 4 years of age and older with reversible obstructive airway disease. ( 1.1 ) Prevention of exercise-induced bronchospasm in patients 4 years of age and older. ( 1.2 ) 1.1 Bronchospasm Albuterol Sulfate Inhalation Aerosol is indicated for the treatment or prevention of bronchospasm in patients 4 years of age and older with reversible obstructive airway disease. 1.2 Exercise-Induced Bronchospasm Albuterol Sulfate Inhalation Aerosol is indicated for the prevention of exercise-induced bronchospasm in patients 4 years of age and older.

[LABEL]
INDICATIONS AND USAGE Albuterol sulfate inhalation aerosol is indicated in adults and children 4 years of age and older for the treatment or prevention of bronchospasm with reversible obstructive airway disease and for the prevention of exercise-induced bronchospasm.

[LABEL]
INDICATIONS AND USAGE Albuterol inhalation solution is indicated for the relief of bronchospasm in patients 12 years of age and older with reversible obstructive airway disease and acute attacks of bronchospasm.

[LABEL]
INDICATIONS AND USAGE Albuterol inhalation solution is indicated for the relief of bronchospasm in patients 2 years of age and older with reversible obstructive airway disease and acute attacks of bronchospasm.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=17858afa-dcdf-4612-b475-3b6baadfb639;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=583c6408-45cc-9121-e063-6294a90afcc4;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3236f82c-14e9-dfd4-e063-6294a90ac43d;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=32377c09-da6d-331c-e063-6294a90a7a46,17858afa-dcdf-4612-b475-3b6baadfb639;583c6408-45cc-9121-e063-6294a90afcc4;3236f82c-14e9-dfd4-e063-6294a90ac43d;32377c09-da6d-331c-e063-6294a90a7a46;32474c0e-af35-69d1-e063-6394a90a53c6;d4c532be-1f41-60d3-e053-2995a90a98be;32d954ee-9790-4beb-95db-72dbf8efa639;440a96bb-9e69-bdcc-e063-6294a90a6793;d2132c1c-0f90-4c6f-afc0-f3814b6a7e5c;a22af54a-c010-ab8b-e053-2a95a90a8862;230d66fc-f62c-42a6-adb3-0a0f879c8ad4,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
alpelisib,2,200,2,2,2,2,0,"1 INDICATIONS AND USAGE PIQRAY is indicated in combination with fulvestrant for the treatment of adults with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, PIK3CA-mutated, advanced or metastatic breast cancer as detected by an FDA-approved test following progression on or after an endocrine-based regimen. PIQRAY is a kinase inhibitor indicated in combination with fulvestrant for the treatment of adults with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, PIK3CA-mutated, advanced or metastatic breast cancer as detected by an FDA-approved test following progression on or after an endocrine-based regimen.

[LABEL]
1 INDICATIONS AND USAGE VIJOICE is indicated for the treatment of adult and pediatric patients 2 years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy. This indication is approved under accelerated approval based on response rate and duration of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s). VIJOICE is a kinase inhibitor indicated for the treatment of adult and pediatric patients 2 years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy. This indication is approved under accelerated approval based on response rate and duration of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s). ( 1 )",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b20b4e18-7a4b-4500-a08f-06c6dab0ee5b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=638069a4-aee0-46c9-9e21-54ad449c163c,b20b4e18-7a4b-4500-a08f-06c6dab0ee5b;638069a4-aee0-46c9-9e21-54ad449c163c,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
alprazolam,1,200,30,79,30,9,0,"1 INDICATIONS AND USAGE Alprazolam tablets are indicated for the: acute treatment of generalized anxiety disorder (GAD) in adults. treatment of panic disorder (PD), with or without agoraphobia in adults. Alprazolam tablets are a benzodiazepine indicated for the: Acute treatment of generalized anxiety disorder in adults. ( 1 ) Treatment of panic disorder with or without agoraphobia in adults. ( 1 )

[LABEL]
1 INDICATIONS AND USAGE Alprazolam tablets are indicated for the: acute treatment of generalized anxiety disorder (GAD) in adults. treatment of panic disorder (PD), with or without agoraphobia in adults. Alprazolam is a benzodiazepine indicated for the: Acute treatment of generalized anxiety disorder in adults. ( 1 ) Treatment of panic disorder with or without agoraphobia in adults. ( 1 )

[LABEL]
1 INDICATIONS AND USAGE Alprazolam extended-release tablets are indicated for the treatment of panic disorder with or without agoraphobia, in adults. Alprazolam extended-release tablets are a benzodiazepine indicated for the treatment of panic disorder with or without agoraphobia, in adults. ( 1 )

[LABEL]
1 INDICATIONS AND USAGE Alprazolam orally disintegrating tablets are a benzodiazepine indicated for: The treatment of generalized anxiety disorder ( 1.1 ). The efficacy of alprazolam was demonstrated in 5 short-term, placebo-controlled trials ( 14 ). The treatment of panic disorder, with or without agoraphobia ( 1.2 ). The efficacy of alprazolam in the treatment of panic disorder was established in 2 short-term, placebo-controlled trials ( 14 ). 1.1 Generalized Anxiety Disorder Alprazolam orally disintegrating tablets, USP are indicated for the treatment of generalized anxiety disorder. The efficacy of alprazolam in the treatment of generalized anxiety disorder was demonstrated in 5 short-term, placebo-controlled trials [see Clinical Studies ( 14.1 )] . 1.2 Panic Disorder Alprazolam orally disintegrating tablets, USP are also indicated for the treatment of panic disorder, with or without agoraphobia. The efficacy of alprazolam in the treatment of panic disorder was established in 2 short-term, placebo-controlled trials [see Clinical Studies ( 14.2 )] . Demonstrations of the effectiveness of alprazolam by systematic clinical study are limited to 4 months in duration for generalized anxiety disorder and 4 to 10 weeks duration for panic disorder; however, patients with panic disorder have been treated on an open basis for up to 8 months without apparent loss of benefit. The physician should periodically reassess the usefulness of the drug for the individual patient.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=563e09db-2f3d-4ce8-b356-ae44477be6d0;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0cf8b567-201b-44fa-8fd3-c74023aff44f;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aaab422d-c763-4352-8ffc-5aafdf91e8dd;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ff1630b4-2044-433c-96bc-0bb4ae8d42a0,563e09db-2f3d-4ce8-b356-ae44477be6d0;0cf8b567-201b-44fa-8fd3-c74023aff44f;aaab422d-c763-4352-8ffc-5aafdf91e8dd;ff1630b4-2044-433c-96bc-0bb4ae8d42a0;3cf95203-c8b4-9f06-e063-6394a90abc9c;f6dd8005-1d50-41bc-e053-6394a90ac45b;c6795ed8-af28-41f4-b85b-48e1fe9d0369;b3c55877-2538-4892-bdb1-d618c643d29c;3c0cb60f-1c3a-48a6-ad16-f14351548412,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
alvimopan,1,200,4,4,4,1,0,1 INDICATIONS AND USAGE Alvimopan capsules are indicated to accelerate the time to upper and lower gastrointestinal recovery following surgeries that include partial bowel resection with primary anastomosis. Alvimopan capsules are an opioid antagonist indicated to accelerate the time to upper and lower gastrointestinal recovery following surgeries that include partial bowel resection with primary anastomosis. ( 1 ),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=10e39d3b-8621-16f8-e063-6294a90a254e,10e39d3b-8621-16f8-e063-6294a90a254e,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
amantadine,1,200,30,57,30,20,0,"INDICATIONS AND USAGE Amantadine hydrochloride capsules are indicated for the prophylaxis and treatment of signs and symptoms of infection caused by various strains of influenza A virus. Amantadine hydrochloride capsules are also indicated in the treatment of parkinsonism and drug-induced extrapyramidal reactions. Influenza A Prophylaxis Amantadine hydrochloride capsules are indicated for chemoprophylaxis against signs and symptoms of influenza A virus infection. Because amantadine does not completely prevent the host immune response to influenza A infection, individuals who take this drug may still develop immune responses to natural disease or vaccination and may be protected when later exposed to antigenically related viruses. Following vaccination during an influenza A outbreak, amantadine prophylaxis should be considered for the 2- to 4-week time period required to develop an antibody response. Influenza A Treatment Amantadine hydrochloride capsules are also indicated in the treatment of uncomplicated respiratory tract illness caused by influenza A virus strains especially when administered early in the course of illness. There are no well-controlled clinical studies demonstrating that treatment with amantadine hydrochloride capsules will avoid the development of influenza A virus pneumonitis or other complications in high risk patients. There is no clinical evidence indicating that amantadine hydrochloride capsules are effective in the prophylaxis or treatment of viral respiratory tract illnesses other than those caused by influenza A virus strains. The following points should be considered before initiating treatment or prophylaxis with amantadine hydrochloride capsules. Amantadine hydrochloride capsules are not a substitute for early vaccination on an annual basis as recommended by the Centers for Disease Control and Prevention Advisory Committee on Immunization Practices. Influenza viruses change over time. Emergence of resistance mutations could decrease drug effectiveness. Other factors (for example, changes in viral virulence) might also diminish clinical benefit of antiviral drugs. Prescribers should consider available information on influenza drug susceptibility patterns and treatment effects when deciding whether to use amantadine hydrochloride capsules. Parkinson’s Disease/Syndrome Amantadine hydrochloride capsules are indicated in the treatment of idiopathic Parkinson’s disease (Paralysis Agitans), postencephalitic parkinsonism and symptomatic parkinsonism which may follow injury to the nervous system by carbon monoxide intoxication. It is indicated in those elderly patients believed to develop parkinsonism in association with cerebral arteriosclerosis. In the treatment of Parkinson’s disease, amantadine is less effective than levodopa, (-)-3-(3,4-dihydroxyphenyl)-L-alanine, and its efficacy in comparison with the anticholinergic antiparkinson drugs has not yet been established. Drug-Induced Extrapyramidal Reactions Amantadine hydrochloride is indicated in the treatment of drug-induced extrapyramidal reactions. Although anticholinergic-type side effects have been noted with amantadine when used in patients with drug-induced extrapyramidal reactions, there is a lower incidence of these side effects than that observed with the anticholinergic antiparkinson drugs.

[LABEL]
INDICATIONS AND USAGE Amantadine hydrochloride capsules, USP are indicated for the prophylaxis and treatment of signs and symptoms of infection caused by various strains of influenza A virus. Amantadine hydrochloride capsules, USP are also indicated in the treatment of parkinsonism and drug-induced extrapyramidal reactions. Influenza A Prophylaxis Amantadine hydrochloride capsules, USP are indicated for chemoprophylaxis against signs and symptoms of influenza A virus infection. Because amantadine does not completely prevent the host immune response to influenza A infection, individuals who take this drug may still develop immune responses to natural disease or vaccination and may be protected when later exposed to antigenically related viruses. Following vaccination during an influenza A outbreak, amantadine prophylaxis should be considered for the 2- to 4-week time period required to develop an antibody response. Influenza A Treatment Amantadine hydrochloride capsules, USP are also indicated in the treatment of uncomplicated respiratory tract illness caused by influenza A virus strains especially when administered early in the course of illness. There are no well-controlled clinical studies demonstrating that treatment with amantadine hydrochloride capsules, USP will avoid the development of influenza A virus pneumonitis or other complications in high risk patients. There is no clinical evidence indicating that amantadine hydrochloride capsules, USP are effective in the prophylaxis or treatment of viral respiratory tract illnesses other than those caused by influenza A virus strains. The following points should be considered before initiating treatment or prophylaxis with amantadine hydrochloride capsules, USP. Amantadine hydrochloride capsules, USP are not a substitute for early vaccination on an annual basis as recommended by the Centers for Disease Control and Prevention Advisory Committee on Immunization Practices. Influenza viruses change over time. Emergence of resistance mutations could decrease drug effectiveness. Other factors (for example, changes in viral virulence) might also diminish clinical benefit of antiviral drugs. Prescribers should consider available information on influenza drug susceptibility patterns and treatment effects when deciding whether to use amantadine hydrochloride capsules, USP. Parkinson’s Disease/Syndrome Amantadine hydrochloride capsules, USP are indicated in the treatment of idiopathic Parkinson's disease (Paralysis Agitans), postencephalitic parkinsonism and symptomatic parkinsonism which may follow injury to the nervous system by carbon monoxide intoxication. It is indicated in those elderly patients believed to develop parkinsonism in association with cerebral arteriosclerosis. In the treatment of Parkinson's disease, amantadine is less effective than levodopa, (-)-3-(3,4-dihydroxyphenyl)-L-alanine, and its efficacy in comparison with the anticholinergic antiparkinson drugs has not yet been established. Drug-Induced Extrapyramidal Reactions Amantadine hydrochloride is indicated in the treatment of drug-induced extrapyramidal reactions. Although anticholinergic-type side effects have been noted with amantadine when used in patients with drug-induced extrapyramidal reactions, there is a lower incidence of these side effects than that observed with the anticholinergic antiparkinson drugs.

[LABEL]
INDICATIONS AND USAGE Amantadine hydrochloride capsules, USP are indicated for the prophylaxis and treatment of signs and symptoms of infection caused by various strains of influenza A virus. Amantadine hydrochloride capsules, USP are also indicated in the treatment of parkinsonism and drug-induced extrapyramidal reactions. Influenza A Prophylaxis Amantadine hydrochloride capsules, USP are indicated for chemoprophylaxis against signs and symptoms of influenza A virus infection. Because amantadine does not completely prevent the host immune response to influenza A infection, individuals who take this drug may still develop immune responses to natural disease or vaccination and may be protected when later exposed to antigenically related viruses. Following vaccination during an influenza A outbreak, amantadine prophylaxis should be considered for the 2- to 4-week time period required to develop an antibody response. Influenza A Treatment Amantadine hydrochloride capsules, USP are also indicated in the treatment of uncomplicated respiratory tract illness caused by influenza A virus strains especially when administered early in the course of illness. There are no well-controlled clinical studies demonstrating that treatment with amantadine hydrochloride capsules, USP will avoid the development of influenza A virus pneumonitis or other complications in high risk patients. There is no clinical evidence indicating that amantadine hydrochloride capsules, USP are effective in the prophylaxis or treatment of viral respiratory tract illnesses other than those caused by influenza A virus strains. The following points should be considered before initiating treatment or prophylaxis with amantadine hydrochloride capsules, USP. • Amantadine hydrochloride capsules, USP are not a substitute for early vaccination on an annual basis as recommended by the Centers for Disease Control and Prevention Advisory Committee on Immunization Practices. • Influenza viruses change over time. Emergence of resistance mutations could decrease drug effectiveness. Other factors (for example, changes in viral virulence) might also diminish clinical benefit of antiviral drugs. Prescribers should consider available information on influenza drug susceptibility patterns and treatment effects when deciding whether to use amantadine hydrochloride capsules, USP. Parkinson’s Disease/Syndrome Amantadine hydrochloride capsules, USP are indicated in the treatment of idiopathic Parkinson’s disease (Paralysis Agitans), postencephalitic parkinsonism and symptomatic parkinsonism which may follow injury to the nervous system by carbon monoxide intoxication. It is indicated in those elderly patients believed to develop parkinsonism in association with cerebral arteriosclerosis. In the treatment of Parkinson’s disease, amantadine is less effective than levodopa, (-)-3-(3,4-dihydroxyphenyl)-L-alanine, and its efficacy in comparison with the anticholinergic antiparkinson drugs has not yet been established. Drug-Induced Extrapyramidal Reactions Amantadine hydrochloride, USP is indicated in the treatment of drug-induced extrapyramidal reactions. Although anticholinergic-type side effects have been noted with amantadine when used in patients with drug-induced extrapyramidal reactions, there is a lower incidence of these side effects than that observed with the anticholinergic antiparkinson drugs.

[LABEL]
INDICATIONS AND USAGE Amantadine hydrochloride capsules are indicated for the prophylaxis and treatment of signs and symptoms of infection caused by various strains of influenza A virus. Amantadine hydrochloride capsules are also indicated in the treatment of parkinsonism and drug-induced extrapyramidal reactions. Influenza A Prophylaxis Amantadine hydrochloride capsules are indicated for chemoprophylaxis against signs and symptoms of influenza A virus infection. Because amantadine does not completely prevent the host immune response to influenza A infection, individuals who take this drug may still develop immune responses to natural disease or vaccination and may be protected when later exposed to antigenically related viruses. Following vaccination during an influenza A outbreak, amantadine prophylaxis should be considered for the 2- to 4-week time period required to develop an antibody response. Influenza A Treatment Amantadine hydrochloride capsules are also indicated in the treatment of uncomplicated respiratory tract illness caused by influenza A virus strains especially when administered early in the course of illness. There are no well-controlled clinical studies demonstrating that treatment with amantadine hydrochloride capsules will avoid the development of influenza A virus pneumonitis or other complications in high risk patients. There is no clinical evidence indicating that amantadine hydrochloride capsules are effective in the prophylaxis or treatment of viral respiratory tract illnesses other than those caused by influenza A virus strains. The following points should be considered before initiating treatment or prophylaxis with amantadine hydrochloride capsules. Amantadine hydrochloride capsules are not a substitute for early vaccination on an annual basis as recommended by the Centers for Disease Control and Prevention Advisory Committee on Immunization Practices. Influenza viruses change over time. Emergence of resistance mutations could decrease drug effectiveness. Other factors (for example, changes in viral virulence) might also diminish clinical benefit of antiviral drugs. Prescribers should consider available information on influenza drug susceptibility patterns and treatment effects when deciding whether to use amantadine hydrochloride capsules. Parkinson's Disease/Syndrome Amantadine hydrochloride capsules are indicated in the treatment of idiopathic Parkinson's disease (Paralysis Agitans), postencephalitic parkinsonism and symptomatic parkinsonism which may follow injury to the nervous system by carbon monoxide intoxication. It is indicated in those elderly patients believed to develop parkinsonism in association with cerebral arteriosclerosis. In the treatment of Parkinson's disease, amantadine is less effective than levodopa, (-)-3-(3,4-dihydroxyphenyl)-L-alanine, and its efficacy in comparison with the anticholinergic antiparkinson drugs has not yet been established. Drug-Induced Extrapyramidal Reactions Amantadine hydrochloride is indicated in the treatment of drug-induced extrapyramidal reactions. Although anticholinergic-type side effects have been noted with amantadine when used in patients with drug-induced extrapyramidal reactions, there is a lower incidence of these side effects than that observed with the anticholinergic antiparkinson drugs.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5119801d-a5cb-4adf-96b2-08cc3a0ba594;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=547904f3-84a3-1ccb-e063-6294a90a6fb6;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=da693bb0-0cc8-485d-89a7-c8cf28d440f3;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6326d7f5-4c7c-4541-8db1-c582f1525f60,5119801d-a5cb-4adf-96b2-08cc3a0ba594;547904f3-84a3-1ccb-e063-6294a90a6fb6;da693bb0-0cc8-485d-89a7-c8cf28d440f3;6326d7f5-4c7c-4541-8db1-c582f1525f60;5989098d-2855-4b5f-9a06-64a83656c078;9c5e0c61-372b-4d1b-8882-e13f6af8fed0;2bee0631-0028-1314-e063-6394a90aaaed;7aa6bc18-1cee-4b6d-b7c3-0bac6a924ece;2ff05131-f634-4688-86e9-9bc33a8d11c4;48c949e3-86e0-c639-e063-6294a90acdba;487125c0-51e7-aea3-e063-6394a90a6930;b2f7da34-ad78-4db3-9af1-bdd341e09f16;3c448cb3-7996-4a83-a9ad-23a00a431fbe;9a99bb98-82a4-4b9e-9216-554dade72a3c;63d9d4aa-5f92-45b0-98d0-d6ec38b727cb;56b923c3-1d4a-47bf-9c9e-c0fdc54c8a2f;96aefbca-fe71-42ef-8079-d0d9e7370ccb;25af52ee-9b29-4c07-a383-62d4537b63e0;be411327-5ac7-46df-b5e4-32a11b419b15;5232b933-1df9-43b4-8ac2-61bfa4855e68,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
amisulpride,1,200,1,1,1,1,0,"1 INDICATIONS AND USAGE BARHEMSYS ® is indicated in adults for: prevention of postoperative nausea and vomiting (PONV), either alone or in combination with an antiemetic of a different class. treatment of PONV in patients who have received antiemetic prophylaxis with an agent of a different class or have not received prophylaxis. BARHEMSYS is a dopamine-2 (D 2 ) antagonist indicated in adults for: Prevention of postoperative nausea and vomiting (PONV), either alone or in combination with an antiemetic of a different class. ( 1 ) Treatment of PONV in patients who have received antiemetic prophylaxis with an agent of a different class or have not received prophylaxis. ( 1 )",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ab23bc6e-b6a8-165f-e053-2a95a90ab144,ab23bc6e-b6a8-165f-e053-2a95a90ab144,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
