drug_id,target_id,drug_name,gene,biomaster,biomaster_reverse,drugclip,dtiam,conplex,dtbind,nesso,probematch,biomaster_forward,nesso_pic50,biomaster_rank,drugclip_rank,dtiam_rank,conplex_rank,nesso_rank,probematch_rank,dtbind_rank,nesso_pic50_rank
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1871,diazepam,AR,-9.794897,-9.794897,0.037428364,0.23255438,0.0032239757,0.2803607285022735,0.8619651794433594,0.001372363534756,-8.597011,6.360433846712112,470.0,399.0,565.0,470.0,57.0,674.0,413.0,129.0
ACRHBAYQBXXRTO-OAQYLSRUSA-N,CHEMBL1871,ivabradine,AR,-10.046167,-10.046167,0.077985965,0.16101211,0.019122664,0.9339993000030518,0.0496533252298831,0.8834286332130432,-9.85464,5.623633414506912,492.0,344.0,662.0,382.0,529.0,382.0,270.0,394.0
ACWBQPMHZXGDFX-QFIPXVFZSA-N,CHEMBL1871,valsartan,AR,-10.570227,-10.570227,0.19400324,0.16789493,0.003280068,0.99956077337265,0.0806533247232437,0.0001170710675069,-9.700122,5.392583847045898,523.0,219.0,652.0,468.0,431.0,696.0,119.0,515.0
ACWZRVQXLIRSDF-UHFFFAOYSA-N,CHEMBL1871,binimetinib,AR,-13.746278,-13.746278,-0.028141275,0.6613152,0.0,0.6333473920822144,0.344292938709259,0.9999996423721312,-13.719332,6.4814504981040955,671.0,489.0,150.0,620.0,186.0,17.0,344.0,106.0
ADEBPBSSDYVVLD-UHFFFAOYSA-N,CHEMBL1871,donepezil,AR,-13.778971,-13.778971,0.098893106,0.21234858,0.03285656,0.0416459441184997,0.0871336013078689,0.047224473208189,-13.771421,5.687972754240036,674.0,317.0,590.0,343.0,413.0,598.0,519.0,356.0
AEXFXNFMSAAELR-RXVVDRJESA-N,CHEMBL1871,brensocatib,AR,-2.7230382,-2.7230382,-0.14501981,0.8077389,0.086838625,0.9949028491973876,0.0262943748384714,0.5778061151504517,-3.2192476,5.955600723624229,102.0,633.0,57.0,228.0,617.0,478.0,191.0,243.0
AFLFKFHDSCQHOL-IZZDOVSWSA-N,CHEMBL1871,elafibranor,AR,-9.080618,-9.080618,0.17088132,0.2604378,0.023249524,0.991891622543335,0.3817769587039947,2.761423820629716e-05,-8.251341,5.7176254987716675,435.0,242.0,533.0,369.0,178.0,703.0,202.0,338.0
AHJRHEGDXFFMBM-UHFFFAOYSA-N,CHEMBL1871,palbociclib,AR,-2.2133472,-2.2133472,0.20359583,0.914648,0.17065752,0.0181582104414701,0.0154502121731638,0.7623778581619263,-3.8887298,5.90422298759222,88.0,211.0,4.0,114.0,658.0,441.0,567.0,264.0
AHOUBRCZNHFOSL-YOEHRIQHSA-N,CHEMBL1871,paroxetine,AR,-8.043058,-8.043058,-0.076600105,0.3448906,0.027553843,0.7934227585792542,0.8164021968841553,0.700173556804657,-8.465849,6.570984125137329,370.0,552.0,442.0,356.0,74.0,454.0,319.0,91.0
AHYMHWXQRWRBKT-UHFFFAOYSA-N,CHEMBL1871,tepotinib,AR,-13.500373,-13.500373,-0.14383894,0.779058,0.025133455,0.0792524218559265,0.4522891938686371,0.1189767196774482,-14.707174,6.412224888801575,665.0,630.0,77.0,362.0,157.0,570.0,492.0,116.0
AILRADAXUVEEIR-UHFFFAOYSA-N,CHEMBL1871,brigatinib,AR,-4.344566,-4.344566,-0.01728296,0.6882589,0.0,0.0012140249600633,0.3292657136917114,0.9317190647125244,-6.3454795,5.859975084662437,172.0,474.0,129.0,620.0,193.0,353.0,673.0,276.0
AJIPIJNNOJSSQC-NYLIRDPKSA-N,CHEMBL1871,estetrol,AR,0.9740759,0.9740759,0.40383568,0.42226812,0.7526262,0.9997536540031432,0.9172642230987548,0.9753817915916444,0.8506089,6.763916254043579,37.0,65.0,364.0,8.0,29.0,292.0,100.0,59.0
ALWKGYPQUAPLQC-UHFFFAOYSA-N,CHEMBL1871,neostigmine,AR,-2.8431323,-2.8431323,0.03637952,0.3127497,0.03944109,0.0029461837839335,0.0098136290907859,0.9959155917167664,-2.89396,4.722881555557251,107.0,402.0,472.0,331.0,692.0,201.0,641.0,703.0
ANGKOCUUWGHLCE-HKUYNNGSSA-N,CHEMBL1871,glycopyrronium,AR,-13.120414,-13.120414,0.18504287,0.40922642,0.09146862,0.0185756627470254,0.0112999714910984,0.9928136467933656,-12.2279625,5.132147669792175,647.0,231.0,375.0,220.0,677.0,236.0,564.0,617.0
AOMXMOCNKJTRQP-UHFFFAOYSA-N,CHEMBL1871,relugolix,AR,-10.822686,-10.822686,-0.01923324,0.60656154,0.0,0.4341655969619751,0.0986732468008995,0.9960675239562988,-9.89741,5.907158404588699,541.0,476.0,211.0,620.0,389.0,199.0,378.0,261.0
AQHHHDLHHXJYJD-UHFFFAOYSA-N,CHEMBL1871,propranolol,AR,-5.610463,-5.610463,-0.008195383,0.19206032,0.17763737,0.0034567806869745,0.0314037017524242,0.9958052635192872,-5.287706,5.211661696434021,244.0,463.0,625.0,107.0,596.0,206.0,636.0,595.0
AQNDDEOPVVGCPG-UHFFFAOYSA-N,CHEMBL1871,esmolol,AR,-9.863247,-9.863247,-0.065834895,0.1181625,0.0,0.0047914274036884,0.1008709222078323,0.7916179895401001,-8.419824,5.615749418735504,476.0,543.0,697.0,620.0,383.0,425.0,623.0,399.0
AQOKCDNYWBIDND-FTOWTWDKSA-N,CHEMBL1871,bimatoprost,AR,-6.7727485,-6.7727485,0.3185977,0.75734174,0.1069709,0.999728262424469,0.203297421336174,0.9804908633232116,-6.0916653,5.68938547372818,306.0,107.0,92.0,187.0,253.0,284.0,105.0,354.0
ASMXXROZKSBQIH-VITNCHFBSA-N,CHEMBL1871,aclidinium,AR,-12.371889,-12.371889,0.14797871,0.49683693,0.10355852,0.0572665408253669,0.1359043717384338,0.999907374382019,-12.200551,5.762401729822159,620.0,264.0,291.0,196.0,327.0,78.0,508.0,316.0
ASOADIZOVZTJSR-UHFFFAOYSA-N,CHEMBL1871,opicapone,AR,-10.395356,-10.395356,0.2224719,0.3801217,0.17533469,0.4604534804821014,0.4193366467952728,0.0459926649928092,-10.85528,6.11187307536602,513.0,195.0,406.0,108.0,161.0,599.0,367.0,178.0
