model,rank,drug_id,drug_name,score
biomaster,1,VWUXBMIQPBEWFH-WCCTWKNTSA-N,fulvestrant,7.5454936
biomaster,2,UREBDLICKHMUKA-CXSFZGCWSA-N,dexamethasone,7.440746
biomaster,3,UREBDLICKHMUKA-DVTGEIKXSA-N,betamethasone,7.359374
biomaster,4,GFNANZIMVAIWHM-OBYCQNJPSA-N,triamcinolone,6.8905053
biomaster,5,VOVIALXJUBGFJZ-KWVAZRHASA-N,budesonide,6.787244
biomaster,6,METQSPRSQINEEU-HXCATZOESA-N,drospirenone,6.6582727
biomaster,7,IAVUPMFITXYVAF-XPUUQOCRSA-N,dorzolamide,6.6189103
biomaster,8,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,testosterone,6.5573473
biomaster,9,NKANXQFJJICGDU-QPLCGJKRSA-N,tamoxifen,6.3635573
biomaster,10,GPNHMOZDMYNCPO-PDUMRIMRSA-N,clascoterone,6.024344
drugclip,1,IEAKXXNRGSLYTQ-DEOSSOPVSA-N,crinecerfont,0.61883235
drugclip,2,XSFJVAJPIHIPKU-XWCQMRHXSA-N,flunisolide,0.6174902
drugclip,3,VOVIALXJUBGFJZ-KWVAZRHASA-N,budesonide,0.6077271
drugclip,4,OXPLANUPKBHPMS-ZXBNPROVSA-N,ciclesonide,0.60476923
drugclip,5,WBGKWQHBNHJJPZ-LECWWXJVSA-N,desonide,0.6025606
drugclip,6,WJOHZNCJWYWUJD-IUGZLZTKSA-N,fluocinonide,0.600694
drugclip,7,GCKFUYQCUCGESZ-BPIQYHPVSA-N,etonogestrel,0.5913628
drugclip,8,WYQPLTPSGFELIB-JTQPXKBDSA-N,difluprednate,0.59010506
drugclip,9,BQEJAAIPKDQEPV-MXHGPKCJSA-N,difluprednate,0.5898938
drugclip,10,LUKZNWIVRBCLON-GXOBDPJESA-N,ciclesonide,0.5704799
dtiam,1,VCSUIBJKYCVWNF-NRFANRHFSA-N,vanzacaftor,0.92444307
dtiam,2,LOWWYYZBZNSPDT-ZBEGNZNMSA-N,delgocitinib,0.9231364
dtiam,3,MVRHVFSOIWFBTE-INIZCTEOSA-N,elexacaftor,0.91803193
dtiam,4,AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,0.914648
dtiam,5,NYNZQNWKBKUAII-KBXCAEBGSA-N,larotrectinib,0.9137383
dtiam,6,GHILNKWBALQPDP-UHFFFAOYSA-N,paltusotine,0.90976506
dtiam,7,SGEGOXDYSFKCPT-UHFFFAOYSA-N,vilazodone,0.90018237
dtiam,8,BTBHLEZXCOBLCY-QGZVFWFLSA-N,finerenone,0.900121
dtiam,9,BQEJAAIPKDQEPV-MXHGPKCJSA-N,difluprednate,0.89252824
dtiam,10,HFNKQEVNSGCOJV-OAHLLOKOSA-N,ruxolitinib,0.8918611
conplex,1,VIKNJXKGJWUCNN-XGXHKTLJSA-N,norethindrone,0.88736486
conplex,2,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,testosterone,0.8532154
conplex,3,VKHAHZOOUSRJNA-GCNJZUOMSA-N,mifepristone,0.8350513
conplex,4,BFPYWIDHMRZLRN-SLHNCBLASA-N,ethinyl estradiol,0.8207485
conplex,5,WWYNJERNGUHSAO-XUDSTZEESA-N,levonorgestrel,0.81457585
conplex,6,GCKFUYQCUCGESZ-BPIQYHPVSA-N,etonogestrel,0.8078047
conplex,7,RJKFOVLPORLFTN-LEKSSAKUSA-N,progesterone,0.763785
conplex,8,AJIPIJNNOJSSQC-NYLIRDPKSA-N,estetrol,0.7526262
conplex,9,JWJOTENAMICLJG-QWBYCMEYSA-N,dutasteride,0.7275612
conplex,10,DBEPLOCGEIEOCV-WSBQPABSSA-N,finasteride,0.70904833
nesso,1,VKHAHZOOUSRJNA-GCNJZUOMSA-N,mifepristone,0.9795225858688354
nesso,2,BFPYWIDHMRZLRN-SLHNCBLASA-N,ethinyl estradiol,0.966443657875061
nesso,3,BQEJAAIPKDQEPV-MXHGPKCJSA-N,difluprednate,0.962687611579895
nesso,4,VIKNJXKGJWUCNN-XGXHKTLJSA-N,norethindrone,0.9622361660003662
nesso,5,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,testosterone,0.9610868096351624
nesso,6,VNFPBHJOKIVQEB-UHFFFAOYSA-N,clotrimazole,0.9571619033813475
nesso,7,WWYNJERNGUHSAO-XUDSTZEESA-N,levonorgestrel,0.9541725516319276
nesso,8,HKDLNTKNLJPAIY-WKWWZUSTSA-N,ulipristal,0.952495574951172
nesso,9,GCKFUYQCUCGESZ-BPIQYHPVSA-N,etonogestrel,0.9513453245162964
nesso,10,GFNANZIMVAIWHM-OBYCQNJPSA-N,triamcinolone,0.9480224251747132
probematch,1,BUGYDGFZZOZRHP-UHFFFAOYSA-N,memantine,1.0
probematch,2,DKNWSYNQZKUICI-UHFFFAOYSA-N,amantadine,1.0
probematch,3,DMNOVGJWPASQDL-OAQYLSRUSA-N,oliceridine,1.0
probematch,4,GCKFUYQCUCGESZ-BPIQYHPVSA-N,etonogestrel,1.0
probematch,5,GPNHMOZDMYNCPO-PDUMRIMRSA-N,clascoterone,1.0
probematch,6,METQSPRSQINEEU-HXCATZOESA-N,drospirenone,1.0
probematch,7,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,testosterone,1.0
probematch,8,VCSUIBJKYCVWNF-NRFANRHFSA-N,vanzacaftor,1.0
probematch,9,VIKNJXKGJWUCNN-XGXHKTLJSA-N,norethindrone,1.0
probematch,10,WWYNJERNGUHSAO-XUDSTZEESA-N,levonorgestrel,1.0
dtbind,1,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,nimodipine,0.9999650716781616
dtbind,2,QIVUCLWGARAQIO-OLIXTKCUSA-N,atogepant,0.999963402748108
dtbind,3,LXMSZDCAJNLERA-ZHYRCANASA-N,spironolactone,0.999961256980896
dtbind,4,METQSPRSQINEEU-HXCATZOESA-N,drospirenone,0.9999574422836304
dtbind,5,QXWZQTURMXZVHJ-UHFFFAOYSA-N,selexipag,0.9999526739120485
dtbind,6,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,0.9999449253082277
dtbind,7,ZBGXUVOIWDMMJE-QHNZEKIYSA-N,vorapaxar,0.9999439716339112
dtbind,8,KPBZROQVTHLCDU-UHFFFAOYSA-N,clevidipine,0.9999420642852784
dtbind,9,OUBCNLGXQFSTLU-UHFFFAOYSA-N,nitisinone,0.9999370574951172
dtbind,10,CSKDFZIMJXRJGH-VWLPUNTISA-N,tecovirimat,0.9999364614486694
nesso_pic50,1,BFPYWIDHMRZLRN-SLHNCBLASA-N,ethinyl estradiol,8.240179061889648
nesso_pic50,2,VKHAHZOOUSRJNA-GCNJZUOMSA-N,mifepristone,8.199010848999023
nesso_pic50,3,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,testosterone,8.126611709594727
nesso_pic50,4,VIKNJXKGJWUCNN-XGXHKTLJSA-N,norethindrone,7.989888429641724
nesso_pic50,5,BQEJAAIPKDQEPV-MXHGPKCJSA-N,difluprednate,7.89905571937561
nesso_pic50,6,RJKFOVLPORLFTN-LEKSSAKUSA-N,progesterone,7.728591680526733
nesso_pic50,7,WWYNJERNGUHSAO-XUDSTZEESA-N,levonorgestrel,7.711554050445557
nesso_pic50,8,VNFPBHJOKIVQEB-UHFFFAOYSA-N,clotrimazole,7.68741238117218
nesso_pic50,9,VWUXBMIQPBEWFH-WCCTWKNTSA-N,fulvestrant,7.684768438339233
nesso_pic50,10,GPNHMOZDMYNCPO-PDUMRIMRSA-N,clascoterone,7.617579221725464
