direction,entity_id,model,n,positive,prevalence,ap,auc
target_id,CHEMBL1824,biomaster,9,1,0.1111111111111111,1.0,1.0
target_id,CHEMBL1824,drugclip,9,1,0.1111111111111111,0.3333333333333333,0.75
target_id,CHEMBL1824,dtiam,9,1,0.1111111111111111,1.0,1.0
target_id,CHEMBL1824,conplex,9,1,0.1111111111111111,1.0,1.0
target_id,CHEMBL1824,nesso,9,1,0.1111111111111111,1.0,1.0
target_id,CHEMBL1824,probematch,9,1,0.1111111111111111,0.25,0.625
target_id,CHEMBL1824,dtbind,9,1,0.1111111111111111,0.2,0.5
target_id,CHEMBL1824,nesso_pic50,9,1,0.1111111111111111,1.0,1.0
target_id,CHEMBL1844,biomaster,7,4,0.5714285714285714,1.0,1.0
target_id,CHEMBL1844,drugclip,7,4,0.5714285714285714,0.8041666666666667,0.7500000000000001
target_id,CHEMBL1844,dtiam,7,4,0.5714285714285714,1.0,1.0
target_id,CHEMBL1844,conplex,7,4,0.5714285714285714,0.7708333333333333,0.6666666666666667
target_id,CHEMBL1844,nesso,7,4,0.5714285714285714,1.0,1.0
target_id,CHEMBL1844,probematch,7,4,0.5714285714285714,0.6458333333333333,0.5833333333333334
target_id,CHEMBL1844,dtbind,7,4,0.5714285714285714,0.4511904761904762,0.08333333333333334
target_id,CHEMBL1844,nesso_pic50,7,4,0.5714285714285714,1.0,1.0
target_id,CHEMBL1862,biomaster,2,1,0.5,1.0,1.0
target_id,CHEMBL1862,drugclip,2,1,0.5,1.0,1.0
target_id,CHEMBL1862,dtiam,2,1,0.5,0.5,0.0
target_id,CHEMBL1862,conplex,2,1,0.5,1.0,1.0
target_id,CHEMBL1862,nesso,2,1,0.5,1.0,1.0
target_id,CHEMBL1862,probematch,2,1,0.5,1.0,1.0
target_id,CHEMBL1862,dtbind,2,1,0.5,1.0,1.0
target_id,CHEMBL1862,nesso_pic50,2,1,0.5,1.0,1.0
target_id,CHEMBL1868,biomaster,7,1,0.14285714285714285,0.5,0.8333333333333334
target_id,CHEMBL1868,drugclip,7,1,0.14285714285714285,0.25,0.5
target_id,CHEMBL1868,dtiam,7,1,0.14285714285714285,0.2,0.33333333333333337
target_id,CHEMBL1868,conplex,7,1,0.14285714285714285,0.5,0.8333333333333334
target_id,CHEMBL1868,nesso,7,1,0.14285714285714285,0.5,0.8333333333333334
target_id,CHEMBL1868,probematch,7,1,0.14285714285714285,0.16666666666666666,0.16666666666666663
target_id,CHEMBL1868,dtbind,7,1,0.14285714285714285,0.14285714285714285,0.0
target_id,CHEMBL1868,nesso_pic50,7,1,0.14285714285714285,1.0,1.0
target_id,CHEMBL1936,biomaster,3,2,0.6666666666666666,1.0,1.0
target_id,CHEMBL1936,drugclip,3,2,0.6666666666666666,1.0,1.0
target_id,CHEMBL1936,dtiam,3,2,0.6666666666666666,1.0,1.0
target_id,CHEMBL1936,conplex,3,2,0.6666666666666666,1.0,1.0
target_id,CHEMBL1936,nesso,3,2,0.6666666666666666,1.0,1.0
target_id,CHEMBL1936,probematch,3,2,0.6666666666666666,0.5833333333333333,0.0
target_id,CHEMBL1936,dtbind,3,2,0.6666666666666666,0.5833333333333333,0.0
target_id,CHEMBL1936,nesso_pic50,3,2,0.6666666666666666,1.0,1.0
target_id,CHEMBL1974,biomaster,3,2,0.6666666666666666,1.0,1.0
target_id,CHEMBL1974,drugclip,3,2,0.6666666666666666,0.8333333333333333,0.5
target_id,CHEMBL1974,dtiam,3,2,0.6666666666666666,1.0,1.0
target_id,CHEMBL1974,conplex,3,2,0.6666666666666666,0.8333333333333333,0.5
target_id,CHEMBL1974,nesso,3,2,0.6666666666666666,1.0,1.0
target_id,CHEMBL1974,probematch,3,2,0.6666666666666666,1.0,1.0
target_id,CHEMBL1974,dtbind,3,2,0.6666666666666666,0.5833333333333333,0.0
target_id,CHEMBL1974,nesso_pic50,3,2,0.6666666666666666,1.0,1.0
target_id,CHEMBL1991,biomaster,13,2,0.15384615384615385,0.7,0.8636363636363636
target_id,CHEMBL1991,drugclip,13,2,0.15384615384615385,1.0,1.0
target_id,CHEMBL1991,dtiam,13,2,0.15384615384615385,0.19444444444444442,0.4545454545454546
target_id,CHEMBL1991,conplex,13,2,0.15384615384615385,0.15384615384615385,0.5
target_id,CHEMBL1991,nesso,13,2,0.15384615384615385,1.0,1.0
target_id,CHEMBL1991,probematch,13,2,0.15384615384615385,0.45,0.8181818181818182
target_id,CHEMBL1991,dtbind,13,2,0.15384615384615385,0.1736111111111111,0.36363636363636365
target_id,CHEMBL1991,nesso_pic50,13,2,0.15384615384615385,1.0,1.0
target_id,CHEMBL2007,biomaster,5,2,0.4,1.0,1.0
target_id,CHEMBL2007,drugclip,5,2,0.4,0.8333333333333333,0.8333333333333334
target_id,CHEMBL2007,dtiam,5,2,0.4,1.0,1.0
target_id,CHEMBL2007,conplex,5,2,0.4,1.0,1.0
target_id,CHEMBL2007,nesso,5,2,0.4,0.8333333333333333,0.8333333333333334
target_id,CHEMBL2007,probematch,5,2,0.4,0.3666666666666667,0.16666666666666669
target_id,CHEMBL2007,dtbind,5,2,0.4,0.75,0.6666666666666667
target_id,CHEMBL2007,nesso_pic50,5,2,0.4,1.0,1.0
target_id,CHEMBL203,biomaster,5,3,0.6,1.0,1.0
target_id,CHEMBL203,drugclip,5,3,0.6,0.8055555555555556,0.6666666666666666
target_id,CHEMBL203,dtiam,5,3,0.6,0.9166666666666665,0.8333333333333333
target_id,CHEMBL203,conplex,5,3,0.6,0.9166666666666665,0.8333333333333333
target_id,CHEMBL203,nesso,5,3,0.6,1.0,1.0
target_id,CHEMBL203,probematch,5,3,0.6,1.0,1.0
target_id,CHEMBL203,dtbind,5,3,0.6,0.6388888888888888,0.5
target_id,CHEMBL203,nesso_pic50,5,3,0.6,1.0,1.0
target_id,CHEMBL205,biomaster,7,4,0.5714285714285714,1.0,1.0
target_id,CHEMBL205,drugclip,7,4,0.5714285714285714,0.6428571428571428,0.33333333333333337
target_id,CHEMBL205,dtiam,7,4,0.5714285714285714,0.7928571428571428,0.5833333333333333
target_id,CHEMBL205,conplex,7,4,0.5714285714285714,0.8928571428571428,0.8333333333333334
target_id,CHEMBL205,nesso,7,4,0.5714285714285714,0.9166666666666666,0.8333333333333334
target_id,CHEMBL205,probematch,7,4,0.5714285714285714,0.8928571428571428,0.75
target_id,CHEMBL205,dtbind,7,4,0.5714285714285714,0.7470238095238095,0.5833333333333334
target_id,CHEMBL205,nesso_pic50,7,4,0.5714285714285714,0.8928571428571428,0.75
target_id,CHEMBL220,biomaster,3,2,0.6666666666666666,0.8333333333333333,0.5
target_id,CHEMBL220,drugclip,3,2,0.6666666666666666,0.5833333333333333,0.0
target_id,CHEMBL220,dtiam,3,2,0.6666666666666666,1.0,1.0
target_id,CHEMBL220,conplex,3,2,0.6666666666666666,0.8333333333333333,0.5
target_id,CHEMBL220,nesso,3,2,0.6666666666666666,0.8333333333333333,0.5
target_id,CHEMBL220,probematch,3,2,0.6666666666666666,0.5833333333333333,0.0
target_id,CHEMBL220,dtbind,3,2,0.6666666666666666,1.0,1.0
target_id,CHEMBL220,nesso_pic50,3,2,0.6666666666666666,1.0,1.0
target_id,CHEMBL222,biomaster,6,3,0.5,0.9166666666666665,0.888888888888889
target_id,CHEMBL222,drugclip,6,3,0.5,0.8666666666666667,0.7777777777777778
target_id,CHEMBL222,dtiam,6,3,0.5,0.7555555555555555,0.6666666666666667
target_id,CHEMBL222,conplex,6,3,0.5,0.6388888888888888,0.6666666666666667
target_id,CHEMBL222,nesso,6,3,0.5,0.8055555555555556,0.7777777777777779
target_id,CHEMBL222,probematch,6,3,0.5,0.6666666666666667,0.4444444444444444
target_id,CHEMBL222,dtbind,6,3,0.5,0.9166666666666665,0.888888888888889
target_id,CHEMBL222,nesso_pic50,6,3,0.5,1.0,1.0
target_id,CHEMBL228,biomaster,4,2,0.5,0.41666666666666663,0.0
target_id,CHEMBL228,drugclip,4,2,0.5,0.8333333333333333,0.75
target_id,CHEMBL228,dtiam,4,2,0.5,0.5833333333333333,0.5
target_id,CHEMBL228,conplex,4,2,0.5,0.8333333333333333,0.75
target_id,CHEMBL228,nesso,4,2,0.5,0.5833333333333333,0.5
target_id,CHEMBL228,probematch,4,2,0.5,1.0,1.0
target_id,CHEMBL228,dtbind,4,2,0.5,0.5,0.25
target_id,CHEMBL228,nesso_pic50,4,2,0.5,1.0,1.0
target_id,CHEMBL230,biomaster,6,3,0.5,0.8055555555555556,0.7777777777777779
target_id,CHEMBL230,drugclip,6,3,0.5,0.8055555555555556,0.7777777777777779
target_id,CHEMBL230,dtiam,6,3,0.5,0.9166666666666665,0.888888888888889
target_id,CHEMBL230,conplex,6,3,0.5,0.5,0.3888888888888889
target_id,CHEMBL230,nesso,6,3,0.5,0.7555555555555555,0.6666666666666667
target_id,CHEMBL230,probematch,6,3,0.5,0.9166666666666665,0.888888888888889
target_id,CHEMBL230,dtbind,6,3,0.5,0.8666666666666667,0.7777777777777778
target_id,CHEMBL230,nesso_pic50,6,3,0.5,0.9166666666666665,0.888888888888889
target_id,CHEMBL2326,biomaster,2,1,0.5,1.0,1.0
target_id,CHEMBL2326,drugclip,2,1,0.5,1.0,1.0
target_id,CHEMBL2326,dtiam,2,1,0.5,1.0,1.0
target_id,CHEMBL2326,conplex,2,1,0.5,1.0,1.0
target_id,CHEMBL2326,nesso,2,1,0.5,0.5,0.0
target_id,CHEMBL2326,probematch,2,1,0.5,1.0,1.0
target_id,CHEMBL2326,dtbind,2,1,0.5,1.0,1.0
target_id,CHEMBL2326,nesso_pic50,2,1,0.5,1.0,1.0
target_id,CHEMBL238,biomaster,4,1,0.25,1.0,1.0
target_id,CHEMBL238,drugclip,4,1,0.25,1.0,1.0
target_id,CHEMBL238,dtiam,4,1,0.25,0.25,0.0
target_id,CHEMBL238,conplex,4,1,0.25,0.25,0.0
target_id,CHEMBL238,nesso,4,1,0.25,0.3333333333333333,0.33333333333333337
target_id,CHEMBL238,probematch,4,1,0.25,0.25,0.0
target_id,CHEMBL238,dtbind,4,1,0.25,1.0,1.0
target_id,CHEMBL238,nesso_pic50,4,1,0.25,1.0,1.0
target_id,CHEMBL2527,biomaster,13,2,0.15384615384615385,0.41666666666666663,0.7727272727272727
target_id,CHEMBL2527,drugclip,13,2,0.15384615384615385,0.1534090909090909,0.2727272727272727
target_id,CHEMBL2527,dtiam,13,2,0.15384615384615385,0.18333333333333335,0.36363636363636365
target_id,CHEMBL2527,conplex,13,2,0.15384615384615385,0.15384615384615385,0.5
target_id,CHEMBL2527,nesso,13,2,0.15384615384615385,1.0,1.0
target_id,CHEMBL2527,probematch,13,2,0.15384615384615385,0.3666666666666667,0.7727272727272727
target_id,CHEMBL2527,dtbind,13,2,0.15384615384615385,0.13333333333333333,0.13636363636363635
target_id,CHEMBL2527,nesso_pic50,13,2,0.15384615384615385,0.6111111111111112,0.6818181818181819
target_id,CHEMBL2534,biomaster,13,1,0.07692307692307693,1.0,1.0
target_id,CHEMBL2534,drugclip,13,1,0.07692307692307693,0.16666666666666666,0.5833333333333333
target_id,CHEMBL2534,dtiam,13,1,0.07692307692307693,0.25,0.75
target_id,CHEMBL2534,conplex,13,1,0.07692307692307693,0.07692307692307693,0.5
target_id,CHEMBL2534,nesso,13,1,0.07692307692307693,1.0,1.0
target_id,CHEMBL2534,probematch,13,1,0.07692307692307693,0.09090909090909091,0.16666666666666663
target_id,CHEMBL2534,dtbind,13,1,0.07692307692307693,0.14285714285714285,0.5
target_id,CHEMBL2534,nesso_pic50,13,1,0.07692307692307693,1.0,1.0
target_id,CHEMBL267,biomaster,2,1,0.5,1.0,1.0
target_id,CHEMBL267,drugclip,2,1,0.5,0.5,0.0
target_id,CHEMBL267,dtiam,2,1,0.5,1.0,1.0
target_id,CHEMBL267,conplex,2,1,0.5,1.0,1.0
target_id,CHEMBL267,nesso,2,1,0.5,1.0,1.0
target_id,CHEMBL267,probematch,2,1,0.5,1.0,1.0
target_id,CHEMBL267,dtbind,2,1,0.5,1.0,1.0
target_id,CHEMBL267,nesso_pic50,2,1,0.5,1.0,1.0
target_id,CHEMBL2742,biomaster,8,3,0.375,0.5,0.6
target_id,CHEMBL2742,drugclip,8,3,0.375,0.7916666666666666,0.6666666666666666
target_id,CHEMBL2742,dtiam,8,3,0.375,0.3194444444444444,0.19999999999999998
target_id,CHEMBL2742,conplex,8,3,0.375,0.375,0.2
target_id,CHEMBL2742,nesso,8,3,0.375,0.5555555555555556,0.6666666666666666
target_id,CHEMBL2742,probematch,8,3,0.375,0.33134920634920634,0.19999999999999998
target_id,CHEMBL2742,dtbind,8,3,0.375,0.4027777777777778,0.3333333333333333
target_id,CHEMBL2742,nesso_pic50,8,3,0.375,0.7,0.7333333333333333
target_id,CHEMBL279,biomaster,7,2,0.2857142857142857,1.0,1.0
