scope,model,pairs,unique_scores,minimum,median,maximum,fraction_ge_0_5,fraction_ge_0_9,fraction_ge_0_99,fraction_ge_0_999,fraction_eq_1
seven_shared,biomaster,5752,5752,-17.171783,-9.708132500000001,12.706039,,,,,
seven_shared,drugclip,5752,5752,-0.4840083,0.014072592,0.61883235,,,,,
seven_shared,dtiam,5752,5664,0.024868257,0.432988875,0.97365266,0.4342837273991655,0.04433240611961057,0.0,0.0,0.0
seven_shared,conplex,5752,5078,0.0,0.047054706,0.9294844,,,,,
seven_shared,nesso,5752,5752,0.0010836083674803,0.1296456083655357,0.9909673929214478,0.10778859527121001,0.01321279554937413,0.0003477051460361613,0.0,0.0
seven_shared,probematch,5752,5537,1.231700056232285e-18,0.6550220847129822,1.0,0.541029207232267,0.38803894297635605,0.2472183588317107,0.13942976356050069,0.004694019471488178
seven_shared,dtbind,5752,5696,6.399704489012947e-06,0.012725939974188749,0.9999650716781616,0.29398470097357443,0.21627260083449235,0.12969401947148818,0.056154381084840055,0.0
AR,biomaster,719,719,-17.171783,-7.804021,7.5454936,,,,,
AR,drugclip,719,719,-0.4840083,0.06497007,0.61883235,,,,,
AR,dtiam,719,708,0.08026058,0.42368227,0.92444307,0.40333796940194716,0.011126564673157162,0.0,0.0,0.0
AR,conplex,719,512,0.0,0.02576335,0.88736486,,,,,
AR,nesso,719,719,0.0010836083674803,0.1156741678714752,0.9795225858688354,0.19610570236439498,0.059805285118219746,0.0,0.0,0.0
AR,probematch,719,696,9.374774290193955e-10,0.928770124912262,1.0,0.6828929068150209,0.5201668984700973,0.3477051460361613,0.1835883171070932,0.015299026425591099
AR,dtbind,719,711,4.0857354179024696e-05,0.5155993103981018,0.9999650716781616,0.5006954102920723,0.3949930458970793,0.28372739916550765,0.20584144645340752,0.0
