model,score_space,drug_main_fraction,target_main_fraction,pair_residual_fraction
biomaster,native_score,0.3180574854584922,0.21666068212515516,0.46528183241635207
biomaster,pooled_percentile_rank,0.3875200726868026,0.21426457438223764,0.39821535293095994
drugclip,native_score,0.1651509462833954,0.09388459657790417,0.7409644571387005
drugclip,pooled_percentile_rank,0.15736536924683497,0.0911524872220722,0.7514821435310929
dtiam,native_score,0.3882705329097254,0.39014945063747153,0.22158001645280317
dtiam,pooled_percentile_rank,0.4149826063759281,0.37418251433628097,0.21083487928779096
conplex,native_score,0.23888393569665758,0.18084665524783824,0.5802694090555041
conplex,pooled_percentile_rank,0.30267106308288066,0.24803246265732348,0.4492964742597984
nesso,native_score,0.20621818692481558,0.13609769522426834,0.6576841178509162
nesso,pooled_percentile_rank,0.239356278227761,0.22363095171209663,0.5370127700601423
probematch,native_score,0.22082678990024385,0.26334317811817703,0.5158300319815792
probematch,pooled_percentile_rank,0.259793652621084,0.3471337923266625,0.39307255505225375
dtbind,native_score,0.11323054669880951,0.1638233525770393,0.7229461007241513
dtbind,pooled_percentile_rank,0.10189559226150176,0.3673186253419491,0.5307857823965489
biomaster_reverse,native_score,0.20543374665661945,0.41475240476337394,0.3798138485800064
biomaster_reverse,pooled_percentile_rank,0.21534729871221178,0.48907417106125195,0.29557853022653646
