query,entity,head_a,head_b,n,spearman
target_id,CHEMBL1782,nesso,nesso_pic50,719,-0.24100302442136315
target_id,CHEMBL1782,biomaster,biomaster_reverse,719,0.9561533802622285
target_id,CHEMBL1829,nesso,nesso_pic50,719,-0.4630419454441909
target_id,CHEMBL1829,biomaster,biomaster_reverse,719,0.9782982270588859
target_id,CHEMBL1871,nesso,nesso_pic50,719,0.6686528152817219
target_id,CHEMBL1871,biomaster,biomaster_reverse,719,0.9792847798771379
target_id,CHEMBL1902,nesso,nesso_pic50,719,-0.41897772749989354
target_id,CHEMBL1902,biomaster,biomaster_reverse,719,0.9735587508700702
target_id,CHEMBL1952,nesso,nesso_pic50,719,-0.39670974723740676
target_id,CHEMBL1952,biomaster,biomaster_reverse,719,0.950260924140229
target_id,CHEMBL1977,nesso,nesso_pic50,719,0.13928922869506938
target_id,CHEMBL1977,biomaster,biomaster_reverse,719,0.9053965969448438
target_id,CHEMBL1997,nesso,nesso_pic50,719,-0.10428213253990701
target_id,CHEMBL1997,biomaster,biomaster_reverse,719,0.9527712455269687
target_id,CHEMBL2007625,nesso,nesso_pic50,719,0.6734745257834062
target_id,CHEMBL2007625,biomaster,biomaster_reverse,719,0.969244914852595
target_id,CHEMBL2008,nesso,nesso_pic50,719,0.6294573733507413
target_id,CHEMBL2008,biomaster,biomaster_reverse,719,0.903959415674561
target_id,CHEMBL2023,nesso,nesso_pic50,719,-0.20849553116561614
target_id,CHEMBL2023,biomaster,biomaster_reverse,719,0.9469496218181913
target_id,CHEMBL2063,nesso,nesso_pic50,719,0.2280786917763375
target_id,CHEMBL2063,biomaster,biomaster_reverse,719,0.9615275716944123
target_id,CHEMBL2085,nesso,nesso_pic50,719,-0.36691777628838157
target_id,CHEMBL2085,biomaster,biomaster_reverse,719,0.9737447747374295
target_id,CHEMBL2185,nesso,nesso_pic50,719,-0.02166399995867571
target_id,CHEMBL2185,biomaster,biomaster_reverse,719,0.7546191536128525
target_id,CHEMBL2208,nesso,nesso_pic50,719,-0.08533288005754408
target_id,CHEMBL2208,biomaster,biomaster_reverse,719,0.9608238965446441
target_id,CHEMBL2321614,nesso,nesso_pic50,719,0.19719759983366977
