gene,completed,seconds
AR,719,10423.875896453857
FKBP1A,719,466.0318853855133
MIF,719,481.0882065296173
PLA2G2A,719,616.3292248249054
CDA,719,631.2696347236633
VKORC1,719,781.5875811576843
PLA2G10,719,796.7758345603943
BCL2A1,719,901.9514126777649
DHFR,719,1051.9813659191132
KRAS,719,1082.0138521194458
PTGDS,719,1112.2792122364044
GSTP1,719,1367.2860527038574
BCL2L1,719,1607.5987875461578
BCL2,719,1637.8813812732697
EGLN3,719,1637.8969330787659
CMA1,719,1668.0928130149841
DIO1,719,1682.9612185955048
CFD,719,1682.951717376709
SRD5A2,719,1697.7145328521729
CA2,719,1682.8160955905914
CA1,719,1698.2791452407837
CA7,719,1698.290085554123
ELANE,719,1743.33558011055
MMP7,719,1728.257001876831
COMT,719,1743.154690027237
NQO1,719,1758.2644546031952
IMPA1,719,1788.4754424095154
PNP,719,1833.478776216507
CDK5,719,1848.1193828582764
HSD11B1,719,1848.5635895729065
CDK1,719,1863.667720079422
CDK2,719,1878.3162987232208
CDK4,719,1908.3030717372894
MGLL,719,1908.4805300235748
PPP2CB,719,1923.4804110527039
AURKC,719,1908.5522634983063
PPP2CA,719,1923.5613355636597
CA4,719,1908.607668876648
TYMS,719,1938.8263063430786
AKR1B1,719,1953.7710700035095
APEX1,719,1968.710117816925
CDK6,719,2013.8412227630615
CTSK,719,2028.9246702194214
CTSS,719,2029.0098552703857
AURKB,719,2088.849802017212
CDK7,719,2103.878002166748
HDAC11,719,2088.8599457740784
SLC10A2,719,2121.6715710163116
CA12,719,2152.4955451488495
MAPK14,719,2183.5376360416412
MAPK1,719,2197.7135047912598
ADA,719,2214.105964422226
MAPK11,719,2202.8444681167603
CDK9,719,2255.111031293869
HSD3B2,719,2254.310868501663
KCNK9,719,2239.1942625045776
ADH5,719,2254.160115003586
HDAC8,719,2269.293704032898
MAPK3,719,2269.3531856536865
KCNK18,719,2299.7126553058624
KCNJ11,719,2329.4149401187897
CSNK2A1,719,2299.5501754283905
HPD,719,2359.642664670944
MAP2K1,719,2359.5619735717773
TP53,719,2344.671790122986
UGCG,719,2344.6963703632355
KCNK3,719,2359.722891807556
DHODH,719,2374.6320238113403
P2RX3,719,2374.7992169857025
MAPKAPK2,719,2389.746203660965
MAP2K2,719,2389.7401354312897
IDO1,719,2434.725001335144
AURKA,719,2419.962018728256
CASP1,719,2420.333970308304
REN,719,2419.8460381031036
EGLN2,719,2449.9500093460083
DPEP1,719,2465.437005519867
IDH1,719,2480.0346348285675
CSNK1E,719,2510.818899869919
FDFT1,719,2526.9397327899933
FDPS,719,2525.4518723487854
GSK3B,719,2510.2635004520416
MAPK9,719,2540.2885291576385
KCNJ8,719,2540.1655201911926
KCNK2,719,2570.251126766205
EGLN1,719,2585.3447744846344
KCNJ2,719,2570.2863771915436
VDR,719,2585.4518122673035
MAPK8,719,2555.341346502304
HDAC3,719,2585.3133912086487
GLA,719,2585.55899810791
PLA2G7,719,2690.560992717743
PPARD,719,2675.576270341873
TPH1,719,2705.653754234314
NR1H3,719,2720.815983772278
PTK6,719,2735.814352989197
GABRA2,719,2735.779231786728
PAH,719,2750.850724220276
IDH2,719,2750.7938594818115
RARG,719,2765.880675792694
RARB,719,2765.745274066925
GABRA1,719,2765.9350934028625
SLC29A1,719,2810.9774713516235
CHKA,719,2781.297778367996
ESRRG,719,2780.9042341709137
IRAK4,719,2810.980171918869
