scope,query,entity,model_a,model_b,n,spearman,top10_overlap,top10_tie_expected,top10_chance
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,biomaster,drugclip,719,0.26058741184689865,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,biomaster,dtiam,719,0.18651758002782182,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,biomaster,conplex,719,0.29780086798588473,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,biomaster,nesso,719,0.26339969110094363,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,biomaster,probematch,719,0.11933139624299338,3,2.727272727272727,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,biomaster,dtbind,719,0.1240845297415123,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,drugclip,dtiam,719,0.3888986357002883,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,drugclip,conplex,719,0.40655333360514767,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,drugclip,nesso,719,0.41272933365876213,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,drugclip,probematch,719,0.3428903254960836,1,0.9090909090909091,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,drugclip,dtbind,719,0.5585382313293797,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,dtiam,conplex,719,0.31939201292045577,3,3.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,dtiam,nesso,719,0.35364489821064254,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,dtiam,probematch,719,0.3880653855219234,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,dtiam,dtbind,719,0.2802445148838932,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,conplex,nesso,719,0.2392423877264186,6,6.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,conplex,probematch,719,0.21439727893479385,4,3.6363636363636362,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,conplex,dtbind,719,0.2643743957047133,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,nesso,probematch,719,0.29330519875632793,4,3.6363636363636362,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,nesso,dtbind,719,0.4176379274085888,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1871,probematch,dtbind,719,0.32563759187769437,1,0.9090909090909091,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,biomaster,drugclip,719,0.01975504382311655,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,biomaster,dtiam,719,-0.07698678499985369,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,biomaster,conplex,719,0.014728825324695756,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,biomaster,nesso,719,0.24974992348549713,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,biomaster,probematch,719,-0.03917742744017847,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,biomaster,dtbind,719,0.20818906353620986,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,drugclip,dtiam,719,-0.08577754347406369,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,drugclip,conplex,719,-0.026826931812834,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,drugclip,nesso,719,0.2892497769134114,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,drugclip,probematch,719,-0.11881120449010352,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,drugclip,dtbind,719,0.10119769900539385,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,dtiam,conplex,719,-0.06310864676425572,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,dtiam,nesso,719,-0.39330914834516256,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,dtiam,probematch,719,0.2578433587842556,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,dtiam,dtbind,719,0.09105498283697952,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,conplex,nesso,719,0.2116516897485435,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,conplex,probematch,719,-0.09820719627513311,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,conplex,dtbind,719,-0.055337776948609294,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,nesso,probematch,719,-0.20981371309235558,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,nesso,dtbind,719,0.06605427942326214,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL1902,probematch,dtbind,719,0.015680260015020583,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,biomaster,drugclip,719,0.021613409989888466,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,biomaster,dtiam,719,-0.05209792252694451,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,biomaster,conplex,719,-0.06691963716360565,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,biomaster,nesso,719,0.17757363148807476,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,biomaster,probematch,719,0.02387350338361493,0,0.6666666666666666,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,biomaster,dtbind,719,0.03463385556744009,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,drugclip,dtiam,719,-0.12245025384536107,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,drugclip,conplex,719,-0.07214411793238716,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,drugclip,nesso,719,0.023767664519095053,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,drugclip,probematch,719,-0.08564756792102252,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,drugclip,dtbind,719,-0.024782289997502337,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,dtiam,conplex,719,0.016631563145763945,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,dtiam,nesso,719,-0.19151331567564697,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,dtiam,probematch,719,0.3115698010399263,0,1.3333333333333333,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,dtiam,dtbind,719,0.013807124652142474,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,conplex,nesso,719,0.01848426698353072,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL2023,conplex,probematch,719,-0.2031987946459359,0,0.0,0.13908205841446453
