model,drug_id,drug_name,top10_weight,targets_with_top10_weight
biomaster,VPPJLAIAVCUEMN-GFCCVEGCSA-N,lacosamide,18.0,18
biomaster,WINHZLLDWRZWRT-ATVHPVEESA-N,sunitinib,15.0,15
biomaster,AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,12.0,12
biomaster,PHXJVRSECIGDHY-UHFFFAOYSA-N,ponatinib,10.0,10
biomaster,UZWDCWONPYILKI-UHFFFAOYSA-N,abemaciclib,10.0,10
biomaster,LXBIFEVIBLOUGU-DPYQTVNSSA-N,migalastat,9.0,9
biomaster,NSQSAUGJQHDYNO-UHFFFAOYSA-N,tazemetostat,9.0,9
biomaster,UQRORFVVSGFNRO-UTINFBMNSA-N,miglustat,9.0,9
biomaster,UXNXMBYCBRBRFD-MUUNZHRXSA-N,berotralstat,9.0,9
biomaster,BMGQWWVMWDBQGC-IIFHNQTCSA-N,midostaurin,8.0,8
biomaster,MFBCDACCJCDGBA-UHFFFAOYSA-N,trifarotene,8.0,8
biomaster,WOSKHXYHFSIKNG-UHFFFAOYSA-N,lenvatinib,8.0,8
biomaster,ZVHNDZWQTBEVRY-UHFFFAOYSA-N,momelotinib,8.0,8
biomaster,CMJCXYNUCSMDBY-ZDUSSCGKSA-N,encorafenib,7.0,7
biomaster,RZEKVGVHFLEQIL-UHFFFAOYSA-N,celecoxib,7.0,7
biomaster,VWUXBMIQPBEWFH-WCCTWKNTSA-N,fulvestrant,7.0,7
biomaster,FNHKPVJBJVTLMP-UHFFFAOYSA-N,regorafenib,6.0,6
biomaster,QHMBSVQNZZTUGM-ZWKOTPCHSA-N,cannabidiol,6.0,6
biomaster,YMTINGFKWWXKFG-UHFFFAOYSA-N,fenofibrate,6.0,6
biomaster,YTFHCXIPDIHOIA-DHZHZOJOSA-N,palovarotene,6.0,6
biomaster,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,dasatinib,6.0,6
biomaster,ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,5.0,5
biomaster,BBAWEDCPNXPBQM-GDEBMMAJSA-N,telaprevir,5.0,5
biomaster,DTGLZDAWLRGWQN-UHFFFAOYSA-N,prasugrel,5.0,5
biomaster,FDLYAMZZIXQODN-UHFFFAOYSA-N,olaparib,5.0,5
biomaster,GYQYAJJFPNQOOW-UHFFFAOYSA-N,gilteritinib,5.0,5
biomaster,IAVUPMFITXYVAF-XPUUQOCRSA-N,dorzolamide,5.0,5
biomaster,UREBDLICKHMUKA-CXSFZGCWSA-N,dexamethasone,5.0,5
biomaster,AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,4.0,4
biomaster,BFSMGDJOXZAERB-UHFFFAOYSA-N,dabrafenib,4.0,4
biomaster,DCOPUUMXTXDBNB-UHFFFAOYSA-N,diclofenac,4.0,4
biomaster,JIVPVXMEBJLZRO-UHFFFAOYSA-N,chlorthalidone,4.0,4
biomaster,MEJLVLMAJJRLCR-GCCNXGTGSA-N,romidepsin,4.0,4
biomaster,NCNRHFGMJRPRSK-MDZDMXLPSA-N,belinostat,4.0,4
biomaster,NDDAHWYSQHTHNT-UHFFFAOYSA-N,indapamide,4.0,4
biomaster,UREBDLICKHMUKA-DVTGEIKXSA-N,betamethasone,4.0,4
biomaster,VUDZSIYXZUYWSC-DBRKOABJSA-N,cedazuridine,4.0,4
biomaster,VWMJHAFYPMOMGF-ZCFIWIBFSA-N,tovorafenib,4.0,4
biomaster,XMAYWYJOQHXEEK-ZEQKJWHPSA-N,ketoconazole,4.0,4
biomaster,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,furosemide,4.0,4
biomaster,DHMTURDWPRKSOA-RUZDIDTESA-N,lonafarnib,3.0,3
biomaster,GFNANZIMVAIWHM-OBYCQNJPSA-N,triamcinolone,3.0,3
biomaster,GMRQFYUYWCNGIN-NKMMMXOESA-N,calcitriol,3.0,3
biomaster,HCRKCZRJWPKOAR-JTQLQIEISA-N,brinzolamide,3.0,3
biomaster,HPNSFSBZBAHARI-RUDMXATFSA-N,mycophenolate mofetil,3.0,3
biomaster,HWXVIOGONBBTBY-ONEGZZNKSA-N,pacritinib,3.0,3
biomaster,JCCNYMKQOSZNPW-UHFFFAOYSA-N,loratadine,3.0,3
biomaster,KJADKKWYZYXHBB-XBWDGYHZSA-N,topiramate,3.0,3
biomaster,KTUFNOKKBVMGRW-UHFFFAOYSA-N,imatinib,3.0,3
biomaster,LFQDNHWZDQTITF-UHFFFAOYSA-N,tavaborole,3.0,3
biomaster,LHHCSNFAOIFYRV-DOVBMPENSA-N,boceprevir,3.0,3
biomaster,MLDQJTXFUGDVEO-UHFFFAOYSA-N,sorafenib,3.0,3
biomaster,NHHQJBCNYHBUSI-UHFFFAOYSA-N,fostamatinib,3.0,3
biomaster,NKANXQFJJICGDU-QPLCGJKRSA-N,tamoxifen,3.0,3
biomaster,NOZIJMHMKORZBA-KJCUYJGMSA-N,lusutrombopag,3.0,3
