scope,query,entity,catalog_n,labeled_n,catalog_spearman,both_correct,only_retargetmap_correct,only_dtiam_correct,both_wrong
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,384,19,-0.14687023159608015,1.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,384,21,-0.24077981418059746,1.0,0.0,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,384,26,-0.16601653894408464,1.0,0.0,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,384,4,0.5463408327964464,0.6666666666666666,0.3333333333333333,0.0,0.0
COMMON_378,drug_id,HHZIURLSWUIHRB-UHFFFAOYSA-N,384,26,0.11689668034315555,0.9431818181818182,0.0,0.056818181818181816,0.0
COMMON_378,drug_id,JOOXLOJCABQBSG-UHFFFAOYSA-N,384,23,-0.01669683123664847,0.9017857142857143,0.008928571428571428,0.08928571428571429,0.0
COMMON_378,drug_id,KTUFNOKKBVMGRW-UHFFFAOYSA-N,384,22,0.4421384914041573,0.8,0.2,0.0,0.0
COMMON_378,drug_id,KYYIDSXMWOZKMP-UHFFFAOYSA-N,384,2,0.037252254925231425,1.0,0.0,0.0,0.0
COMMON_378,drug_id,MLDQJTXFUGDVEO-UHFFFAOYSA-N,384,29,0.02034222305110034,1.0,0.0,0.0,0.0
COMMON_378,drug_id,NHHQJBCNYHBUSI-UHFFFAOYSA-N,384,25,0.16988233698416466,0.9206349206349206,0.0,0.07936507936507936,0.0
COMMON_378,drug_id,PHLBKPHSAVXXEF-UHFFFAOYSA-N,384,2,0.32332766776304633,1.0,0.0,0.0,0.0
COMMON_378,drug_id,UBPYILGKFZZVDX-UHFFFAOYSA-N,384,23,0.011317647756942797,0.5416666666666666,0.15833333333333333,0.13333333333333333,0.16666666666666666
COMMON_378,drug_id,UHTHHESEBZOYNR-UHFFFAOYSA-N,384,16,-0.1724545200230579,0.9791666666666666,0.0,0.020833333333333332,0.0
COMMON_378,drug_id,VYFYYTLLBUKUHU-UHFFFAOYSA-N,384,2,0.20403004306398562,1.0,0.0,0.0,0.0
COMMON_378,drug_id,XGALLCVXEZPNRQ-UHFFFAOYSA-N,384,20,-0.15700340781933472,0.5833333333333334,0.027777777777777776,0.0,0.3888888888888889
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,384,2,0.12165321623546167,1.0,0.0,0.0,0.0
