target_id,gene,stratum,n,spearman,correlation_pairs
CHEMBL1782,FDPS,all,719,-0.24100302442136315,719
CHEMBL1782,FDPS,nonzero_crop_entropy,719,-0.24100302442136315,719
CHEMBL1782,FDPS,binder_lt_0.5,664,-0.27600781105574274,664
CHEMBL1782,FDPS,binder_ge_0.5,55,0.09336219336219338,55
CHEMBL1782,FDPS,binder_ge_0.8,2,,0
CHEMBL1782,FDPS,binder_top50,50,0.10290516206482593,50
CHEMBL1829,HDAC3,all,719,-0.4630419454441909,719
CHEMBL1829,HDAC3,nonzero_crop_entropy,719,-0.4630419454441909,719
CHEMBL1829,HDAC3,binder_lt_0.5,703,-0.51705895949317,703
CHEMBL1829,HDAC3,binder_ge_0.5,16,0.5558823529411765,16
CHEMBL1829,HDAC3,binder_ge_0.8,7,,0
CHEMBL1829,HDAC3,binder_top50,50,0.5480432172869147,50
CHEMBL1871,AR,all,719,0.6686528152817219,719
CHEMBL1871,AR,nonzero_crop_entropy,718,0.6702136987130959,718
CHEMBL1871,AR,binder_lt_0.5,578,0.5294744058329081,578
CHEMBL1871,AR,binder_ge_0.5,141,0.6798193415814033,141
CHEMBL1871,AR,binder_ge_0.8,79,0.5998539435248297,79
CHEMBL1871,AR,binder_top50,50,0.6731812725090036,50
CHEMBL1902,FKBP1A,all,719,-0.41897772749989354,719
CHEMBL1902,FKBP1A,nonzero_crop_entropy,719,-0.41897772749989354,719
CHEMBL1902,FKBP1A,binder_lt_0.5,652,-0.4688627392778097,652
CHEMBL1902,FKBP1A,binder_ge_0.5,67,0.25824088115571875,67
CHEMBL1902,FKBP1A,binder_ge_0.8,8,,0
CHEMBL1902,FKBP1A,binder_top50,50,0.3917887154861945,50
CHEMBL1930,VKORC1,all,719,-0.08977733956813537,719
CHEMBL1930,VKORC1,nonzero_crop_entropy,719,-0.08977733956813537,719
CHEMBL1930,VKORC1,binder_lt_0.5,674,-0.13952258685906244,674
CHEMBL1930,VKORC1,binder_ge_0.5,45,0.09472990777338601,45
CHEMBL1930,VKORC1,binder_ge_0.8,1,,0
CHEMBL1930,VKORC1,binder_top50,50,0.12605042016806722,50
CHEMBL1952,TYMS,all,719,-0.39670974723740676,719
CHEMBL1952,TYMS,nonzero_crop_entropy,719,-0.39670974723740676,719
CHEMBL1952,TYMS,binder_lt_0.5,642,-0.44167652027515375,642
CHEMBL1952,TYMS,binder_ge_0.5,77,0.4123770965876229,77
CHEMBL1952,TYMS,binder_ge_0.8,13,0.13186813186813187,13
CHEMBL1952,TYMS,binder_top50,50,0.37459783913565425,50
CHEMBL1977,VDR,all,719,0.13928922869506938,719
CHEMBL1977,VDR,nonzero_crop_entropy,719,0.13928922869506938,719
CHEMBL1977,VDR,binder_lt_0.5,589,-0.07360704346197056,589
CHEMBL1977,VDR,binder_ge_0.5,130,0.4886452088653402,130
CHEMBL1977,VDR,binder_ge_0.8,24,0.7773913043478261,24
CHEMBL1977,VDR,binder_top50,50,0.708811524609844,50
CHEMBL1997,SLC29A1,all,719,-0.10428213253990701,719
CHEMBL1997,SLC29A1,nonzero_crop_entropy,719,-0.10428213253990701,719
CHEMBL1997,SLC29A1,binder_lt_0.5,665,-0.20295736900048883,665
CHEMBL1997,SLC29A1,binder_ge_0.5,54,0.6210405946255002,54
CHEMBL1997,SLC29A1,binder_ge_0.8,8,,0
CHEMBL1997,SLC29A1,binder_top50,50,0.6221848739495797,50
CHEMBL2007625,IDH1,all,719,0.6734745257834062,719
CHEMBL2007625,IDH1,nonzero_crop_entropy,719,0.6734745257834062,719
CHEMBL2007625,IDH1,binder_lt_0.5,451,0.49332574612954483,451
CHEMBL2007625,IDH1,binder_ge_0.5,268,0.3481828070160715,268
CHEMBL2007625,IDH1,binder_ge_0.8,10,0.4545454545454545,10
CHEMBL2007625,IDH1,binder_top50,50,0.3608643457382953,50
CHEMBL2008,RARB,all,719,0.6294573733507413,719
CHEMBL2008,RARB,nonzero_crop_entropy,719,0.6294573733507413,719
CHEMBL2008,RARB,binder_lt_0.5,610,0.5083492455008999,610
CHEMBL2008,RARB,binder_ge_0.5,109,0.3999536650912798,109
CHEMBL2008,RARB,binder_ge_0.8,47,0.42414431082331183,47
CHEMBL2008,RARB,binder_top50,50,0.5116446578631452,50
CHEMBL202,DHFR,all,719,-0.30948870232694486,719
CHEMBL202,DHFR,nonzero_crop_entropy,719,-0.30948870232694486,719
CHEMBL202,DHFR,binder_lt_0.5,700,-0.31877557767610604,700
CHEMBL202,DHFR,binder_ge_0.5,19,-0.03684210526315789,19
CHEMBL202,DHFR,binder_ge_0.8,3,,0
CHEMBL202,DHFR,binder_top50,50,0.02444177671068427,50
CHEMBL2023,COMT,all,719,-0.20849553116561614,719
CHEMBL2023,COMT,nonzero_crop_entropy,715,-0.21084971551616313,715
CHEMBL2023,COMT,binder_lt_0.5,667,-0.2743781855633116,667
CHEMBL2023,COMT,binder_ge_0.5,52,0.06462904465124221,52
CHEMBL2023,COMT,binder_ge_0.8,6,,0
CHEMBL2023,COMT,binder_top50,50,0.09224489795918367,50
CHEMBL2055,RARA,all,719,0.6386448280715893,719
CHEMBL2055,RARA,nonzero_crop_entropy,719,0.6386448280715893,719
CHEMBL2055,RARA,binder_lt_0.5,600,0.5068337412048367,600
CHEMBL2055,RARA,binder_ge_0.5,119,0.4898661159379007,119
CHEMBL2055,RARA,binder_ge_0.8,50,0.4670828331332533,50
CHEMBL2055,RARA,binder_top50,50,0.4670828331332533,50
CHEMBL2063,UGCG,all,719,0.2280786917763375,719
CHEMBL2063,UGCG,nonzero_crop_entropy,719,0.2280786917763375,719
CHEMBL2063,UGCG,binder_lt_0.5,550,-0.0585248155591198,550
CHEMBL2063,UGCG,binder_ge_0.5,169,0.37518522201780125,169
CHEMBL2063,UGCG,binder_ge_0.8,11,0.43636363636363645,11
CHEMBL2063,UGCG,binder_top50,50,0.21997599039615845,50
CHEMBL2085,MIF,all,719,-0.36691777628838157,719
CHEMBL2085,MIF,nonzero_crop_entropy,718,-0.3670317668634504,718
