scope,query,entity,model,n,ordered_comparisons,correct_fraction,tie_fraction,auc,ap
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,biomaster,19,18,1.0,0.0,1.0,1.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,drugclip,19,18,0.7777777777777778,0.0,0.7777777777777778,0.2
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,dtiam,19,18,1.0,0.0,1.0,1.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,conplex,19,18,1.0,0.0,1.0,1.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,nesso,19,18,1.0,0.0,1.0,1.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,probematch,19,18,0.3888888888888889,0.0,0.3888888888888889,0.08333333333333333
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,dtbind,19,18,0.7222222222222222,0.0,0.7222222222222222,0.16666666666666666
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,nesso_pic50,19,18,1.0,0.0,1.0,1.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,biomaster,21,20,1.0,0.0,1.0,1.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,drugclip,21,20,0.75,0.0,0.75,0.16666666666666666
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,dtiam,21,20,1.0,0.0,1.0,1.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,conplex,21,20,1.0,0.0,1.0,1.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,nesso,21,20,1.0,0.0,1.0,1.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,probematch,21,20,0.75,0.0,0.75,0.16666666666666666
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,dtbind,21,20,1.0,0.0,1.0,1.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,nesso_pic50,21,20,1.0,0.0,1.0,1.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,biomaster,26,25,1.0,0.0,1.0,1.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,drugclip,26,25,0.12,0.0,0.12,0.043478260869565216
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,dtiam,26,25,1.0,0.0,1.0,1.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,conplex,26,25,0.0,0.84,0.42,0.038461538461538464
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,nesso,26,25,1.0,0.0,1.0,1.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,probematch,26,25,0.8,0.12,0.8600000000000001,0.16666666666666666
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,dtbind,26,25,0.92,0.0,0.92,0.3333333333333333
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,nesso_pic50,26,25,1.0,0.0,1.0,1.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,biomaster,4,3,1.0,0.0,1.0,1.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,drugclip,4,3,0.0,0.0,0.0,0.25
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,dtiam,4,3,0.6666666666666666,0.0,0.6666666666666666,0.5
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,conplex,4,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,nesso,4,3,0.6666666666666666,0.0,0.6666666666666666,0.5
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,probematch,4,3,1.0,0.0,1.0,1.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,dtbind,4,3,0.6666666666666666,0.0,0.6666666666666666,0.5
