target_id,nominator,receiver,mean_receiver_rank,receiver_top100_fraction,receiver_bottom_half_fraction
CHEMBL1782,biomaster,drugclip,406.3,0.1,0.7
CHEMBL1782,biomaster,dtiam,184.3,0.4,0.2
CHEMBL1782,biomaster,conplex,238.85,0.2,0.2
CHEMBL1782,biomaster,nesso,254.3,0.2,0.3
CHEMBL1782,biomaster,probematch,322.3,0.2,0.4
CHEMBL1782,biomaster,dtbind,470.4,0.2,0.7
CHEMBL1782,drugclip,biomaster,584.6,0.0,0.9
CHEMBL1782,drugclip,dtiam,304.9,0.1,0.4
CHEMBL1782,drugclip,conplex,312.6,0.2,0.4
CHEMBL1782,drugclip,nesso,284.1,0.2,0.3
CHEMBL1782,drugclip,probematch,258.3,0.2,0.3
CHEMBL1782,drugclip,dtbind,255.2,0.3,0.3
CHEMBL1782,dtiam,biomaster,400.2,0.1,0.6
CHEMBL1782,dtiam,drugclip,376.0,0.2,0.7
CHEMBL1782,dtiam,conplex,420.4,0.1,0.6
CHEMBL1782,dtiam,nesso,409.65,0.1,0.6
CHEMBL1782,dtiam,probematch,355.85,0.2,0.4
CHEMBL1782,dtiam,dtbind,408.85,0.1,0.6
CHEMBL1782,conplex,biomaster,346.8,0.2,0.4
CHEMBL1782,conplex,drugclip,260.6,0.4,0.3
CHEMBL1782,conplex,dtiam,365.8,0.0,0.4
CHEMBL1782,conplex,nesso,358.9,0.1,0.4
CHEMBL1782,conplex,probematch,440.7,0.1,0.7
CHEMBL1782,conplex,dtbind,291.4,0.2,0.4
CHEMBL1782,nesso,biomaster,273.4,0.0,0.3
CHEMBL1782,nesso,drugclip,321.4,0.1,0.4
CHEMBL1782,nesso,dtiam,407.7,0.0,0.5
CHEMBL1782,nesso,conplex,355.1,0.1,0.5
CHEMBL1782,nesso,probematch,304.0,0.3,0.3
CHEMBL1782,nesso,dtbind,252.5,0.4,0.3
CHEMBL1782,probematch,biomaster,204.2,0.3,0.1
CHEMBL1782,probematch,drugclip,322.8,0.2,0.4
CHEMBL1782,probematch,dtiam,339.9,0.1,0.3
CHEMBL1782,probematch,conplex,299.25,0.2,0.3
CHEMBL1782,probematch,nesso,113.4,0.6,0.1
CHEMBL1782,probematch,dtbind,44.6,0.9,0.0
CHEMBL1782,dtbind,biomaster,112.3,0.5,0.0
CHEMBL1782,dtbind,drugclip,441.2,0.1,0.7
CHEMBL1782,dtbind,dtiam,436.1,0.2,0.7
CHEMBL1782,dtbind,conplex,171.4,0.3,0.0
CHEMBL1782,dtbind,nesso,249.3,0.2,0.2
CHEMBL1782,dtbind,probematch,182.4,0.5,0.2
CHEMBL1829,biomaster,drugclip,276.6,0.1,0.2
CHEMBL1829,biomaster,dtiam,169.9,0.6,0.2
CHEMBL1829,biomaster,conplex,236.25,0.3,0.3
CHEMBL1829,biomaster,nesso,197.0,0.5,0.2
CHEMBL1829,biomaster,probematch,211.7,0.3,0.2
CHEMBL1829,biomaster,dtbind,313.6,0.2,0.4
CHEMBL1829,drugclip,biomaster,407.7,0.2,0.6
CHEMBL1829,drugclip,dtiam,535.4,0.0,0.9
CHEMBL1829,drugclip,conplex,475.4,0.1,0.8
CHEMBL1829,drugclip,nesso,279.1,0.1,0.3
CHEMBL1829,drugclip,probematch,359.7,0.1,0.5
CHEMBL1829,drugclip,dtbind,145.6,0.6,0.2
CHEMBL1829,dtiam,biomaster,255.0,0.5,0.4
CHEMBL1829,dtiam,drugclip,303.3,0.1,0.3
CHEMBL1829,dtiam,conplex,242.55,0.4,0.3
CHEMBL1829,dtiam,nesso,171.2,0.6,0.2
CHEMBL1829,dtiam,probematch,264.1,0.2,0.3
CHEMBL1829,dtiam,dtbind,248.0,0.2,0.3
CHEMBL1829,conplex,biomaster,256.7,0.4,0.2
CHEMBL1829,conplex,drugclip,338.7,0.2,0.6
CHEMBL1829,conplex,dtiam,303.8,0.2,0.5
CHEMBL1829,conplex,nesso,441.3,0.0,0.6
CHEMBL1829,conplex,probematch,407.1,0.1,0.6
CHEMBL1829,conplex,dtbind,434.8,0.0,0.7
CHEMBL1829,nesso,biomaster,119.4,0.6,0.2
CHEMBL1829,nesso,drugclip,233.3,0.3,0.2
CHEMBL1829,nesso,dtiam,203.5,0.5,0.2
CHEMBL1829,nesso,conplex,245.75,0.3,0.4
CHEMBL1829,nesso,probematch,355.8,0.1,0.4
CHEMBL1829,nesso,dtbind,333.6,0.1,0.5
CHEMBL1829,probematch,biomaster,462.1,0.0,0.9
CHEMBL1829,probematch,drugclip,379.5,0.2,0.6
CHEMBL1829,probematch,dtiam,351.3,0.3,0.5
CHEMBL1829,probematch,conplex,345.4,0.1,0.4
CHEMBL1829,probematch,nesso,527.8,0.1,0.9
CHEMBL1829,probematch,dtbind,319.0,0.2,0.4
CHEMBL1829,dtbind,biomaster,240.4,0.2,0.3
CHEMBL1829,dtbind,drugclip,355.9,0.1,0.4
CHEMBL1829,dtbind,dtiam,233.1,0.2,0.3
CHEMBL1829,dtbind,conplex,436.45,0.1,0.8
CHEMBL1829,dtbind,nesso,181.8,0.4,0.2
CHEMBL1829,dtbind,probematch,197.8,0.4,0.1
CHEMBL1871,biomaster,drugclip,73.7,0.9,0.1
CHEMBL1871,biomaster,dtiam,75.7,0.7,0.0
CHEMBL1871,biomaster,conplex,71.6,0.8,0.1
CHEMBL1871,biomaster,nesso,84.1,0.8,0.1
CHEMBL1871,biomaster,probematch,140.7,0.8,0.2
CHEMBL1871,biomaster,dtbind,119.5,0.8,0.1
CHEMBL1871,drugclip,biomaster,72.0,0.9,0.1
CHEMBL1871,drugclip,dtiam,80.6,0.7,0.0
CHEMBL1871,drugclip,conplex,159.3,0.4,0.1
CHEMBL1871,drugclip,nesso,38.2,0.9,0.0
CHEMBL1871,drugclip,probematch,63.75,0.7,0.0
CHEMBL1871,drugclip,dtbind,42.5,0.9,0.0
CHEMBL1871,dtiam,biomaster,168.9,0.6,0.2
CHEMBL1871,dtiam,drugclip,178.7,0.5,0.2
CHEMBL1871,dtiam,conplex,174.2,0.7,0.3
