target_id,model_a,model_b,k,expected_overlap,overlap_fraction,chance_fraction
CHEMBL1782,biomaster,drugclip,10,0.0,0.0,0.013908205841446454
CHEMBL1782,biomaster,dtiam,10,0.0,0.0,0.013908205841446454
CHEMBL1782,biomaster,conplex,10,0.0,0.0,0.013908205841446454
CHEMBL1782,biomaster,nesso,10,0.0,0.0,0.013908205841446454
CHEMBL1782,biomaster,probematch,10,0.0,0.0,0.013908205841446454
CHEMBL1782,biomaster,dtbind,10,0.0,0.0,0.013908205841446454
CHEMBL1782,drugclip,dtiam,10,1.0,0.1,0.013908205841446454
CHEMBL1782,drugclip,conplex,10,2.0,0.2,0.013908205841446454
CHEMBL1782,drugclip,nesso,10,0.0,0.0,0.013908205841446454
CHEMBL1782,drugclip,probematch,10,1.0,0.1,0.013908205841446454
CHEMBL1782,drugclip,dtbind,10,0.0,0.0,0.013908205841446454
CHEMBL1782,dtiam,conplex,10,0.0,0.0,0.013908205841446454
CHEMBL1782,dtiam,nesso,10,0.0,0.0,0.013908205841446454
CHEMBL1782,dtiam,probematch,10,0.0,0.0,0.013908205841446454
CHEMBL1782,dtiam,dtbind,10,0.0,0.0,0.013908205841446454
CHEMBL1782,conplex,nesso,10,0.0,0.0,0.013908205841446454
CHEMBL1782,conplex,probematch,10,1.0,0.1,0.013908205841446454
CHEMBL1782,conplex,dtbind,10,0.0,0.0,0.013908205841446454
CHEMBL1782,nesso,probematch,10,1.0,0.1,0.013908205841446454
CHEMBL1782,nesso,dtbind,10,0.0,0.0,0.013908205841446454
CHEMBL1782,probematch,dtbind,10,3.0,0.3,0.013908205841446454
CHEMBL1782,biomaster,drugclip,20,0.0,0.0,0.027816411682892908
CHEMBL1782,biomaster,dtiam,20,1.0,0.05,0.027816411682892908
CHEMBL1782,biomaster,conplex,20,1.0,0.05,0.027816411682892908
CHEMBL1782,biomaster,nesso,20,2.0,0.1,0.027816411682892908
CHEMBL1782,biomaster,probematch,20,2.0,0.1,0.027816411682892908
CHEMBL1782,biomaster,dtbind,20,2.0,0.1,0.027816411682892908
CHEMBL1782,drugclip,dtiam,20,2.0,0.1,0.027816411682892908
CHEMBL1782,drugclip,conplex,20,3.0,0.15,0.027816411682892908
CHEMBL1782,drugclip,nesso,20,1.0,0.05,0.027816411682892908
CHEMBL1782,drugclip,probematch,20,1.0,0.05,0.027816411682892908
CHEMBL1782,drugclip,dtbind,20,1.0,0.05,0.027816411682892908
CHEMBL1782,dtiam,conplex,20,0.0,0.0,0.027816411682892908
CHEMBL1782,dtiam,nesso,20,0.0,0.0,0.027816411682892908
CHEMBL1782,dtiam,probematch,20,0.0,0.0,0.027816411682892908
CHEMBL1782,dtiam,dtbind,20,0.0,0.0,0.027816411682892908
CHEMBL1782,conplex,nesso,20,0.0,0.0,0.027816411682892908
CHEMBL1782,conplex,probematch,20,2.0,0.1,0.027816411682892908
CHEMBL1782,conplex,dtbind,20,2.0,0.1,0.027816411682892908
CHEMBL1782,nesso,probematch,20,4.0,0.2,0.027816411682892908
CHEMBL1782,nesso,dtbind,20,2.0,0.1,0.027816411682892908
CHEMBL1782,probematch,dtbind,20,4.0,0.2,0.027816411682892908
CHEMBL1782,biomaster,drugclip,50,1.0,0.02,0.06954102920723226
CHEMBL1782,biomaster,dtiam,50,3.0,0.06,0.06954102920723226
CHEMBL1782,biomaster,conplex,50,7.0,0.14,0.06954102920723226
CHEMBL1782,biomaster,nesso,50,6.0,0.12,0.06954102920723226
CHEMBL1782,biomaster,probematch,50,5.0,0.1,0.06954102920723226
CHEMBL1782,biomaster,dtbind,50,8.0,0.16,0.06954102920723226
CHEMBL1782,drugclip,dtiam,50,3.0,0.06,0.06954102920723226
CHEMBL1782,drugclip,conplex,50,3.0,0.06,0.06954102920723226
CHEMBL1782,drugclip,nesso,50,3.0,0.06,0.06954102920723226
CHEMBL1782,drugclip,probematch,50,5.0,0.1,0.06954102920723226
CHEMBL1782,drugclip,dtbind,50,6.0,0.12,0.06954102920723226
CHEMBL1782,dtiam,conplex,50,3.0,0.06,0.06954102920723226
CHEMBL1782,dtiam,nesso,50,2.0,0.04,0.06954102920723226
CHEMBL1782,dtiam,probematch,50,1.0,0.02,0.06954102920723226
CHEMBL1782,dtiam,dtbind,50,2.0,0.04,0.06954102920723226
CHEMBL1782,conplex,nesso,50,4.0,0.08,0.06954102920723226
CHEMBL1782,conplex,probematch,50,6.0,0.12,0.06954102920723226
CHEMBL1782,conplex,dtbind,50,6.0,0.12,0.06954102920723226
CHEMBL1782,nesso,probematch,50,12.0,0.24,0.06954102920723226
CHEMBL1782,nesso,dtbind,50,8.0,0.16,0.06954102920723226
CHEMBL1782,probematch,dtbind,50,18.0,0.36,0.06954102920723226
CHEMBL1782,biomaster,drugclip,100,8.0,0.08,0.13908205841446453
CHEMBL1782,biomaster,dtiam,100,11.0,0.11,0.13908205841446453
CHEMBL1782,biomaster,conplex,100,14.0,0.14,0.13908205841446453
CHEMBL1782,biomaster,nesso,100,22.0,0.22,0.13908205841446453
CHEMBL1782,biomaster,probematch,100,20.0,0.2,0.13908205841446453
CHEMBL1782,biomaster,dtbind,100,18.0,0.18,0.13908205841446453
CHEMBL1782,drugclip,dtiam,100,13.0,0.13,0.13908205841446453
CHEMBL1782,drugclip,conplex,100,17.0,0.17,0.13908205841446453
CHEMBL1782,drugclip,nesso,100,12.0,0.12,0.13908205841446453
CHEMBL1782,drugclip,probematch,100,22.0,0.22,0.13908205841446453
CHEMBL1782,drugclip,dtbind,100,27.0,0.27,0.13908205841446453
CHEMBL1782,dtiam,conplex,100,14.0,0.14,0.13908205841446453
CHEMBL1782,dtiam,nesso,100,10.0,0.1,0.13908205841446453
CHEMBL1782,dtiam,probematch,100,8.0,0.08,0.13908205841446453
