scope,query,model,queries,labeled_pairs,ordered_comparisons,macro_auc,macro_ap,correct_fraction,tie_fraction
AB_UNSEEN_141,drug_id,biomaster,7,98,315,0.8765246449456976,0.8142773397237683,0.8765246449456976,0.0
AB_UNSEEN_141,drug_id,conplex,7,98,315,0.5614766081871345,0.5831321365832236,0.4934837092731829,0.1359857978279031
AB_UNSEEN_141,drug_id,drugclip,7,98,315,0.29434001670843774,0.37329854925991207,0.29434001670843774,0.0
AB_UNSEEN_141,drug_id,dtbind,7,98,315,0.7108395989974937,0.5904794429286706,0.7108395989974937,0.0
AB_UNSEEN_141,drug_id,dtiam,7,98,315,0.7326441102756892,0.6071539026142908,0.7326441102756892,0.0
AB_UNSEEN_141,drug_id,nesso,7,98,315,0.7091060985797828,0.7020433931148217,0.7091060985797828,0.0
AB_UNSEEN_141,drug_id,nesso_pic50,7,98,315,0.8543650793650794,0.8118545397957162,0.8543650793650794,0.0
AB_UNSEEN_141,drug_id,probematch,7,98,315,0.6032999164578111,0.5228753826705507,0.6032999164578111,0.0
AB_UNSEEN_141,target_id,biomaster,12,36,27,0.8194444444444445,0.8958333333333334,0.8194444444444445,0.0
AB_UNSEEN_141,target_id,conplex,12,36,27,0.6597222222222222,0.798611111111111,0.5972222222222222,0.125
AB_UNSEEN_141,target_id,drugclip,12,36,27,0.6319444444444444,0.7777777777777777,0.6319444444444444,0.0
AB_UNSEEN_141,target_id,dtbind,12,36,27,0.513888888888889,0.6944444444444445,0.513888888888889,0.0
AB_UNSEEN_141,target_id,dtiam,12,36,27,0.6666666666666666,0.8055555555555555,0.6666666666666666,0.0
AB_UNSEEN_141,target_id,nesso,12,36,27,0.9305555555555555,0.9444444444444445,0.9305555555555555,0.0
AB_UNSEEN_141,target_id,nesso_pic50,12,36,27,0.9375,0.9722222222222222,0.9375,0.0
AB_UNSEEN_141,target_id,probematch,12,36,27,0.5416666666666666,0.7180555555555556,0.5416666666666666,0.0
COMMON_378,drug_id,biomaster,18,289,783,0.938298344767643,0.9062531744702476,0.938298344767643,0.0
COMMON_378,drug_id,conplex,18,289,783,0.6075162759592584,0.6319388198690734,0.5080028037264879,0.19902694446554095
COMMON_378,drug_id,drugclip,18,289,783,0.47040371340809933,0.42647114393427016,0.47040371340809933,0.0
COMMON_378,drug_id,dtbind,18,289,783,0.7097436984717687,0.6060982215350434,0.7097436984717687,0.0
COMMON_378,drug_id,dtiam,18,289,783,0.8399766778056252,0.8192444915395445,0.8399766778056252,0.0
COMMON_378,drug_id,nesso,18,289,783,0.8204464232973004,0.8289877546259412,0.8204464232973004,0.0
COMMON_378,drug_id,nesso_pic50,18,289,783,0.8673510902677569,0.8372704211688416,0.8673510902677569,0.0
COMMON_378,drug_id,probematch,18,289,783,0.6315205944153313,0.5011378980251494,0.6281872610819978,0.006666666666666666
COMMON_378,target_id,biomaster,36,234,318,0.7992374138207471,0.7847552910052911,0.7992374138207471,0.0
COMMON_378,target_id,conplex,36,234,318,0.6227443081609748,0.6062045593295593,0.4791115520282187,0.2872655122655123
COMMON_378,target_id,drugclip,36,234,318,0.6816538399871733,0.7021890532307199,0.6816538399871733,0.0
COMMON_378,target_id,dtbind,36,234,318,0.4439554272887606,0.5295187066020399,0.4439554272887606,0.0
COMMON_378,target_id,dtiam,36,234,318,0.8681898348565015,0.849917328042328,0.8681898348565015,0.0
COMMON_378,target_id,nesso,36,234,318,0.8050154320987654,0.8243827160493827,0.8050154320987654,0.0
COMMON_378,target_id,nesso_pic50,36,234,318,0.9414742664742666,0.9227954144620811,0.9414742664742666,0.0
COMMON_378,target_id,probematch,36,234,318,0.5829595558762226,0.5921388989097323,0.5829595558762226,0.0
