model_a,model_b,k,targets,mean_overlap,mean_overlap_fraction,chance_fraction
biomaster,conplex,10,50,0.75,0.075,0.013908205841446454
biomaster,conplex,20,50,2.02,0.10099999999999999,0.027816411682892908
biomaster,conplex,50,50,6.4,0.128,0.06954102920723226
biomaster,conplex,100,50,17.16,0.1716,0.13908205841446453
biomaster,drugclip,10,50,0.68,0.068,0.013908205841446454
biomaster,drugclip,20,50,2.18,0.109,0.027816411682892908
biomaster,drugclip,50,50,7.54,0.1508,0.06954102920723226
biomaster,drugclip,100,50,21.98,0.2198,0.13908205841446453
biomaster,dtbind,10,50,0.96,0.096,0.013908205841446454
biomaster,dtbind,20,50,2.44,0.12200000000000001,0.027816411682892908
biomaster,dtbind,50,50,9.62,0.19240000000000002,0.06954102920723226
biomaster,dtbind,100,50,27.3,0.273,0.13908205841446453
biomaster,dtiam,10,50,0.7,0.07,0.013908205841446454
biomaster,dtiam,20,50,1.6,0.08,0.027816411682892908
biomaster,dtiam,50,50,5.7,0.114,0.06954102920723226
biomaster,dtiam,100,50,15.62,0.1562,0.13908205841446453
biomaster,nesso,10,50,2.12,0.212,0.013908205841446454
biomaster,nesso,20,50,4.3,0.215,0.027816411682892908
biomaster,nesso,50,50,11.58,0.2316,0.06954102920723226
biomaster,nesso,100,50,29.84,0.2984,0.13908205841446453
biomaster,probematch,10,50,0.45454545454545453,0.045454545454545456,0.013908205841446454
biomaster,probematch,20,50,1.34,0.067,0.027816411682892908
biomaster,probematch,50,50,6.257142857142856,0.12514285714285714,0.06954102920723226
biomaster,probematch,100,50,20.42,0.20420000000000002,0.13908205841446453
conplex,dtbind,10,50,0.46,0.046000000000000006,0.013908205841446454
conplex,dtbind,20,50,1.22,0.061000000000000006,0.027816411682892908
conplex,dtbind,50,50,6.64,0.1328,0.06954102920723226
conplex,dtbind,100,50,19.48,0.1948,0.13908205841446453
conplex,nesso,10,50,0.85,0.085,0.013908205841446454
conplex,nesso,20,50,2.04,0.102,0.027816411682892908
conplex,nesso,50,50,6.74,0.1348,0.06954102920723226
conplex,nesso,100,50,18.54,0.18539999999999998,0.13908205841446453
conplex,probematch,10,50,0.3527272727272727,0.035272727272727275,0.013908205841446454
conplex,probematch,20,50,0.91,0.0455,0.027816411682892908
conplex,probematch,50,50,4.18,0.0836,0.06954102920723226
conplex,probematch,100,50,14.3,0.14300000000000002,0.13908205841446453
drugclip,conplex,10,50,0.4,0.04,0.013908205841446454
drugclip,conplex,20,50,1.12,0.05600000000000001,0.027816411682892908
drugclip,conplex,50,50,4.28,0.08560000000000001,0.06954102920723226
drugclip,conplex,100,50,16.68,0.1668,0.13908205841446453
drugclip,dtbind,10,50,0.28,0.028000000000000004,0.013908205841446454
drugclip,dtbind,20,50,0.9,0.045,0.027816411682892908
drugclip,dtbind,50,50,5.22,0.10439999999999999,0.06954102920723226
drugclip,dtbind,100,50,20.96,0.2096,0.13908205841446453
drugclip,dtiam,10,50,0.4,0.04,0.013908205841446454
drugclip,dtiam,20,50,1.2,0.06,0.027816411682892908
drugclip,dtiam,50,50,5.86,0.11720000000000001,0.06954102920723226
drugclip,dtiam,100,50,19.54,0.1954,0.13908205841446453
drugclip,nesso,10,50,0.52,0.052000000000000005,0.013908205841446454
drugclip,nesso,20,50,1.9,0.095,0.027816411682892908
drugclip,nesso,50,50,6.78,0.1356,0.06954102920723226
drugclip,nesso,100,50,20.3,0.203,0.13908205841446453
drugclip,probematch,10,50,0.3181818181818182,0.03181818181818182,0.013908205841446454
drugclip,probematch,20,50,1.0,0.05,0.027816411682892908
drugclip,probematch,50,50,6.16,0.1232,0.06954102920723226
drugclip,probematch,100,50,20.64,0.2064,0.13908205841446453
dtiam,conplex,10,50,0.78,0.078,0.013908205841446454
dtiam,conplex,20,50,1.66,0.083,0.027816411682892908
dtiam,conplex,50,50,5.36,0.1072,0.06954102920723226
dtiam,conplex,100,50,17.18,0.1718,0.13908205841446453
dtiam,dtbind,10,50,0.28,0.028000000000000004,0.013908205841446454
dtiam,dtbind,20,50,0.94,0.047,0.027816411682892908
dtiam,dtbind,50,50,3.72,0.07440000000000001,0.06954102920723226
dtiam,dtbind,100,50,15.0,0.15,0.13908205841446453
dtiam,nesso,10,50,0.84,0.084,0.013908205841446454
dtiam,nesso,20,50,1.78,0.08900000000000001,0.027816411682892908
dtiam,nesso,50,50,5.52,0.11040000000000001,0.06954102920723226
dtiam,nesso,100,50,14.7,0.14700000000000002,0.13908205841446453
dtiam,probematch,10,50,0.5666666666666667,0.05666666666666667,0.013908205841446454
dtiam,probematch,20,50,1.66,0.083,0.027816411682892908
dtiam,probematch,50,50,6.477142857142857,0.12954285714285713,0.06954102920723226
dtiam,probematch,100,50,19.92,0.19920000000000002,0.13908205841446453
nesso,dtbind,10,50,0.88,0.08800000000000001,0.013908205841446454
nesso,dtbind,20,50,2.68,0.134,0.027816411682892908
nesso,dtbind,50,50,9.94,0.19879999999999998,0.06954102920723226
nesso,dtbind,100,50,30.66,0.3066,0.13908205841446453
nesso,probematch,10,50,0.4460606060606061,0.04460606060606061,0.013908205841446454
nesso,probematch,20,50,1.445,0.07225000000000001,0.027816411682892908
nesso,probematch,50,50,6.653333333333333,0.13306666666666667,0.06954102920723226
nesso,probematch,100,50,20.48,0.2048,0.13908205841446453
probematch,dtbind,10,50,0.7181818181818181,0.07181818181818182,0.013908205841446454
probematch,dtbind,20,50,1.74,0.087,0.027816411682892908
probematch,dtbind,50,50,7.08,0.1416,0.06954102920723226
probematch,dtbind,100,50,23.28,0.2328,0.13908205841446453
