scope,model,pairs,positive,negative,random_ap_reference,ap,auroc,drug_queries_ge2,drug_macro_ap_ge2,drug_queries_ge10,drug_macro_ap_ge10,drug_p5_ge10,drug_p20_ge20,target_queries_ge2,target_macro_ap_ge2,target_queries_ge10,target_macro_ap_ge10,target_p5_ge10,target_p20_ge20,recall,false_positive_rate,precision,threshold
COMMON_VALIDATION_KD_KI,A_neural,34685,24419,10266,0.7040219114891163,0.9665339932336595,0.9296880604009836,1097,0.9266366039167537,38,0.6527069956459834,0.6263157894736843,0.32608695652173914,768,0.7963839284451887,519,0.7702432014612267,0.6963391136801542,0.7517915309446255,0.9151070887423728,0.22939801285797778,0.9046597303752885,0.600121130466758
COMMON_VALIDATION_KD_KI,A_plus_neighbor,34685,24419,10266,0.7040219114891163,0.9713004102315727,0.9373509681179987,1097,0.9463204188365459,38,0.7037585862565695,0.7263157894736842,0.3717391304347826,768,0.8185751387384045,519,0.80090608886806,0.7267822736030828,0.7604234527687296,0.9218231704820017,0.18176504967855056,0.9234492943879226,0.535007913990976
COMMON_VALIDATION_KD_KI,A_plus_prior,34685,24419,10266,0.7040219114891163,0.9714393309195829,0.9382510323076024,1097,0.9284470043476921,38,0.6515712747531609,0.6578947368421053,0.3369565217391305,768,0.7963839284451887,519,0.7702432014612267,0.6963391136801542,0.7517915309446255,0.9153118473319956,0.20553282680693552,0.9137402395650218,0.6147050832540376
COMMON_VALIDATION_KD_KI,A_joint_blend,34685,24419,10266,0.7040219114891163,0.9702537602508381,0.9356252317695305,1097,0.9503505878280409,38,0.7086109292687782,0.7263157894736842,0.3739130434782609,768,0.8165404815148704,519,0.8001293400806033,0.7279383429672447,0.7596091205211727,0.9221917359433228,0.18692772257938828,0.9214747524347328,0.5331013942741756
COMMON_VALIDATION_KD_KI,neighbor_only,34685,24419,10266,0.7040219114891163,0.9496090698207793,0.9026805041508312,1097,0.878791402217818,38,0.6525710893739918,0.6578947368421053,0.32608695652173914,768,0.7814797673649241,519,0.7790196460762737,0.7148362235067437,0.750814332247557,,,,
COMMON_VALIDATION_KD_KI,prior_only,34685,24419,10266,0.7040219114891163,0.9098057549679909,0.8432150095952516,1097,0.8122675866623269,38,0.4971609468755512,0.46315789473684205,0.21956521739130433,768,0.4965648659349992,519,0.5139032471908433,0.4944123314065511,0.6374592833876221,,,,
COMMON_TEST_AFFINITY_KD_KI,A_neural,34327,23190,11137,0.6755615113467532,0.9583505170384772,0.9166476204879888,1004,0.9254449631301789,54,0.6229627227836807,0.5962962962962963,0.26833333333333337,745,0.7286182934317219,516,0.6935429508144152,0.6395348837209303,0.5789603960396039,0.9050884001724882,0.2705396426326659,0.8744687942671444,0.600121130466758
COMMON_TEST_AFFINITY_KD_KI,A_plus_neighbor,34327,23190,11137,0.6755615113467532,0.9666521951519043,0.9265108539018705,1004,0.9467676883959325,54,0.6950298945971572,0.6666666666666666,0.2966666666666667,745,0.7539961706711508,516,0.7313392061433375,0.6689922480620156,0.5872524752475248,0.9048296679603277,0.15695429648918022,0.923100611499714,0.535007913990976
COMMON_TEST_AFFINITY_KD_KI,A_plus_prior,34327,23190,11137,0.6755615113467532,0.9661243701547313,0.9292473491486699,1004,0.9323983629622635,54,0.657285605258405,0.6185185185185186,0.26666666666666666,745,0.7286182934317219,516,0.6935429508144152,0.6395348837209303,0.5789603960396039,0.904355325571367,0.23291730268474453,0.8899261648137147,0.6147050832540376
COMMON_TEST_AFFINITY_KD_KI,A_joint_blend,34327,23190,11137,0.6755615113467532,0.9663105299473387,0.926802780440074,1004,0.9494104752491853,54,0.7144814096006645,0.6703703703703703,0.295,745,0.7506978758977223,516,0.7300339746559843,0.6674418604651162,0.5866336633663366,0.9060370849504097,0.16018676483792763,0.9217372230752358,0.5331013942741756
COMMON_TEST_AFFINITY_KD_KI,neighbor_only,34327,23190,11137,0.6755615113467532,0.9495555907137634,0.9011766542558685,1004,0.8950747627087763,54,0.6251380379603867,0.5851851851851853,0.2683333333333333,745,0.7274447915387596,516,0.7142300424339579,0.6496124031007753,0.5806930693069307,,,,
COMMON_TEST_AFFINITY_KD_KI,prior_only,34327,23190,11137,0.6755615113467532,0.9122503759027876,0.8640792748497552,1004,0.8059356008715376,54,0.4561559275756045,0.437037037037037,0.18666666666666665,745,0.48189340679477327,516,0.4787595991113782,0.4953488372093024,0.4889851485148514,,,,
COMMON_TEST_EXPLICIT_INACTIVE,A_neural,10649,0,10649,0.0,,,0,,0,,,,0,,0,,,,,0.32547657057000656,0.0,0.600121130466758
COMMON_TEST_EXPLICIT_INACTIVE,A_plus_neighbor,10649,0,10649,0.0,,,0,,0,,,,0,,0,,,,,0.05840924030425392,0.0,0.535007913990976
COMMON_TEST_EXPLICIT_INACTIVE,A_plus_prior,10649,0,10649,0.0,,,0,,0,,,,0,,0,,,,,0.28068363226594045,0.0,0.6147050832540376
COMMON_TEST_EXPLICIT_INACTIVE,A_joint_blend,10649,0,10649,0.0,,,0,,0,,,,0,,0,,,,,0.04714057657996056,0.0,0.5331013942741756
COMMON_TEST_EXPLICIT_INACTIVE,neighbor_only,10649,0,10649,0.0,,,0,,0,,,,0,,0,,,,,,,
COMMON_TEST_EXPLICIT_INACTIVE,prior_only,10649,0,10649,0.0,,,0,,0,,,,0,,0,,,,,,,
S5__all,original_SPR_ranker,2556,354,2202,0.13849765258215962,0.5443791239929306,0.7852170856488965,75,0.7520878694540815,48,0.6872032682442245,0.42083333333333334,0.18695652173913044,102,0.6303078835313558,58,0.502331098678843,0.3137931034482758,0.1595238095238095,,,,
S5__all,A_neural,2556,354,2202,0.13849765258215962,0.591776862902968,0.9230225988700564,75,0.8363674769997876,48,0.8477964050343907,0.5625,0.21739130434782614,102,0.8064188105111509,58,0.7451278807730313,0.4344827586206897,0.16904761904761903,,,,
S5__all,A_plus_neighbor,2556,354,2202,0.13849765258215962,0.6740965898739303,0.8899132529749535,75,0.8212318818961784,48,0.8154664821294452,0.5291666666666667,0.22065217391304354,102,0.7816487841480116,58,0.6892788962602966,0.40689655172413797,0.17023809523809524,,,,
S5__all,A_plus_prior,2556,354,2202,0.13849765258215962,0.5799798459465652,0.9237852594200444,75,0.8349673294391476,48,0.8478077485449645,0.5583333333333333,0.21739130434782614,102,0.8064188105111509,58,0.7451278807730313,0.4344827586206897,0.16904761904761903,,,,
S5__all,A_joint_blend,2556,354,2202,0.13849765258215962,0.6442469819329311,0.8779255633040328,75,0.797282256029307,48,0.7780451917124589,0.5208333333333334,0.21847826086956526,102,0.7739129820594538,58,0.6785481178746717,0.40344827586206894,0.17023809523809524,,,,
S5__all,neighbor_only,2556,354,2202,0.13849765258215962,0.439541073969587,0.7224184998742798,75,0.6151143272289618,48,0.5287376640730305,0.35833333333333334,0.19130434782608693,102,0.625865700190769,58,0.4911596509102029,0.2896551724137931,0.14523809523809525,,,,
