cohort,scope,model,drug_clusters,replicates,ap_delta,ap_delta_ci95_low,ap_delta_ci95_high,auroc_delta,auroc_delta_ci95_low,auroc_delta_ci95_high
S5_HISTORICAL_TEST,all_original_members,Palinova_A_binary,302,1000,0.0473977389100374,-0.0689668622261555,0.14615720733364973,0.13780551322115997,0.09232295290068078,0.18130462989145918
S5_HISTORICAL_TEST,all_original_members,Palinova_B_binary,302,1000,0.04676979627481137,-0.042144809544175064,0.13297098093234025,0.12096091380717078,0.0839146609558137,0.16185309237703982
S5_HISTORICAL_TEST,all_original_members,Palinova_A_joint_reference,302,1000,0.06295728438128001,-0.05084386709695631,0.1553966574860121,0.14360275968944525,0.0987057707438927,0.18986637701533454
S5_HISTORICAL_TEST,both_AB_train_validation_pair_unseen,Palinova_A_binary,185,1000,-0.25513511803989036,-0.37607787024859307,-0.14673569618295404,-0.05840601503759402,-0.1590064380175483,0.02081200402112394
S5_HISTORICAL_TEST,both_AB_train_validation_pair_unseen,Palinova_B_binary,185,1000,-0.14581791691495194,-0.31399179182580633,-0.009184723817777145,-0.05667167919799487,-0.1371874137375448,-0.0006127478817622171
S5_HISTORICAL_TEST,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,185,1000,-0.16099433819571607,-0.32872579034542576,-0.020190716182994534,-0.021754385964912193,-0.12583593324219705,0.06739520944207124
S5_HISTORICAL_TEST,both_AB_train_validation_group_unseen,Palinova_A_binary,51,1000,-0.09254746262014868,-0.20636740290915814,0.04780664428346767,0.04541160304032288,-0.05365501024123734,0.1346398412447048
S5_HISTORICAL_TEST,both_AB_train_validation_group_unseen,Palinova_B_binary,51,1000,-0.016366973797036666,-0.1795302531381197,0.07106352722814765,0.01429982393610163,-0.05195678357887942,0.0741683459765784
S5_HISTORICAL_TEST,both_AB_train_validation_group_unseen,Palinova_A_joint_reference,51,1000,-0.05750786313416967,-0.25912710819687823,0.09948665327269779,0.06102117061021162,-0.06414504178458005,0.17535142655515032
MERGED_REFRESH_488,all_original_members,Palinova_A_binary,83,1000,0.1871915792019676,0.00748039970054145,0.3538796943716565,0.1904479508630731,0.10699599210884231,0.2712370098817487
MERGED_REFRESH_488,all_original_members,Palinova_B_binary,83,1000,0.023023982091332718,-0.1126267174012678,0.21747189517476664,0.12487556920470178,0.038719711728191886,0.22058102295596294
MERGED_REFRESH_488,all_original_members,Palinova_A_joint_reference,83,1000,0.10057654974918084,-0.1121635122563318,0.3280074320700012,0.1823255321402094,0.08808246127400345,0.2652854862704312
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_A_binary,37,1000,-0.08430139399003933,-0.1842386297226161,0.09091577269649061,0.03753086419753082,-0.05262590880559173,0.120129803519293
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_B_binary,37,1000,-0.12447594709314214,-0.23047315917626615,0.04524753670771006,0.02641975308641964,-0.03933969229377065,0.1221107098849947
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,37,1000,-0.15524254273088522,-0.3082648540000096,0.16213714500913198,0.0669135802469134,-0.055949928011518144,0.17870256686164135
MERGED_REFRESH_488,both_AB_train_validation_group_unseen,Palinova_A_binary,26,1000,-0.056904005612021025,-0.18633945747384806,0.1550122148417515,0.06113775065387972,-0.030263895962425378,0.15590761020603455
MERGED_REFRESH_488,both_AB_train_validation_group_unseen,Palinova_B_binary,26,1000,-0.09098906851317135,-0.23563581165198705,0.10975566059875042,0.03389276373147332,-0.04675432336406177,0.15393936400423705
MERGED_REFRESH_488,both_AB_train_validation_group_unseen,Palinova_A_joint_reference,26,1000,-0.13076518312408342,-0.31340075551227864,0.22727879594261916,0.08162598081952921,-0.05717447916666665,0.20741862046409135
BINDINGDB_479,all_original_members,Palinova_A_binary,76,1000,0.2173195289205644,0.045531142290225174,0.388342298168386,0.204090395480226,0.12593314361925756,0.2828765085549751
BINDINGDB_479,all_original_members,Palinova_B_binary,76,1000,0.04395691692179715,-0.09315941130352684,0.2366480107099738,0.13497175141242934,0.04751342158070852,0.22988597598160546
BINDINGDB_479,all_original_members,Palinova_A_joint_reference,76,1000,0.1246300706779706,-0.06459825582107905,0.35329519673985604,0.19449717514124287,0.11293457892416231,0.2743287349476161
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_A_binary,32,1000,-0.05278125986869864,-0.163191351019676,0.13410189066347325,0.058245358572988626,-0.03212186857687254,0.14882860195360206
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_B_binary,32,1000,-0.09497656955246891,-0.20989911889127075,0.08827011290109339,0.04040771751001093,-0.02955801379445639,0.13832140852974179
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,32,1000,-0.134163015315932,-0.29873363031187244,0.2129685592958998,0.08345467783036031,-0.0388745982271196,0.20151851526851522
BINDINGDB_479,both_AB_train_validation_group_unseen,Palinova_A_binary,25,1000,-0.051806128003001106,-0.17530691469518936,0.17018624429825488,0.06418010752688164,-0.02374013102868407,0.17241260027068564
BINDINGDB_479,both_AB_train_validation_group_unseen,Palinova_B_binary,25,1000,-0.0786877866881408,-0.22026333107695784,0.12881729640210204,0.03976254480286745,-0.045451590483575076,0.16254410435632322
BINDINGDB_479,both_AB_train_validation_group_unseen,Palinova_A_joint_reference,25,1000,-0.1261642942178905,-0.30153712982435377,0.2428276119906358,0.08568548387096786,-0.04762077796234768,0.2151949499420478
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_A_binary,65,1000,0.13689062146966913,-0.015447429486929898,0.3222256536572516,0.1418255023640661,0.07526596709311523,0.20638080420952407
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_B_binary,65,1000,-0.04979449157948024,-0.14175303597861696,0.12066986783544321,0.06262928486997643,-0.007234521790526587,0.13969963308888406
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_A_joint_reference,65,1000,0.03768849272666652,-0.14308450479244197,0.28923281008819157,0.13139036643026003,0.046867139658279613,0.2066378519932677
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_A_binary,27,1000,-0.057842198430668956,-0.17057699269905405,0.11589365707065169,0.04089068825910935,-0.03511748120300751,0.1050053146258503
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_B_binary,27,1000,-0.09521850194049275,-0.2476143212895165,0.10118295396935809,0.023886639676113375,-0.047094426732271044,0.11162287558120879
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,27,1000,-0.14401137951695098,-0.3134148441798066,0.19999113633361687,0.06427125506072884,-0.055641382697077954,0.1683885045605817
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_group_unseen,Palinova_A_binary,22,1000,-0.0789731982722085,-0.1973715682191333,0.10458172943805122,0.0341516771998055,-0.050450883959548366,0.09358617796847915
BINDINGDB_IDENTITY_CHEMISTRY_382,both_AB_train_validation_group_unseen,Palinova_B_binary,22,1000,-0.09109788727768942,-0.25362413600882194,0.12292929329543836,0.019567331064657245,-0.06729280416581321,0.12226585006426437
