cohort,scope,model,pairs,positive,negative,random_ap_reference,ap,auroc,drug_queries_both_classes,drug_macro_ap,drug_macro_auroc,drug_p5,drug_p5_queries,target_queries_both_classes,target_macro_ap,target_macro_auroc,target_p5,target_p5_queries
S5_HISTORICAL_TEST,all_original_members,original_SPR_ranker,2556,354,2202,0.13849765258215962,0.5443791239929306,0.7852170856488965,75,0.7520878694540815,0.8038702948691443,0.4222222222222222,54,102,0.6303078835313559,0.7239085988277791,0.35072463768115947,69
S5_HISTORICAL_TEST,all_original_members,Palinova_A_binary,2556,354,2202,0.13849765258215962,0.591776862902968,0.9230225988700564,75,0.8363674769997876,0.8499742671625906,0.5444444444444445,54,102,0.8064188105111508,0.912039395099819,0.45797101449275357,69
S5_HISTORICAL_TEST,all_original_members,Palinova_B_binary,2556,354,2202,0.13849765258215962,0.591148920267742,0.9061779994560673,75,0.7976765071121223,0.8614408734081286,0.49259259259259264,54,102,0.7475970677576875,0.8911676225029338,0.42898550724637685,69
S5_HISTORICAL_TEST,all_original_members,Palinova_A_joint_reference,2556,354,2202,0.13849765258215962,0.6073364083742107,0.9288198453383417,75,0.8560481161155183,0.8584284313704359,0.5555555555555555,54,102,0.8159221132205522,0.9055437063812366,0.4695652173913043,69
S5_HISTORICAL_TEST,both_AB_train_validation_pair_unseen,original_SPR_ranker,620,95,525,0.1532258064516129,0.5779502189782965,0.8163408521303257,21,0.8049836846992988,0.7618822512713134,0.5454545454545454,11,38,0.7453449800973021,0.6675438596491228,0.4,14
S5_HISTORICAL_TEST,both_AB_train_validation_pair_unseen,Palinova_A_binary,620,95,525,0.1532258064516129,0.3228151009384061,0.7579348370927317,21,0.7549349309793569,0.7302167036576769,0.45454545454545453,11,38,0.6854721473916519,0.616125730994152,0.3714285714285715,14
S5_HISTORICAL_TEST,both_AB_train_validation_pair_unseen,Palinova_B_binary,620,95,525,0.1532258064516129,0.4321323020633445,0.7596691729323308,21,0.7618876025274284,0.8253152112262304,0.5272727272727272,11,38,0.6845555161874495,0.5869298245614035,0.38571428571428573,14
S5_HISTORICAL_TEST,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,620,95,525,0.1532258064516129,0.4169558807825804,0.7945864661654135,21,0.8161857067058798,0.8460019133101269,0.5090909090909091,11,38,0.79500488661846,0.7594736842105262,0.4142857142857143,14
S5_HISTORICAL_TEST,both_AB_train_validation_group_unseen,original_SPR_ranker,392,73,319,0.18622448979591838,0.6030653831661922,0.7812083995362219,13,0.7170249265655338,0.692271328976737,0.5800000000000001,10,25,0.8266666666666665,0.7513333333333333,0.5,10
S5_HISTORICAL_TEST,both_AB_train_validation_group_unseen,Palinova_A_binary,392,73,319,0.18622448979591838,0.5105179205460435,0.8266200025765448,13,0.7451512987615254,0.756503905908555,0.48,10,25,0.723111111111111,0.5953333333333333,0.5,10
S5_HISTORICAL_TEST,both_AB_train_validation_group_unseen,Palinova_B_binary,392,73,319,0.18622448979591838,0.5866984093691555,0.7955082234723235,13,0.7499722810058458,0.8396117514680134,0.5599999999999999,10,25,0.7652253968253967,0.6626666666666666,0.4800000000000001,10
S5_HISTORICAL_TEST,both_AB_train_validation_group_unseen,Palinova_A_joint_reference,392,73,319,0.18622448979591838,0.5455575200320225,0.8422295701464335,13,0.7992230646787287,0.8281569368855896,0.54,10,25,0.8137777777777778,0.728,0.54,10
MERGED_REFRESH_488,all_original_members,original_SPR_ranker,488,133,355,0.2725409836065574,0.6224866858899505,0.7470295456952241,19,0.8240958938448375,0.8438602753561202,0.48333333333333334,12,45,0.652322276488943,0.7001601330767997,0.37419354838709684,31
MERGED_REFRESH_488,all_original_members,Palinova_A_binary,488,133,355,0.2725409836065574,0.8096782650919181,0.9374774965582972,19,0.7965445143828603,0.7569318498265867,0.5499999999999999,12,45,0.8664197530864197,0.9340011223344558,0.4451612903225808,31
MERGED_REFRESH_488,all_original_members,Palinova_B_binary,488,133,355,0.2725409836065574,0.6455106679812832,0.8719051148999258,19,0.8123432695137406,0.8234522710284483,0.48333333333333334,12,45,0.7147222222222223,0.8216235770402438,0.4387096774193549,31
MERGED_REFRESH_488,all_original_members,Palinova_A_joint_reference,488,133,355,0.2725409836065574,0.7230632356391313,0.9293550778354335,19,0.8450470766149669,0.8316814764183186,0.5666666666666668,12,45,0.8285016835016835,0.9035489818823151,0.4451612903225808,31
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,original_SPR_ranker,180,45,135,0.25,0.6578591379230636,0.7568724279835392,8,0.6152206150970974,0.7132263107263107,0.31999999999999995,5,16,0.8229166666666666,0.6979166666666667,0.4,1
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_A_binary,180,45,135,0.25,0.5735577439330243,0.79440329218107,8,0.5949182216592931,0.6372017797017797,0.4,5,16,0.8385416666666666,0.7760416666666667,0.4,1
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_B_binary,180,45,135,0.25,0.5333831908299215,0.7832921810699588,8,0.6381074921987646,0.7063627344877345,0.44000000000000006,5,16,0.8333333333333333,0.8020833333333334,0.4,1
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,180,45,135,0.25,0.5026165951921784,0.8237860082304526,8,0.6944868069605464,0.7252435064935066,0.4,5,16,0.8333333333333333,0.796875,0.4,1
MERGED_REFRESH_488,both_AB_train_validation_group_unseen,original_SPR_ranker,161,37,124,0.22981366459627328,0.6104603748276269,0.743025283347864,7,0.6673949886823969,0.725830069401498,0.35000000000000003,4,15,0.7888888888888889,0.6444444444444445,,0
MERGED_REFRESH_488,both_AB_train_validation_group_unseen,Palinova_A_binary,161,37,124,0.22981366459627328,0.5535563692156059,0.8041630340017437,7,0.6441922533249063,0.6389448910877482,0.45000000000000007,4,15,0.8722222222222221,0.8388888888888889,,0
MERGED_REFRESH_488,both_AB_train_validation_group_unseen,Palinova_B_binary,161,37,124,0.22981366459627328,0.5194713063144556,0.7769180470793373,7,0.693551419655731,0.7179859822716965,0.5,4,15,0.861111111111111,0.8555555555555556,,0
