sequence_key,gene,channel,rows,positives,auroc,ap
SEQ000006,ACHE,binder,24,12,0.6805555555555555,0.7806955939750562
SEQ000006,ACHE,affinity,24,12,0.7916666666666667,0.8700396825396826
SEQ000007,ACLY,binder,23,12,0.3712121212121212,0.46853709585907727
SEQ000007,ACLY,affinity,23,12,0.5984848484848485,0.6841320454378235
SEQ000022,ALDH2,binder,24,12,0.2638888888888889,0.3921815087933509
SEQ000022,ALDH2,affinity,24,12,0.6597222222222223,0.6588767158910347
SEQ000026,ALOX5,binder,23,12,0.6136363636363636,0.6262550315181893
SEQ000026,ALOX5,affinity,23,12,0.9772727272727273,0.9833333333333335
SEQ000044,BMPR2,binder,24,12,0.7222222222222221,0.8153416393547972
SEQ000044,BMPR2,affinity,24,12,0.8125,0.8654470400600431
SEQ000056,CACNA1B,binder,0,0,,
SEQ000056,CACNA1B,affinity,0,0,,
SEQ000118,DPP4,binder,24,12,0.8680555555555556,0.9168803418803418
SEQ000118,DPP4,affinity,24,12,1.0,1.0
SEQ000237,KCNA5,binder,24,12,0.4444444444444445,0.6131176146601338
SEQ000237,KCNA5,affinity,24,12,0.7152777777777778,0.6481641713549608
SEQ000246,KCNK3,binder,23,12,0.8333333333333333,0.8314093314093315
SEQ000246,KCNK3,affinity,23,12,0.9242424242424242,0.9401094276094278
SEQ000247,KCNK9,binder,24,12,0.9583333333333334,0.960479797979798
SEQ000247,KCNK9,affinity,24,12,0.8333333333333334,0.7260521885521884
SEQ000275,MMP13,binder,24,12,1.0,1.0
SEQ000275,MMP13,affinity,24,12,1.0,1.0
SEQ000280,MST1R,binder,23,11,1.0,1.0
SEQ000280,MST1R,affinity,23,11,1.0,1.0
SEQ000302,P2RX3,binder,24,12,1.0,1.0
SEQ000302,P2RX3,affinity,24,12,1.0,1.0
SEQ000432,TRPV1,binder,21,12,0.9907407407407407,0.9935897435897437
SEQ000432,TRPV1,affinity,21,12,0.9907407407407407,0.9935897435897437
SEQ000482,CETP,binder,24,12,0.7638888888888888,0.743727364683247
SEQ000482,CETP,affinity,24,12,0.9097222222222222,0.9024843212343212
SEQ000566,MMP12,binder,24,12,1.0,1.0
SEQ000566,MMP12,affinity,24,12,1.0,1.0
SEQ000619,ADAMTS5,binder,24,12,0.9861111111111112,0.988095238095238
SEQ000619,ADAMTS5,affinity,24,12,1.0,1.0
SEQ000631,APEX1,binder,24,12,0.33333333333333337,0.5225622817728081
SEQ000631,APEX1,affinity,24,12,0.8125,0.7953465515965517
SEQ000712,GRIK1,binder,24,12,0.5486111111111112,0.6406725584357162
SEQ000712,GRIK1,affinity,24,12,0.6666666666666665,0.7706388110799876
SEQ000752,LOXL2,binder,24,12,0.5138888888888888,0.588230030069864
SEQ000752,LOXL2,affinity,24,12,0.9166666666666667,0.8909162596662596
