target_chembl_id,gene_symbol,target_class_l1,assay_lane,calibration_status,positive_compounds,negative_compounds,computed_pocket_evidence,evidence_compute_route,next_compute_action_zh,wetlab_priority,CONPLEX_TARGET_TOP5PCT_FRAGMENT_EXPLORATORY,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
CHEMBL1075094,NFE2L2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,同时补对照和构象证据；不得用单一fpocket位点做发现排序,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.0,20.0
CHEMBL1163124,MAP3K13,Enzyme,KINASE_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,30,102,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,1.0
CHEMBL1250375,NOX4,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,58,22,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,7.0
CHEMBL1287628,NOX1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T3_MINIMUM_POSITIVE_NEGATIVE,78,19,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.0,1.0
CHEMBL1641348,SLC22A8,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,3,11,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,双方法口袋可用，但先补足实测阴性/阳性对照；当前仅做探索性局部计算,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.0,5.0
CHEMBL1641353,POLR2A,Enzyme,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,1,0,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,双方法口袋可用，但先补足实测阴性/阳性对照；当前仅做探索性局部计算,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.0,5.0
CHEMBL1835,TBXAS1,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,58,849,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.0,4.0
CHEMBL1839,TPO,Enzyme,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,6,14,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,双方法口袋可用，但先补足实测阴性/阳性对照；当前仅做探索性局部计算,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.0,6.0
CHEMBL1846,RYR1,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,1,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,先用实验/同源结构或带MSA模型提高局部结构置信度，再复核口袋,W3_CONTROL_OR_STRUCTURE_ACQUISITION,36.0,0.0
CHEMBL1874,SLC12A1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,双方法口袋可用，但先补足实测阴性/阳性对照；当前仅做探索性局部计算,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.0,13.0
