target_chembl_id,control_chembl_id,control_name,control_inchikey,fda_identity_tier,exact_fda_structure_match,fda_applications,fda_urls,endpoint,numeric_median_nM,positive_rows,weak_rows,affinity_conflict,representative_value_nM,representative_relation,assay_url,assay_description,doi,pubmed_id,status,endpoint_order
CHEMBL205,CHEMBL218490,DORZOLAMIDE,IAVUPMFITXYVAF-XPUUQOCRSA-N,项目FDA注册表完整InChIKey匹配,True,NDA202667,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202667,Kd,0.043,1,0,False,0.043,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3419421,Binding affinity to human carbonic anhydrase 2 incubated for 1 hr using labeled BODIPY558/568-acetazolamide as tracer by fluorescence polarization tight binding assay,10.1021/acs.jmedchem.5b00043,25728019.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL2971,CHEMBL4298138,REPOTRECTINIB,FIKPXCOQUIZNHB-WDEREUQCSA-N,项目FDA注册表完整InChIKey匹配,True,NDA218213,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=218213,Kd,0.082,2,0,False,0.082,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5733381,"Kinase Binding Assays: Kinase binding assays were performed at DiscoveRx using the general KINOMEscan Kd Protocol (Fabian, M. A. et al., A small molecule-kinase interaction map for clinical kinase inhibitors, Nat. Biotechnol. 2005, 23(3):329-36). For most assays, kinase-tagged T7 phage strains were prepared in an E. coli host derived from the BL21 strain. E. coli were grown to log-phase and infected with T7 phage and incubated with shaking at 32° C. until lysis. The lysates were centrifuged and filtered to remove cell debris. The remaining kinases were produced in HEK-293 cells and subsequently tagged with DNA for qPCR detection. Streptavidin-coated magnetic beads were treated with biotinylated small molecule ligands for 30 minutes at room temperature to generate affinity resins for kinase assays. The liganded beads were blocked with excess biotin and washed with blocking buffer (SeaBlock (Pierce), 1% BSA, 0.05% Tween 20, 1 mM DTT) to remove unbound ligand and to reduce nonspecific binding. Binding reactions were assembled by combining kinases, liganded affinity beads, and test compounds in 1× binding buffer (20% SeaBlock, 0.17×PBS, 0.05% Tween 20, 6 mM DTT). All reactions were performed in polystyrene 96-well plates in a final volume of 0.135 mL. The assay plates were incubated at room temperature with shaking for 1 hour and the affinity beads were washed with wash buffer (1×PBS, 0.05% Tween 20). The beads were then re-suspended in elution buffer (1×PBS, 0.05% Tween 20, 0.5 μM non-biotinylated affinity ligand) and incubated at room temperature with shaking for 30 minutes. The kinase concentration in the eluates was measured by qPCR. Results for compounds tested in this assay are presented in Table 2. With this method, Example 20 also had a binding affinity with PLK4 kinase (Kd 2.9 nM).",,,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL205,CHEMBL220491,BRINZOLAMIDE,HCRKCZRJWPKOAR-JTQLQIEISA-N,项目FDA注册表完整InChIKey匹配,True,NDA204251,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204251,Kd,0.089,1,0,False,0.089,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3419421,Binding affinity to human carbonic anhydrase 2 incubated for 1 hr using labeled BODIPY558/568-acetazolamide as tracer by fluorescence polarization tight binding assay,10.1021/acs.jmedchem.5b00043,25728019.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL2835,CHEMBL4435170,DEUCRAVACITINIB,BZZKEPGENYLQSC-FIBGUPNXSA-N,项目FDA注册表完整InChIKey匹配,True,NDA214958,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=214958,Kd,0.28,2,0,False,0.33,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5327986,Binding affinity to human JAK1 JH2 domain assessed as dissociation constant,10.1021/acs.jmedchem.3c00600,37427891.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL5366,CHEMBL521686,OLAPARIB,FDLYAMZZIXQODN-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA208558,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208558,Kd,0.28,3,0,False,0.28,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3607371,Binding affinity to recombinant human HisGST-tagged PARP-2 catalytic domain by surface plasmon resonance analysis,10.1021/acs.jmedchem.5b00680,26222319.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL3717,CHEMBL3188267,CAPMATINIB,LIOLIMKSCNQPLV-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA213591,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213591,Kd,0.3,1,0,False,0.3,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL3991789,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",10.1126/science.aan4368,29191878.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL1936,CHEMBL535,SUNITINIB,WINHZLLDWRZWRT-ATVHPVEESA-N,项目FDA注册表完整InChIKey匹配,True,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,Kd,0.37,3,0,False,0.71,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL860918,Average Binding Constant for KIT; NA=Not Active at 10 uM,10.1038/nbt1068,15711537.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL1994,CHEMBL103,PROGESTERONE,RJKFOVLPORLFTN-LEKSSAKUSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022057; NDA210132,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022057; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210132,Kd,0.39,1,0,False,0.39,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL729176,Affinity for recombinant Mineralocorticoid receptor,10.1021/jm9601359,8709117.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL1871,CHEMBL386630,TESTOSTERONE,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022219; NDA022309; NDA204399; NDA205488; NDA206089; NDA208088; NDA209863; NDA213953; NDA216318,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022219; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022309; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204399,Kd,0.4,1,0,False,0.4,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5140896,Binding affinity to human Androgen receptor,10.1021/acs.jmedchem.2c00716,35786895.0,直接亲和候选，构建与SPR适用性待确认,0
CHEMBL1862,CHEMBL4208229,ASCIMINIB,VOVZXURTCKPRDQ-CQSZACIVSA-N,项目FDA注册表完整InChIKey匹配,True,NDA215358,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=215358,Kd,0.5,1,0,False,0.5,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4200854,Binding affinity to ABL1 (64 to 515 residues) (unknown origin) expressed in Escherichia coli by ITC analysis,10.1021/acs.jmedchem.8b01040,30137981.0,直接亲和候选，构建与SPR适用性待确认,0
