molregno,control_chembl_id,control_name,control_inchikey,fda_identity_tier,exact_fda_structure_match,fda_applications,fda_urls
97,CHEMBL2,PRAZOSIN,IENZQIKPVFGBNW-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA071745; ANDA071994; ANDA071995; ANDA072573; ANDA072574; ANDA072575; ANDA210971; ANDA213052; ANDA213406; ANDA214608; ANDA215697; ANDA216727; ANDA217268; NDA017442,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=071745; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=071994; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=071995
115,CHEMBL3,NICOTINE,SNICXCGAKADSCV-JTQLQIEISA-N,项目FDA注册表完整InChIKey匹配,True,NDA022360,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022360
146,CHEMBL4,OFLOXACIN,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA076093; ANDA076128; ANDA076182; ANDA076407; ANDA076513; ANDA076527; ANDA076622; ANDA077098; ANDA078559; ANDA091656; ANDA202692; ANDA211525; ANDA213597; ANDA215038; ANDA215886; ANDA216130; ANDA216328; ANDA217903; ANDA217904; ANDA218557; NDA019921,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076093; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076128; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076182
173,CHEMBL6,INDOMETHACIN,CGIGDMFJXJATDK-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022536,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022536
194,CHEMBL403,SULBACTAM,FKENQMMABCRJMK-RITPCOANSA-N,项目FDA注册表完整InChIKey匹配,True,NDA216974,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216974
207,CHEMBL404,TAZOBACTAM,LPQZKKCYTLCDGQ-WEDXCCLWSA-N,项目FDA注册表完整InChIKey匹配,True,NDA206056; NDA206829,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206056; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206829
241,CHEMBL8,CIPROFLOXACIN,MYSWGUAQZAJSOK-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA021918; NDA208251,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021918; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208251
543,CHEMBL405,AMPHETAMINE,KWTSXDURSIMDCE-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022063; NDA204326; NDA208147; NDA210526,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022063; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204326; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208147
556,CHEMBL6622,ISOSORBIDE DINITRATE,MOYKHGMNXAOIAT-JGWLITMVSA-N,项目FDA注册表完整InChIKey匹配,True,NDA020727,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020727
605,CHEMBL11,IMIPRAMINE,BCGWQEUPMDMJNV-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA040751; ANDA040903; ANDA081049; ANDA081050; ANDA083745; ANDA084936; ANDA084937; ANDA088262; ANDA088276; ANDA088292; ANDA090444; ANDA091099,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040751; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040903; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=081049
619,CHEMBL406,INDAPAMIDE,NDDAHWYSQHTHNT-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA074299; ANDA074461; ANDA074722,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074299; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074461; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074722
635,CHEMBL407,FLUMAZENIL,OFBIFZUFASYYRE-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA076256; ANDA076755; ANDA076955; ANDA077071; ANDA078527; ANDA078595; ANDA090584,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076256; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076755; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076955
717,CHEMBL409,BICALUTAMIDE,LKJPYSCBVHEWIU-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022310,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022310
721,CHEMBL12,DIAZEPAM,AAOVKJBEBIDNHE-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA211635,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211635
789,CHEMBL13,METOPROLOL,IUBSYMUCCVWXPE-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA210428; NDA218698; NDA219373,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210428; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=218698; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=219373
