新靶点名称,新靶点基因,新靶点ChEMBL编号,原拟用对照,原对照ChEMBL编号,target_chembl_id,control_chembl_id,control_name,control_inchikey,fda_identity_tier,exact_fda_structure_match,fda_applications,fda_urls,endpoint,numeric_median_nM,positive_rows,weak_rows,affinity_conflict,representative_value_nM,representative_relation,assay_url,assay_description,doi,pubmed_id,status,endpoint_order,覆盖类别,未入选原因
FDPS — Farnesyl pyrophosphate synthase,FDPS,CHEMBL1782,METHYL CARNOSATE,CHEMBL2333537,CHEMBL1782,CHEMBL4303669,ZOLEDRONIC ACID,FUXFIVRTGHOMSO-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA091186; ANDA091363; ANDA091493; ANDA091516; ANDA200918; ANDA201783; ANDA202163; ANDA202182; ANDA202548; ANDA202571; ANDA202650; ANDA202828; ANDA202923; ANDA202930; ANDA203841; ANDA204217; ANDA205254; ANDA205279; ANDA205749; ANDA207341; ANDA209578; ANDA210174; ANDA213371; ANDA219984; NDA021386; NDA021817; NDA022080; NDA203231,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091186; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091363; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091493,Ki,42.985,2.0,0.0,False,85.9,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL924793,Inhibition of human recombinant FPPS expressed in Escherichia coli BL21,10.1021/jm7015733,18327899.0,直接亲和候选，构建与SPR适用性待确认,1.0,B_FDA名称匹配且有Kd或Ki线索_身份待复核,
ACE — Angiotensin-converting enzyme,ACE,CHEMBL1808,LISINOPRIL ANHYDROUS,CHEMBL1237,CHEMBL1808,CHEMBL1237,LISINOPRIL ANHYDROUS,RLAWWYSOJDYHDC-BZSNNMDCSA-N,项目FDA注册表完整InChIKey匹配,True,NDA208401,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208401,Kd,24.0,1.0,0.0,False,24.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL6179898,Binding affinity to ACE (unknown origin) assessed as dissociation constant by isothermal titration calorimetric analysis,10.1016/j.ejmech.2025.117564,40153927.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
ERBB2 — Receptor tyrosine-protein kinase erbB-2,ERBB2,CHEMBL1824,IBRUTINIB,CHEMBL1873475,CHEMBL1824,CHEMBL1873475,IBRUTINIB,XYFPWWZEPKGCCK-GOSISDBHSA-N,项目FDA注册表完整InChIKey匹配,True,NDA205552; NDA210563; NDA217003,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205552; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210563; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=217003,Kd,0.975,2.0,0.0,False,1.2,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4358519,Binding affinity to DNA-tagged recombinant ERBB2 (unknown origin) measured after 1 hr by biotinylated-ligand affinity bead-based qPCR analysis,10.1021/acs.jmedchem.9b01916,32083858.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
"PDE5A — cGMP-specific 3',5'-cyclic phosphodiesterase",PDE5A,CHEMBL1827,研究化合物 CHEMBL2180945（无通用名称）,CHEMBL2180945,CHEMBL1827,CHEMBL779,TADALAFIL,WOXKDUGGOYFFRN-IIBYNOLFSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022332; NDA214522; NDA218490,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022332; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=214522; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=218490,Kd,2.15,2.0,0.0,False,2.4,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5723290,Affinity Biochemical interaction: (competitive binding assay with radiolabelled [3H]tadalafil) EUB0002731a PDE5A,10.6019/CHEMBL5723035,,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
FYN — Tyrosine-protein kinase Fyn,FYN,CHEMBL1841,DASATINIB ANHYDROUS,CHEMBL1421,CHEMBL1841,CHEMBL1421,DASATINIB ANHYDROUS,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA021986; NDA022072; NDA216099,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021986; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022072; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216099,Kd,3.8575,2.0,0.0,False,3.715,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5651448,Binding affinity to human FYN incubated for 45 mins by Kinobead based pull down assay,10.1002/cmdc.201800398,29928781.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
CSF1R — Macrophage colony-stimulating factor 1 receptor,CSF1R,CHEMBL1844,DASATINIB ANHYDROUS,CHEMBL1421,CHEMBL1844,CHEMBL535,SUNITINIB,WINHZLLDWRZWRT-ATVHPVEESA-N,项目FDA注册表完整InChIKey匹配,True,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,Kd,2.0,1.0,0.0,False,2.0,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL1063702,Binding constant for CSF1R kinase domain,10.1038/nbt1358,18183025.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
ABL1 — Tyrosine-protein kinase ABL1,ABL1,CHEMBL1862,PONATINIB,CHEMBL1171837,CHEMBL1862,CHEMBL4208229,ASCIMINIB,VOVZXURTCKPRDQ-CQSZACIVSA-N,项目FDA注册表完整InChIKey匹配,True,NDA215358,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=215358,Kd,0.5,1.0,0.0,False,0.5,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL4200854,Binding affinity to ABL1 (64 to 515 residues) (unknown origin) expressed in Escherichia coli by ITC analysis,10.1021/acs.jmedchem.8b01040,30137981.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
FLT1 — Vascular endothelial growth factor receptor 1,FLT1,CHEMBL1868,STAUROSPORINE,CHEMBL388978,CHEMBL1868,CHEMBL535,SUNITINIB,WINHZLLDWRZWRT-ATVHPVEESA-N,项目FDA注册表完整InChIKey匹配,True,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,Kd,1.8,1.0,0.0,False,1.8,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL1061174,Binding constant for FLT1 kinase domain,10.1038/nbt1358,18183025.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
AR — Androgen receptor,AR,CHEMBL1871,TESTOSTERONE,CHEMBL386630,CHEMBL1871,CHEMBL386630,TESTOSTERONE,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022219; NDA022309; NDA204399; NDA205488; NDA206089; NDA208088; NDA209863; NDA213953; NDA216318,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022219; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022309; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204399,Kd,0.4,1.0,0.0,False,0.4,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5140896,Binding affinity to human Androgen receptor,10.1021/acs.jmedchem.2c00716,35786895.0,直接亲和候选，构建与SPR适用性待确认,0.0,A_完整FDA结构匹配且有Kd或Ki线索,
FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,FKBP1A,CHEMBL1902,SIROLIMUS,CHEMBL413,CHEMBL1902,CHEMBL413,SIROLIMUS,QFJCIRLUMZQUOT-HPLJOQBZSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA201578; ANDA201676; ANDA208691; ANDA211040; ANDA211212; ANDA211406; ANDA214753; ANDA215080; ANDA215116; ANDA216728; NDA021083; NDA021110; NDA213312; NDA213478,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201578; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201676; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208691,Kd,0.2,4.0,0.0,False,0.2,=,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL5506186,Binding affinity to FKBP12 (unknown origin) assessed as dissociation constant,10.1016/j.ejmech.2023.115950,37984298.0,直接亲和候选，构建与SPR适用性待确认,0.0,B_FDA名称匹配且有Kd或Ki线索_身份待复核,
