排序,原候选编号,小分子药物名称,新靶点基因,结合排名_每药384靶点,当前实验建议,FDA身份状态,pair_id,ensemble_drug_to_target_logit_rank_within_drug_384,usable_chemical_support_ge04,recommended_disease_is_cross_area
1,C384-001,tecovirimat,AR,1,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871,51,True,True
2,C384-040,piperacillin,CA1,1,仍可探索,本轮未确认FDA批准身份,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL261,32,True,True
3,C384-089,tamsulosin,CA4,1,仍可探索,FDA名称匹配；精确结构身份待复核,DRHKJLXJIQTDTD-OAHLLOKOSA-N__CHEMBL3729,2,False,True
4,C384-156,morphine,CA7,1,仍可探索,本轮未确认FDA批准身份,BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL2326,9,False,True
5,C384-074,sotalol,NR3C2,1,仍可探索,本轮未确认FDA批准身份,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1994,7,False,False
6,C384-194,labetalol,MME,1,仍可探索,本轮未确认FDA批准身份,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1944,126,False,False
7,C384-283,arformoterol,CTSC,1,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL2252,35,False,False
8,C384-285,relebactam,MMP7,1,仍可探索,本轮未确认FDA批准身份,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4073,122,False,False
9,C384-007,vismodegib,NTRK1,2,仍可探索,本轮未确认FDA批准身份,BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815,39,True,False
10,C384-093,metoprolol,CA4,2,仍可探索,FDA名称匹配；精确结构身份待复核,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL3729,172,False,True
11,C384-094,solifenacin,CA7,2,仍可探索,本轮未确认FDA批准身份,FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL2326,5,False,True
12,C384-128,macimorelin,ACE,2,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,UJVDJAPJQWZRFR-DHIUTWEWSA-N__CHEMBL1808,22,False,True
13,C384-157,oxycodone,CA7,2,仍可探索,本轮未确认FDA批准身份,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL2326,18,False,True
