对照编号,新靶点名称,新靶点的已知药物名称,精确对照原始证据已匹配,对照身份,对照证据类型,对照确认状态,对照ChEMBL编号,对照完整InChIKey,对照SMILES,新靶点ChEMBL编号,新靶点基因,原对照名称,参考证据层级,真实ChEMBL实验编号,真实ChEMBL文献编号,证据文献DOI,原pair_id,对照用途,pair_id,原对照编号,替换前对照名称,替换前对照ChEMBL编号,对照修订版本,本次FDA替换,FDA身份状态,FDA审批申请号,FDA审批来源,对照构建适用条件,替换依据,选用参考activity_id,选用参考端点,选用参考值_nM,选用参考实验描述,对照原靶点名称,对照原靶点编号,对照原作用机制
CTRL-FDA-004,"PDE5A — cGMP-specific 3',5'-cyclic phosphodiesterase",TADALAFIL,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL779,WOXKDUGGOYFFRN-IIBYNOLFSA-N,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,CHEMBL1827,PDE5A,CHEMBL2180945,Kd_RECORD_PRESENT,CHEMBL5723290,CHEMBL5723035,10.6019/CHEMBL5723035,FJJLJIBQQGUEHI-UHFFFAOYSA-N__CHEMBL1827,每个靶点另计参考；不计入384候选；不是384次重复采购,WOXKDUGGOYFFRN-IIBYNOLFSA-N__CHEMBL1827,CTRL-004,研究化合物 CHEMBL2180945（无通用名称）,CHEMBL2180945,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022332; NDA214522; NDA218490,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022332; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=214522; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=218490,含完整催化/配体结合区域的PDE5A；采用平衡竞争Kd记录，不使用标作解离速率的相邻记录。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,26335819,Kd,2.4,Affinity Biochemical interaction: (competitive binding assay with radiolabelled [3H]tadalafil) EUB0002731a PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",CHEMBL1827,Phosphodiesterase 5A inhibitor
CTRL-FDA-008,FLT1 — Vascular endothelial growth factor receptor 1,SUNITINIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL535,WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CHEMBL1868,FLT1,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1061174,CHEMBL1150977,10.1038/nbt1358,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1868,每个靶点另计参考；不计入384候选；不是384次重复采购,WINHZLLDWRZWRT-ATVHPVEESA-N__CHEMBL1868,CTRL-008,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2907373,Kd,1.8,Binding constant for FLT1 kinase domain,Macrophage colony-stimulating factor 1 receptor; Mast/stem cell growth factor receptor Kit; Platelet-derived growth factor receptor; Platelet-derived growth factor receptor alpha; Platelet-derived growth factor receptor beta; Proto-oncogene tyrosine-protein kinase receptor Ret; Receptor-type tyrosine-protein kinase FLT3; Vascular endothelial growth factor receptor; Vascular endothelial growth factor receptor 1; Vascular endothelial growth factor receptor 2; Vascular endothelial growth factor receptor 3,CHEMBL1844; CHEMBL1868; CHEMBL1913; CHEMBL1936; CHEMBL1955; CHEMBL1974; CHEMBL2007; CHEMBL2041; CHEMBL2095189; CHEMBL2095227; CHEMBL279,Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Platelet-derived growth factor receptor beta inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Vascular endothelial growth factor receptor 3 inhibitor; Vascular endothelial growth factor receptor inhibitor
CTRL-FDA-012,XDH — Xanthine dehydrogenase/oxidase,FEBUXOSTAT,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL1164729,BQSJTQLCZDPROO-UHFFFAOYSA-N,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,CHEMBL1929,XDH,TOPIROXOSTAT,Ki_NO_Kd_RECORD,CHEMBL4054643,CHEMBL4052641,10.1016/j.ejmech.2017.04.031,UBVZQGOVTLIHLH-UHFFFAOYSA-N__CHEMBL1929,每个靶点另计参考；不计入384候选；不是384次重复采购,BQSJTQLCZDPROO-UHFFFAOYSA-N__CHEMBL1929,CTRL-012,TOPIROXOSTAT,CHEMBL1078685,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021856,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021856,来源为人源黄嘌呤氧化酶形式；确认XDH/XO蛋白状态及辅因子装配；仅酶学Ki。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,18252132,Ki,0.1,Non-competitive inhibition of human xanthine oxidase,Xanthine dehydrogenase/oxidase,CHEMBL1929,Xanthine dehydrogenase inhibitor
CTRL-FDA-014,KIT — Mast/stem cell growth factor receptor Kit,SUNITINIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL535,WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CHEMBL1936,KIT,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1060197,CHEMBL1150977,10.1038/nbt1358,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1936,每个靶点另计参考；不计入384候选；不是384次重复采购,WINHZLLDWRZWRT-ATVHPVEESA-N__CHEMBL1936,CTRL-014,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2895955,Kd,0.37,Binding constant for KIT kinase domain,Macrophage colony-stimulating factor 1 receptor; Mast/stem cell growth factor receptor Kit; Platelet-derived growth factor receptor; Platelet-derived growth factor receptor alpha; Platelet-derived growth factor receptor beta; Proto-oncogene tyrosine-protein kinase receptor Ret; Receptor-type tyrosine-protein kinase FLT3; Vascular endothelial growth factor receptor; Vascular endothelial growth factor receptor 1; Vascular endothelial growth factor receptor 2; Vascular endothelial growth factor receptor 3,CHEMBL1844; CHEMBL1868; CHEMBL1913; CHEMBL1936; CHEMBL1955; CHEMBL1974; CHEMBL2007; CHEMBL2041; CHEMBL2095189; CHEMBL2095227; CHEMBL279,Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Platelet-derived growth factor receptor beta inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Vascular endothelial growth factor receptor 3 inhibitor; Vascular endothelial growth factor receptor inhibitor
CTRL-FDA-015,HDAC2 — Histone deacetylase 2,VORINOSTAT,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL98,WAEXFXRVDQXREF-UHFFFAOYSA-N,O=C(CCCCCCC(=O)Nc1ccccc1)NO,CHEMBL1937,HDAC2,CHEMBL235842,Ki_NO_Kd_RECORD,CHEMBL1216983,CHEMBL1212811,10.1038/nchembio.313,ABZSPJVXTTUFAA-UHFFFAOYSA-N__CHEMBL1937,每个靶点另计参考；不计入384候选；不是384次重复采购,WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL1937,CTRL-015,研究化合物 CHEMBL235842（无通用名称）,CHEMBL235842,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021991,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021991,具有活性的HDAC2催化构建及金属辅因子；本次采用Ki记录，不能视为SPR实测Kd。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,3390003,Ki,1.6,Inhibition of human HDAC2,Histone deacetylase 1; Histone deacetylase 2; Histone deacetylase 3; Protein deacetylase HDAC6,CHEMBL1829; CHEMBL1865; CHEMBL1937; CHEMBL325,Histone deacetylase 1 inhibitor; Histone deacetylase 2 inhibitor; Histone deacetylase 3 inhibitor; Histone deacetylase 6 inhibitor
CTRL-FDA-020,FLT3 — Receptor-type tyrosine-protein kinase FLT3,SUNITINIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL535,WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CHEMBL1974,FLT3,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1061898,CHEMBL1150977,10.1038/nbt1358,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1974,每个靶点另计参考；不计入384候选；不是384次重复采购,WINHZLLDWRZWRT-ATVHPVEESA-N__CHEMBL1974,CTRL-020,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2907411,Kd,0.47,Binding constant for FLT3 kinase domain,Macrophage colony-stimulating factor 1 receptor; Mast/stem cell growth factor receptor Kit; Platelet-derived growth factor receptor; Platelet-derived growth factor receptor alpha; Platelet-derived growth factor receptor beta; Proto-oncogene tyrosine-protein kinase receptor Ret; Receptor-type tyrosine-protein kinase FLT3; Vascular endothelial growth factor receptor; Vascular endothelial growth factor receptor 1; Vascular endothelial growth factor receptor 2; Vascular endothelial growth factor receptor 3,CHEMBL1844; CHEMBL1868; CHEMBL1913; CHEMBL1936; CHEMBL1955; CHEMBL1974; CHEMBL2007; CHEMBL2041; CHEMBL2095189; CHEMBL2095227; CHEMBL279,Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Platelet-derived growth factor receptor beta inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Vascular endothelial growth factor receptor 3 inhibitor; Vascular endothelial growth factor receptor inhibitor
CTRL-FDA-026,PDGFRA — Platelet-derived growth factor receptor alpha,SUNITINIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL535,WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CHEMBL2007,PDGFRA,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1062783,CHEMBL1150977,10.1038/nbt1358,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2007,每个靶点另计参考；不计入384候选；不是384次重复采购,WINHZLLDWRZWRT-ATVHPVEESA-N__CHEMBL2007,CTRL-026,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2899059,Kd,0.79,Binding constant for PDGFRA kinase domain,Macrophage colony-stimulating factor 1 receptor; Mast/stem cell growth factor receptor Kit; Platelet-derived growth factor receptor; Platelet-derived growth factor receptor alpha; Platelet-derived growth factor receptor beta; Proto-oncogene tyrosine-protein kinase receptor Ret; Receptor-type tyrosine-protein kinase FLT3; Vascular endothelial growth factor receptor; Vascular endothelial growth factor receptor 1; Vascular endothelial growth factor receptor 2; Vascular endothelial growth factor receptor 3,CHEMBL1844; CHEMBL1868; CHEMBL1913; CHEMBL1936; CHEMBL1955; CHEMBL1974; CHEMBL2007; CHEMBL2041; CHEMBL2095189; CHEMBL2095227; CHEMBL279,Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Platelet-derived growth factor receptor beta inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Vascular endothelial growth factor receptor 3 inhibitor; Vascular endothelial growth factor receptor inhibitor
CTRL-FDA-029,COMT — Catechol O-methyltransferase,OPICAPONE,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL1089318,ASOADIZOVZTJSR-UHFFFAOYSA-N,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,CHEMBL2023,COMT,CHEMBL5653589,Ki_NO_Kd_RECORD,CHEMBL3291944,CHEMBL3286156,10.1021/jm500475k,MWKSRKSEWLRPBL-UHFFFAOYSA-N__CHEMBL2023,每个靶点另计参考；不计入384候选；不是384次重复采购,ASOADIZOVZTJSR-UHFFFAOYSA-N__CHEMBL2023,CTRL-029,研究化合物 CHEMBL5653589（无通用名称）,CHEMBL5653589,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA212489,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212489,核对COMT可溶/膜结合亚型、SAM及Mg2+条件；证据为酶学Ki。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,14722835,Ki,1.0,Inhibition of catalytic activity of human cloned COMT expressed in Escherichia coli using [3H]-S-adenosylmethionine as substrate after 20 mins by liquid scintillation counting,Catechol O-methyltransferase,CHEMBL2023,Catechol O-methyltransferase inhibitor
CTRL-FDA-031,MAOB — Amine oxidase [flavin-containing] B,SAFINAMIDE,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL396778,NEMGRZFTLSKBAP-LBPRGKRZSA-N,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,CHEMBL2039,MAOB,LAZABEMIDE,Kd_RECORD_PRESENT,CHEMBL3404821,CHEMBL3399931,10.1016/j.bmc.2014.12.063,JZXRLKWWVNUZRB-UHFFFAOYSA-N__CHEMBL2039,每个靶点另计参考；不计入384候选；不是384次重复采购,NEMGRZFTLSKBAP-LBPRGKRZSA-N__CHEMBL2039,CTRL-031,LAZABEMIDE,CHEMBL279390,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA207145,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207145,人源活性MAO-B含FAD；来源为微粒体重组蛋白ITC，需核对膜环境/去污剂与固定化影响。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,15163775,Kd,187.2,Binding affinity to human recombinant microsomal MAO-B by ITC,Amine oxidase [flavin-containing] B,CHEMBL2039,Monoamine oxidase B inhibitor
CTRL-FDA-032,RET — Proto-oncogene tyrosine-protein kinase receptor Ret,VANDETANIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL24828,UHTHHESEBZOYNR-UHFFFAOYSA-N,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,CHEMBL2041,RET,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1061179,CHEMBL1150977,10.1038/nbt1358,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2041,每个靶点另计参考；不计入384候选；不是384次重复采购,UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL2041,CTRL-032,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022405,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022405,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2906660,Kd,34.0,Binding constant for RET kinase domain,Angiopoietin-1 receptor; Ephrin receptor; Epidermal growth factor receptor; Protein-tyrosine kinase 6; Proto-oncogene tyrosine-protein kinase Src; Proto-oncogene tyrosine-protein kinase receptor Ret; Vascular endothelial growth factor receptor,CHEMBL2041; CHEMBL2095227; CHEMBL2363043; CHEMBL2363049; CHEMBL267; CHEMBL4128; CHEMBL4601,Ephrin receptor inhibitor; Epidermal growth factor receptor inhibitor; Tyrosine-protein kinase BRK inhibitor; Tyrosine-protein kinase SRC inhibitor; Tyrosine-protein kinase TIE-2 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor
