对照编号,新靶点名称,新靶点的已知药物名称,精确对照原始证据已匹配,对照身份,对照证据类型,对照确认状态,对照ChEMBL编号,对照完整InChIKey,对照SMILES,新靶点ChEMBL编号,新靶点基因,原对照名称,参考证据层级,真实ChEMBL实验编号,真实ChEMBL文献编号,证据文献DOI,原pair_id,对照用途,pair_id,原对照编号,替换前对照名称,替换前对照ChEMBL编号,对照修订版本,本次FDA替换,FDA身份状态,FDA审批申请号,FDA审批来源,对照构建适用条件,替换依据,选用参考activity_id,选用参考端点,选用参考值_nM,选用参考实验描述,对照原靶点名称,对照原靶点编号,对照原作用机制
CTRL-001,FDPS — Farnesyl pyrophosphate synthase,METHYL CARNOSATE,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL2333537,IIJLVJMZYPZQLW-YCRPNKLZSA-N,COC(=O)[C@]12CCCC(C)(C)[C@@H]1CCc1cc(C(C)C)c(O)c(O)c12,CHEMBL1782,FDPS,METHYL CARNOSATE,Kd_RECORD_PRESENT,CHEMBL4417107; CHEMBL4417110; CHEMBL4417111; CHEMBL4417113,CHEMBL4414654,10.1021/acs.jmedchem.9b01405,IIJLVJMZYPZQLW-YCRPNKLZSA-N__CHEMBL1782,每个靶点另计参考；不计入384候选；不是384次重复采购,IIJLVJMZYPZQLW-YCRPNKLZSA-N__CHEMBL1782,CTRL-001,METHYL CARNOSATE,CHEMBL2333537,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-002,ACE — Angiotensin-converting enzyme,LISINOPRIL ANHYDROUS,True,通用名称已收录,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL1237,RLAWWYSOJDYHDC-BZSNNMDCSA-N,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL1808,ACE,LISINOPRIL ANHYDROUS,Kd_RECORD_PRESENT,CHEMBL4135397; CHEMBL5042029; CHEMBL5042030; CHEMBL6179898; CHEMBL866171; CHEMBL866172,CHEMBL1149517; CHEMBL4130507; CHEMBL5038663; CHEMBL6177964,10.1016/j.bmcl.2006.06.004; 10.1016/j.ejmech.2017.09.076; 10.1016/j.ejmech.2025.117564; 10.1021/acs.jmedchem.1c01924,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1808,每个靶点另计参考；不计入384候选；不是384次重复采购,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1808,CTRL-002,LISINOPRIL ANHYDROUS,CHEMBL1237,20260910_FDA_V2,False,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA208401,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208401,,,,,,,Angiotensin-converting enzyme,CHEMBL1808,Angiotensin-converting enzyme inhibitor
CTRL-003,ERBB2 — Receptor tyrosine-protein kinase erbB-2,IBRUTINIB,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL1873475,XYFPWWZEPKGCCK-GOSISDBHSA-N,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,CHEMBL1824,ERBB2,IBRUTINIB,Kd_RECORD_PRESENT,CHEMBL4189697; CHEMBL4347069; CHEMBL4358519; CHEMBL5133798; CHEMBL5355227; CHEMBL5512284; CHEMBL5710913; CHEMBL6083475,CHEMBL4184325; CHEMBL4346659; CHEMBL4354855; CHEMBL5131445; CHEMBL5352457; CHEMBL5506072; CHEMBL5705904; CHEMBL6083185,10.1016/j.bmcl.2022.128549; 10.1016/j.ejmech.2019.02.077; 10.1016/j.ejmech.2022.114940; 10.1016/j.ejmech.2024.116702; 10.1021/acs.jmedchem.4c00978; 10.1021/acs.jmedchem.8b00441; 10.1021/acs.jmedchem.9b01916; 10.1056/nejmoa1509981,XYFPWWZEPKGCCK-GOSISDBHSA-N__CHEMBL1824,每个靶点另计参考；不计入384候选；不是384次重复采购,XYFPWWZEPKGCCK-GOSISDBHSA-N__CHEMBL1824,CTRL-003,IBRUTINIB,CHEMBL1873475,20260910_FDA_V2,False,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA205552; NDA210563; NDA217003,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205552; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210563; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=217003,,,,,,,Tyrosine-protein kinase BTK,CHEMBL5251,Tyrosine-protein kinase BTK inhibitor
CTRL-FDA-004,"PDE5A — cGMP-specific 3',5'-cyclic phosphodiesterase",TADALAFIL,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL779,WOXKDUGGOYFFRN-IIBYNOLFSA-N,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,CHEMBL1827,PDE5A,CHEMBL2180945,Kd_RECORD_PRESENT,CHEMBL5723290,CHEMBL5723035,10.6019/CHEMBL5723035,FJJLJIBQQGUEHI-UHFFFAOYSA-N__CHEMBL1827,每个靶点另计参考；不计入384候选；不是384次重复采购,WOXKDUGGOYFFRN-IIBYNOLFSA-N__CHEMBL1827,CTRL-004,研究化合物 CHEMBL2180945（无通用名称）,CHEMBL2180945,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022332; NDA214522; NDA218490,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022332; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=214522; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=218490,含完整催化/配体结合区域的PDE5A；采用平衡竞争Kd记录，不使用标作解离速率的相邻记录。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,26335819,Kd,2.4,Affinity Biochemical interaction: (competitive binding assay with radiolabelled [3H]tadalafil) EUB0002731a PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",CHEMBL1827,Phosphodiesterase 5A inhibitor
CTRL-005,FYN — Tyrosine-protein kinase Fyn,DASATINIB ANHYDROUS,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,CHEMBL1841,FYN,DASATINIB ANHYDROUS,Kd_RECORD_PRESENT,CHEMBL5651448,CHEMBL5649169,10.1002/cmdc.201800398,ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL1841,每个靶点另计参考；不计入384候选；不是384次重复采购,ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL1841,CTRL-005,DASATINIB ANHYDROUS,CHEMBL1421,20260910_FDA_V2,False,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021986; NDA022072; NDA216099,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021986; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022072; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216099,,,,,,,Bcr/Abl fusion protein; Ephrin type-A receptor 2; Mast/stem cell growth factor receptor Kit; Platelet-derived growth factor receptor beta; SRC; Tyrosine-protein kinase ABL1,CHEMBL1862; CHEMBL1913; CHEMBL1936; CHEMBL2068; CHEMBL2096618; CHEMBL2363074,Bcr/Abl fusion protein inhibitor; Ephrin type-A receptor 2 inhibitor; Platelet-derived growth factor receptor beta inhibitor; SRC inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase ABL inhibitor
CTRL-006,CSF1R — Macrophage colony-stimulating factor 1 receptor,DASATINIB ANHYDROUS,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,CHEMBL1844,CSF1R,DASATINIB ANHYDROUS,Kd_RECORD_PRESENT,CHEMBL5585347; CHEMBL5638750,CHEMBL5584237; CHEMBL5634187,10.1016/j.ejmech.2024.116557; 10.1021/acsmedchemlett.4c00110,ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL1844,每个靶点另计参考；不计入384候选；不是384次重复采购,ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL1844,CTRL-006,DASATINIB ANHYDROUS,CHEMBL1421,20260910_FDA_V2,False,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021986; NDA022072; NDA216099,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021986; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022072; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216099,,,,,,,Bcr/Abl fusion protein; Ephrin type-A receptor 2; Mast/stem cell growth factor receptor Kit; Platelet-derived growth factor receptor beta; SRC; Tyrosine-protein kinase ABL1,CHEMBL1862; CHEMBL1913; CHEMBL1936; CHEMBL2068; CHEMBL2096618; CHEMBL2363074,Bcr/Abl fusion protein inhibitor; Ephrin type-A receptor 2 inhibitor; Platelet-derived growth factor receptor beta inhibitor; SRC inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase ABL inhibitor
CTRL-007,ABL1 — Tyrosine-protein kinase ABL1,PONATINIB,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL1171837,PHXJVRSECIGDHY-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,CHEMBL1862,ABL1,PONATINIB,Kd_RECORD_PRESENT,CHEMBL1176860; CHEMBL1176861; CHEMBL1176867; CHEMBL2320765; CHEMBL2320766; CHEMBL2320767; CHEMBL2320768; CHEMBL2320769; CHEMBL2320770; CHEMBL2320771; CHEMBL2320772; CHEMBL2353816; CHEMBL2406229; CHEMBL2406231; CHEMBL3991603; CHEMBL4002775; CHEMBL4668367; CHEMBL4668368; CHEMBL4668369; CHEMBL4668370; CHEMBL5142403; CHEMBL5142404,CHEMBL1177713; CHEMBL2311339; CHEMBL2346496; CHEMBL2401695; CHEMBL3991601; CHEMBL4002548; CHEMBL4665674; CHEMBL5137090,10.1016/j.ejmech.2016.10.003; 10.1021/acs.jmedchem.0c00507; 10.1021/acs.jmedchem.1c01853; 10.1021/jm100395q; 10.1021/jm301581y; 10.1021/jm301891t; 10.1021/jm4004076; 10.1126/science.aan4368,PHXJVRSECIGDHY-UHFFFAOYSA-N__CHEMBL1862,每个靶点另计参考；不计入384候选；不是384次重复采购,PHXJVRSECIGDHY-UHFFFAOYSA-N__CHEMBL1862,CTRL-007,PONATINIB,CHEMBL1171837,20260910_FDA_V2,False,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA203469,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203469,,,,,,,Bcr/Abl fusion protein,CHEMBL2096618,Bcr/Abl fusion protein inhibitor
CTRL-FDA-008,FLT1 — Vascular endothelial growth factor receptor 1,SUNITINIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL535,WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CHEMBL1868,FLT1,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1061174,CHEMBL1150977,10.1038/nbt1358,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1868,每个靶点另计参考；不计入384候选；不是384次重复采购,WINHZLLDWRZWRT-ATVHPVEESA-N__CHEMBL1868,CTRL-008,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA021938; NDA021968,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021938; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021968,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2907373,Kd,1.8,Binding constant for FLT1 kinase domain,Macrophage colony-stimulating factor 1 receptor; Mast/stem cell growth factor receptor Kit; Platelet-derived growth factor receptor; Platelet-derived growth factor receptor alpha; Platelet-derived growth factor receptor beta; Proto-oncogene tyrosine-protein kinase receptor Ret; Receptor-type tyrosine-protein kinase FLT3; Vascular endothelial growth factor receptor; Vascular endothelial growth factor receptor 1; Vascular endothelial growth factor receptor 2; Vascular endothelial growth factor receptor 3,CHEMBL1844; CHEMBL1868; CHEMBL1913; CHEMBL1936; CHEMBL1955; CHEMBL1974; CHEMBL2007; CHEMBL2041; CHEMBL2095189; CHEMBL2095227; CHEMBL279,Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Platelet-derived growth factor receptor beta inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Vascular endothelial growth factor receptor 3 inhibitor; Vascular endothelial growth factor receptor inhibitor
CTRL-009,AR — Androgen receptor,TESTOSTERONE,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL386630,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL1871,AR,TESTOSTERONE,Kd_RECORD_PRESENT,CHEMBL2162624; CHEMBL3411793; CHEMBL3411794; CHEMBL5140896; CHEMBL859226; CHEMBL874560,CHEMBL1137214; CHEMBL1149417; CHEMBL2157978; CHEMBL3407333; CHEMBL5137058,10.1016/j.bmcl.2005.11.014; 10.1021/acs.jmedchem.2c00716; 10.1021/jm0342515; 10.1021/jm300233k; 10.1021/jm501995n,MUMGGOZAMZWBJJ-DYKIIFRCSA-N__CHEMBL1871,每个靶点另计参考；不计入384候选；不是384次重复采购,MUMGGOZAMZWBJJ-DYKIIFRCSA-N__CHEMBL1871,CTRL-009,TESTOSTERONE,CHEMBL386630,20260910_FDA_V2,False,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022219; NDA022309; NDA204399; NDA205488; NDA206089; NDA208088; NDA209863; NDA213953; NDA216318,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022219; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022309; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204399,,,,,,,Androgen receptor,CHEMBL1871,Androgen Receptor agonist
CTRL-010,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,SIROLIMUS,True,通用名称已收录,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL413,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CHEMBL1902,FKBP1A,SIROLIMUS,Kd_RECORD_PRESENT,CHEMBL4258267; CHEMBL5506186; CHEMBL5506187; CHEMBL5629796; CHEMBL5730363,CHEMBL4257468; CHEMBL5505953; CHEMBL5625276; CHEMBL5725249,10.1016/j.bmcl.2024.129728; 10.1016/j.ejmech.2023.115950; 10.1039/C7MD00474E,QFJCIRLUMZQUOT-HPLJOQBZSA-N__CHEMBL1902,每个靶点另计参考；不计入384候选；不是384次重复采购,QFJCIRLUMZQUOT-HPLJOQBZSA-N__CHEMBL1902,CTRL-010,SIROLIMUS,CHEMBL413,20260910_FDA_V2,False,FDA名称匹配；精确结构身份待复核,ANDA201578; ANDA201676; ANDA208691; ANDA211040; ANDA211212; ANDA211406; ANDA214753; ANDA215080; ANDA215116; ANDA216728; NDA021083; NDA021110; NDA213312; NDA213478,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201578; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201676; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208691,,,,,,,,,
