小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称
tecovirimat,Envelope phospholipase OPG057,AR — Androgen receptor,TESTOSTERONE
piperacillin,Bacterial penicillin-binding protein,CA1 — Carbonic anhydrase 1,ETHOXZOLAMIDE
tamsulosin,Adrenergic receptor alpha-1,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE
morphine,Mu-type opioid receptor,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE
sotalol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor; Voltage-gated inwardly rectifying potassium channel KCNH2,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE
labetalol,Adrenergic receptor,MME — Neprilysin,OMAPATRILAT
arformoterol,Beta-2 adrenergic receptor,CTSC — Dipeptidyl peptidase 1,BRENSOCATIB
relebactam,Beta-lactamase; Beta-lactamase CTX-M; Beta-lactamase SHV-1; Beta-lactamase TEM; Carbapenem-hydrolyzing beta-lactamase KPC,MMP7 — Matrilysin,PRINOMASTAT
vismodegib,Protein smoothened,NTRK1 — High affinity nerve growth factor receptor,STAUROSPORINE
metoprolol,Beta-1 adrenergic receptor,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE
solifenacin,Muscarinic acetylcholine receptor M2; Muscarinic acetylcholine receptor M3,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE
macimorelin,Growth hormone secretagogue receptor type 1,ACE — Angiotensin-converting enzyme,LISINOPRIL ANHYDROUS
oxycodone,Mu-type opioid receptor,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE
methylnaltrexone,Mu-type opioid receptor,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,SIROLIMUS
thalidomide,CRL4(CRBN) E3 ubiquitin ligase,MIF — Macrophage migration inhibitory factor,BTZO-1
armodafinil,Sodium-dependent dopamine transporter,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE
diltiazem,Voltage-gated L-type calcium channel,REN — Renin,REMIKIREN
