对照编号,新靶点名称,新靶点的已知药物名称,精确对照原始证据已匹配,对照身份,对照证据类型,对照确认状态,对照ChEMBL编号,对照完整InChIKey,对照SMILES,新靶点ChEMBL编号,新靶点基因,原对照名称,参考证据层级,真实ChEMBL实验编号,真实ChEMBL文献编号,证据文献DOI,原pair_id,对照用途
CTRL-001,FDPS — Farnesyl pyrophosphate synthase,METHYL CARNOSATE,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL2333537,IIJLVJMZYPZQLW-YCRPNKLZSA-N,COC(=O)[C@]12CCCC(C)(C)[C@@H]1CCc1cc(C(C)C)c(O)c(O)c12,CHEMBL1782,FDPS,METHYL CARNOSATE,Kd_RECORD_PRESENT,CHEMBL4417107; CHEMBL4417110; CHEMBL4417111; CHEMBL4417113,CHEMBL4414654,10.1021/acs.jmedchem.9b01405,IIJLVJMZYPZQLW-YCRPNKLZSA-N__CHEMBL1782,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-002,ACE — Angiotensin-converting enzyme,LISINOPRIL ANHYDROUS,True,通用名称已收录,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL1237,RLAWWYSOJDYHDC-BZSNNMDCSA-N,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL1808,ACE,LISINOPRIL ANHYDROUS,Kd_RECORD_PRESENT,CHEMBL4135397; CHEMBL5042029; CHEMBL5042030; CHEMBL6179898; CHEMBL866171; CHEMBL866172,CHEMBL1149517; CHEMBL4130507; CHEMBL5038663; CHEMBL6177964,10.1016/j.bmcl.2006.06.004; 10.1016/j.ejmech.2017.09.076; 10.1016/j.ejmech.2025.117564; 10.1021/acs.jmedchem.1c01924,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1808,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-003,ERBB2 — Receptor tyrosine-protein kinase erbB-2,IBRUTINIB,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL1873475,XYFPWWZEPKGCCK-GOSISDBHSA-N,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,CHEMBL1824,ERBB2,IBRUTINIB,Kd_RECORD_PRESENT,CHEMBL4189697; CHEMBL4347069; CHEMBL4358519; CHEMBL5133798; CHEMBL5355227; CHEMBL5512284; CHEMBL5710913; CHEMBL6083475,CHEMBL4184325; CHEMBL4346659; CHEMBL4354855; CHEMBL5131445; CHEMBL5352457; CHEMBL5506072; CHEMBL5705904; CHEMBL6083185,10.1016/j.bmcl.2022.128549; 10.1016/j.ejmech.2019.02.077; 10.1016/j.ejmech.2022.114940; 10.1016/j.ejmech.2024.116702; 10.1021/acs.jmedchem.4c00978; 10.1021/acs.jmedchem.8b00441; 10.1021/acs.jmedchem.9b01916; 10.1056/nejmoa1509981,XYFPWWZEPKGCCK-GOSISDBHSA-N__CHEMBL1824,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-004,"PDE5A — cGMP-specific 3',5'-cyclic phosphodiesterase",研究化合物 CHEMBL2180945（无通用名称）,True,仅研究编号，实物待落实,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL2180945,FJJLJIBQQGUEHI-UHFFFAOYSA-N,CCCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc(CC)c(CC)c(=O)[nH]1,CHEMBL1827,PDE5A,CHEMBL2180945,Kd_RECORD_PRESENT,CHEMBL2184512; CHEMBL4397433,CHEMBL2176889; CHEMBL4396872,10.1021/acs.jmedchem.9b00123; 10.1021/jm301159y,FJJLJIBQQGUEHI-UHFFFAOYSA-N__CHEMBL1827,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-005,FYN — Tyrosine-protein kinase Fyn,DASATINIB ANHYDROUS,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,CHEMBL1841,FYN,DASATINIB ANHYDROUS,Kd_RECORD_PRESENT,CHEMBL5651448,CHEMBL5649169,10.1002/cmdc.201800398,ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL1841,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-006,CSF1R — Macrophage colony-stimulating factor 1 receptor,DASATINIB ANHYDROUS,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,CHEMBL1844,CSF1R,DASATINIB ANHYDROUS,Kd_RECORD_PRESENT,CHEMBL5585347; CHEMBL5638750,CHEMBL5584237; CHEMBL5634187,10.1016/j.ejmech.2024.116557; 10.1021/acsmedchemlett.4c00110,ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL1844,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-007,ABL1 — Tyrosine-protein kinase ABL1,PONATINIB,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL1171837,PHXJVRSECIGDHY-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,CHEMBL1862,ABL1,PONATINIB,Kd_RECORD_PRESENT,CHEMBL1176860; CHEMBL1176861; CHEMBL1176867; CHEMBL2320765; CHEMBL2320766; CHEMBL2320767; CHEMBL2320768; CHEMBL2320769; CHEMBL2320770; CHEMBL2320771; CHEMBL2320772; CHEMBL2353816; CHEMBL2406229; CHEMBL2406231; CHEMBL3991603; CHEMBL4002775; CHEMBL4668367; CHEMBL4668368; CHEMBL4668369; CHEMBL4668370; CHEMBL5142403; CHEMBL5142404,CHEMBL1177713; CHEMBL2311339; CHEMBL2346496; CHEMBL2401695; CHEMBL3991601; CHEMBL4002548; CHEMBL4665674; CHEMBL5137090,10.1016/j.ejmech.2016.10.003; 10.1021/acs.jmedchem.0c00507; 10.1021/acs.jmedchem.1c01853; 10.1021/jm100395q; 10.1021/jm301581y; 10.1021/jm301891t; 10.1021/jm4004076; 10.1126/science.aan4368,PHXJVRSECIGDHY-UHFFFAOYSA-N__CHEMBL1862,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-008,FLT1 — Vascular endothelial growth factor receptor 1,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL1868,FLT1,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1061174; CHEMBL3820488; CHEMBL4145871; CHEMBL4155895; CHEMBL4231212; CHEMBL4328424; CHEMBL4720726; CHEMBL5252319; CHEMBL5720728,CHEMBL1150977; CHEMBL3817824; CHEMBL4145442; CHEMBL4152300; CHEMBL4229349; CHEMBL4325871; CHEMBL4715818; CHEMBL5247671; CHEMBL5715954,10.1016/j.bmc.2016.05.057; 10.1016/j.bmc.2018.02.022; 10.1016/j.ejmech.2017.10.003; 10.1016/j.ejmech.2018.02.080; 10.1016/j.ejmech.2018.06.010; 10.1016/j.ejmech.2018.10.052; 10.1021/acsmedchemlett.3c00127; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1868,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-009,AR — Androgen receptor,TESTOSTERONE,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL386630,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL1871,AR,TESTOSTERONE,Kd_RECORD_PRESENT,CHEMBL2162624; CHEMBL3411793; CHEMBL3411794; CHEMBL5140896; CHEMBL859226; CHEMBL874560,CHEMBL1137214; CHEMBL1149417; CHEMBL2157978; CHEMBL3407333; CHEMBL5137058,10.1016/j.bmcl.2005.11.014; 10.1021/acs.jmedchem.2c00716; 10.1021/jm0342515; 10.1021/jm300233k; 10.1021/jm501995n,MUMGGOZAMZWBJJ-DYKIIFRCSA-N__CHEMBL1871,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-010,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,SIROLIMUS,True,通用名称已收录,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL413,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CHEMBL1902,FKBP1A,SIROLIMUS,Kd_RECORD_PRESENT,CHEMBL4258267; CHEMBL5506186; CHEMBL5506187; CHEMBL5629796; CHEMBL5730363,CHEMBL4257468; CHEMBL5505953; CHEMBL5625276; CHEMBL5725249,10.1016/j.bmcl.2024.129728; 10.1016/j.ejmech.2023.115950; 10.1039/C7MD00474E,QFJCIRLUMZQUOT-HPLJOQBZSA-N__CHEMBL1902,每个靶点另计参考；不计入384候选；不是384次重复采购
