target_chembl_id,target_name,drug_chembl_id,drug_name,max_phase,withdrawn_flag,molecule_type,action_type,mechanism_of_action,direct_interaction,mec_id
CHEMBL1782,Farnesyl pyrophosphate synthase,CHEMBL675,ALENDRONATE SODIUM,4,0,Small molecule,INHIBITOR,Farnesyl diphosphate synthase inhibitor,1,1047
CHEMBL1782,Farnesyl pyrophosphate synthase,CHEMBL3989569,IBANDRONATE SODIUM,4,0,Small molecule,INHIBITOR,Farnesyl diphosphate synthase inhibitor,1,1050
CHEMBL1782,Farnesyl pyrophosphate synthase,CHEMBL319144,MINODRONIC ACID,4,0,Small molecule,INHIBITOR,Farnesyl diphosphate synthase inhibitor,1,7562
CHEMBL1782,Farnesyl pyrophosphate synthase,CHEMBL3989401,PAMIDRONATE DISODIUM,4,0,Small molecule,INHIBITOR,Farnesyl diphosphate synthase inhibitor,1,1051
CHEMBL1782,Farnesyl pyrophosphate synthase,CHEMBL1654,RISEDRONATE SODIUM,4,0,Small molecule,INHIBITOR,Farnesyl diphosphate synthase inhibitor,1,1048
CHEMBL1782,Farnesyl pyrophosphate synthase,CHEMBL4303669,ZOLEDRONIC ACID,4,0,Small molecule,INHIBITOR,Farnesyl diphosphate synthase inhibitor,1,1049
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1694,BENAZEPRIL HYDROCHLORIDE,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,113
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1560,CAPTOPRIL,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,114
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL515606,CILAZAPRIL,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,6674
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1200659,ENALAPRIL MALEATE,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,117
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL3989406,ENALAPRILAT,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,109
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL3039596,FOSINOPRIL SODIUM,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,111
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL317094,IMIDAPRIL,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,7552
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL419213,LISINOPRIL,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,116
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1200534,MOEXIPRIL HYDROCHLORIDE,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,108
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL3544986,PERINDOPRIL ARGININE,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,2399
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1200343,PERINDOPRIL ERBUMINE,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,115
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1201011,QUINAPRIL HYDROCHLORIDE,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,106
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1168,RAMIPRIL,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,110
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1200831,SPIRAPRIL HYDROCHLORIDE,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,118
CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1519,TRANDOLAPRIL,4,0,Small molecule,INHIBITOR,Angiotensin-converting enzyme inhibitor,1,107
CHEMBL1824,Receptor tyrosine-protein kinase erbB-2,CHEMBL2105712,AFATINIB DIMALEATE,4,0,Small molecule,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,1,2257
CHEMBL1824,Receptor tyrosine-protein kinase erbB-2,CHEMBL2105719,DACOMITINIB,4,0,Small molecule,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,1,5312
CHEMBL1824,Receptor tyrosine-protein kinase erbB-2,CHEMBL2110732,DACOMITINIB ANHYDROUS,4,0,Small molecule,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,1,7416
