pair_id,ligand_inchikey,drug_names,target_chembl_id,gene_symbol,biomaster_independent_borda_score,biomaster_independent_borda_score_rank_within_drug_384,biomaster_independent_new_head_borda_score,biomaster_independent_new_head_borda_score_rank_within_drug_384,biomaster_system_borda_score,biomaster_system_borda_score_rank_within_drug_384,independent_validation_rank_score,biomaster_routed_stack_score,old_drug_leakage_safe_score_v10,old_drug_leakage_safe_score_v10_rank_within_drug_384,ensemble_drug_to_target_logit,ensemble_drug_to_target_logit_rank_within_drug_384,biomaster_full_fit_v10_borda_score,dtiam_probability,binding_rank_384,ligand_smiles,exact_structure_in_fda_registry,final_drug_scope_status,known_target_chembl_ids,active_species_status,chembl_any_prodrug,pubchem_evidence_interpretation,graph_drug_id,graph_drug_name,mapping_rule,mapping_status,candidate_ids,identity_hold,inference_eligible,identity_concordance,interpretation_eligible,ec_node_count,ec_disease_endpoint_count,ec_non_text_asserted_disease_endpoint_count,disease_evidence_status,uniprot_accession,assay_lane,assay_confirmation_status,structure_ready_strict,positive_compounds,negative_compounds,connectivity_key,murcko_scaffold,rdkit_mw,rdkit_clogp,rdkit_tpsa,rdkit_hbd,rdkit_hba,rdkit_rotatable_bonds,smiles_full_key_matches,actual_fragment_count,actual_formal_charge,chemical_risk_points,active_species_review_hold,identity_scope_pass,chemistry_policy_pass,known_chembl37,known_training,known_kirhub,known_moa,known_moa_component,known_bindingdb_articles,known_bindingdb_pubchem,known_gtopdb,known_ec_physical,ec_other_assertion_hold,ec_ambiguous_relation_hold,known_relation_excluded,prior_relation_review_hold,novelty_pass,joint_r50_ot01,joint_r50_ot03,joint_r50_ot05,joint_r100_ot03,joint_r50_ot03_exact,joint_r50_ot03_genetic,joint_r50_ot03_exact_genetic,base_eligible,primary_joint_selected,expanded_rank50_selected,screen_status,all_exclusion_reasons,in_original_512,in_original_448_candidates,relaxed_joint_route,binding_route_rank_gate,raw_activity_rows,positive_max_tanimoto,positive_reference_chembl,positive_reference_name,positive_reference_inchikey,positive_reference_endpoints,positive_reference_assays,negative_max_tanimoto,negative_reference_chembl,negative_reference_name,negative_reference_inchikey,negative_reference_endpoints,negative_reference_assays,reference_transfer_hold,binding_only_route,expanded_eligible,in_baseline384,route
AAOVKJBEBIDNHE-UHFFFAOYSA-N__CHEMBL1935,AAOVKJBEBIDNHE-UHFFFAOYSA-N,diazepam,CHEMBL1935,ALDH2,0.7911227154046998,38,0.8224543080939948,25,0.8311575282854656,24,-1.5583216856756683,0.2306012010980762,0.1724914215083921,129,3.191819,36,0.7872062663185379,0.2353545,9,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,True,INCLUDE_CORE_DISCOVERY,CHEMBL2093872,ADMINISTERED_SPECIES_ONLY,False,PASS_GSRS_PUBCHEM_FULL_CONCORDANCE,DB00829,Diazepam,EXACT_NAME,MAPPED_NAME_STRUCTURE_NOT_VERIFIED_IN_GRAPH,DB00829,False,True,SAME_NORMALIZED_EC_NODE_NOT_STEREO_PROOF,True,1,521,268,TXGNN_QUERY_AND_SOURCE_EVIDENCE_REVIEW,P05091,ENZYME_BIOCHEMICAL,NOT_LAB_OR_VENDOR_CONFIRMED,True,69,70,AAOVKJBEBIDNHE,O=C1CN=C(c2ccccc2)c2ccccc2N1,284.74600000000004,3.153800000000002,32.67,0,2,1,True,1,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,DOES_NOT_MEET_JOINT_PRIORITY,,False,False,True,True,0,0.3773584905660377,CHEMBL3128206,,LCVZSSKWPJEOMX-UHFFFAOYSA-N,IC50,1295317,0.2535211267605634,CHEMBL3416561,,OFGYIDHKXBPVSC-UHFFFAOYSA-N,Inhibition,1473082,False,True,True,False,BOTH
ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL1844,ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,CHEMBL1844,CSF1R,0.9308093994778068,4,0.9530026109660574,2,0.926892950391645,4,-2.369781636404045,0.2843838740833551,0.7122452730224711,14,3.112772,4,0.97911227154047,0.27934536,24,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,True,INCLUDE_CORE_DISCOVERY,CHEMBL1250417,ADMINISTERED_SPECIES_ONLY,False,PASS_GSRS_PUBCHEM_FULL_CONCORDANCE,DB09083,Ivabradine,EXACT_NAME,MAPPED_NAME_STRUCTURE_NOT_VERIFIED_IN_GRAPH,DB09083,False,True,SAME_NORMALIZED_EC_NODE_NOT_STEREO_PROOF,True,1,152,30,TXGNN_QUERY_AND_SOURCE_EVIDENCE_REVIEW,P07333,KINASE_BIOCHEMICAL,NOT_LAB_OR_VENDOR_CONFIRMED,False,1211,134,ACRHBAYQBXXRTO,O=C1Cc2ccccc2CCN1CCCNCC1Cc2ccccc21,468.59400000000034,3.3100000000000023,60.47000000000001,0,6,10,True,1,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,DOES_NOT_MEET_JOINT_PRIORITY,,False,False,True,False,0,0.2065217391304347,CHEMBL3673470,,BLZYWDBWCSJCPR-UHFFFAOYSA-N,IC50,1528629,0.1752577319587628,CHEMBL111612,ABT-546,OAEWNSKRLBVVBV-QSEAXJEQSA-N,% Control,2136091,False,False,True,False,RELAXED_JOINT
ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL1902,ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,CHEMBL1902,FKBP1A,0.5489556135770235,145,0.606396866840731,108,0.6583986074847693,81,-2.114304653797059,0.2567955863142527,0.3535385538854407,293,-2.5105364,182,0.3818537859007833,0.2683688,10,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,True,INCLUDE_CORE_DISCOVERY,CHEMBL1250417,ADMINISTERED_SPECIES_ONLY,False,PASS_GSRS_PUBCHEM_FULL_CONCORDANCE,DB09083,Ivabradine,EXACT_NAME,MAPPED_NAME_STRUCTURE_NOT_VERIFIED_IN_GRAPH,DB09083,False,True,SAME_NORMALIZED_EC_NODE_NOT_STEREO_PROOF,True,1,152,30,TXGNN_QUERY_AND_SOURCE_EVIDENCE_REVIEW,P62942,ENZYME_BIOCHEMICAL,NOT_LAB_OR_VENDOR_CONFIRMED,False,261,61,ACRHBAYQBXXRTO,O=C1Cc2ccccc2CCN1CCCNCC1Cc2ccccc21,468.59400000000034,3.3100000000000023,60.47000000000001,0,6,10,True,1,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,True,PRIMARY_JOINT_REVIEW,,False,False,True,True,0,0.247191011235955,CHEMBL202357,,ZKGCSCGDAOWMHI-UHFFFAOYSA-N,Ki,333106,0.2222222222222222,CHEMBL202217,,ZSBBAWKSCUXVDU-UHFFFAOYSA-N,Ki,333106,False,False,True,False,RELAXED_JOINT
ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL2326,ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,CHEMBL2326,CA7,0.4843342036553525,197,0.6070496083550914,107,0.7119234116623151,54,-2.346821800286704,0.1761791589522585,0.3619137548469225,280,-0.577213,94,0.5143603133159269,0.52088946,23,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,True,INCLUDE_CORE_DISCOVERY,CHEMBL1250417,ADMINISTERED_SPECIES_ONLY,False,PASS_GSRS_PUBCHEM_FULL_CONCORDANCE,DB09083,Ivabradine,EXACT_NAME,MAPPED_NAME_STRUCTURE_NOT_VERIFIED_IN_GRAPH,DB09083,False,True,SAME_NORMALIZED_EC_NODE_NOT_STEREO_PROOF,True,1,152,30,TXGNN_QUERY_AND_SOURCE_EVIDENCE_REVIEW,P43166,ENZYME_BIOCHEMICAL,NOT_LAB_OR_VENDOR_CONFIRMED,True,1336,34,ACRHBAYQBXXRTO,O=C1Cc2ccccc2CCN1CCCNCC1Cc2ccccc21,468.59400000000034,3.3100000000000023,60.47000000000001,0,6,10,True,1,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True,False,True,RANK21_50_SENSITIVITY_REVIEW,,False,False,True,False,0,0.3333333333333333,CHEMBL1089045,,GUJQIHRSATWPQA-UHFFFAOYSA-N,Ki,743885,0.2,CHEMBL2365252,,LINBWIBAZJQWQY-UHFFFAOYSA-N,Ki,942129,False,False,True,False,RELAXED_JOINT
ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL288,ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,CHEMBL288,PDE4D,0.9647519582245432,1,0.9712793733681462,1,0.9303742384682332,2,-1.405807496985379,0.4142982395623739,0.6967803204457884,23,-3.5779667,257,0.6370757180156659,0.18213686,1,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,True,INCLUDE_CORE_DISCOVERY,CHEMBL1250417,ADMINISTERED_SPECIES_ONLY,False,PASS_GSRS_PUBCHEM_FULL_CONCORDANCE,DB09083,Ivabradine,EXACT_NAME,MAPPED_NAME_STRUCTURE_NOT_VERIFIED_IN_GRAPH,DB09083,False,True,SAME_NORMALIZED_EC_NODE_NOT_STEREO_PROOF,True,1,152,30,TXGNN_QUERY_AND_SOURCE_EVIDENCE_REVIEW,Q08499,ENZYME_BIOCHEMICAL,NOT_LAB_OR_VENDOR_CONFIRMED,True,707,227,ACRHBAYQBXXRTO,O=C1Cc2ccccc2CCN1CCCNCC1Cc2ccccc21,468.59400000000034,3.3100000000000023,60.47000000000001,0,6,10,True,1,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,DOES_NOT_MEET_JOINT_PRIORITY,,True,True,True,True,0,0.3,CHEMBL4848137,,FTUNSSCAXJNFIZ-SFHVURJKSA-N,IC50,2110700,0.3220338983050847,CHEMBL4455732,,ARFLPTKBAXCEKC-UHFFFAOYSA-N,IC50,1895864,False,False,True,False,RELAXED_JOINT
ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL3535,ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,CHEMBL3535,PDE9A,0.5424281984334204,151,0.5476501305483029,152,0.665361183637946,74,-2.26627580558092,0.319422463170209,0.321263908914893,331,-3.7410252,273,0.214751958224543,0.36255917,18,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,True,INCLUDE_CORE_DISCOVERY,CHEMBL1250417,ADMINISTERED_SPECIES_ONLY,False,PASS_GSRS_PUBCHEM_FULL_CONCORDANCE,DB09083,Ivabradine,EXACT_NAME,MAPPED_NAME_STRUCTURE_NOT_VERIFIED_IN_GRAPH,DB09083,False,True,SAME_NORMALIZED_EC_NODE_NOT_STEREO_PROOF,True,1,152,30,TXGNN_QUERY_AND_SOURCE_EVIDENCE_REVIEW,O76083,ENZYME_BIOCHEMICAL,NOT_LAB_OR_VENDOR_CONFIRMED,True,653,19,ACRHBAYQBXXRTO,O=C1Cc2ccccc2CCN1CCCNCC1Cc2ccccc21,468.59400000000034,3.3100000000000023,60.47000000000001,0,6,10,True,1,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,DOES_NOT_MEET_JOINT_PRIORITY,,False,False,True,False,0,0.2087912087912088,CHEMBL5219813,,MQYMVWGJBVHCAR-UHFFFAOYSA-N,IC50,2261425,0.1724137931034483,CHEMBL3355394,,VNZIUIULBCXGGL-BLWXPVKYSA-N,IC50,1445441,False,False,True,False,RELAXED_JOINT
ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL4409,ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,CHEMBL4409,PDE10A,0.4817232375979112,203,0.5365535248041775,158,0.6562228024369017,83,-2.454626562688192,0.2334950551560993,0.3216871149299977,329,0.00037602583,70,0.4817232375979112,0.35830152,28,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,True,INCLUDE_CORE_DISCOVERY,CHEMBL1250417,ADMINISTERED_SPECIES_ONLY,False,PASS_GSRS_PUBCHEM_FULL_CONCORDANCE,DB09083,Ivabradine,EXACT_NAME,MAPPED_NAME_STRUCTURE_NOT_VERIFIED_IN_GRAPH,DB09083,False,True,SAME_NORMALIZED_EC_NODE_NOT_STEREO_PROOF,True,1,152,30,TXGNN_QUERY_AND_SOURCE_EVIDENCE_REVIEW,Q9Y233,ENZYME_BIOCHEMICAL,NOT_LAB_OR_VENDOR_CONFIRMED,True,3527,82,ACRHBAYQBXXRTO,O=C1Cc2ccccc2CCN1CCCNCC1Cc2ccccc21,468.59400000000034,3.3100000000000023,60.47000000000001,0,6,10,True,1,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,DOES_NOT_MEET_JOINT_PRIORITY,,False,False,True,False,0,0.2682926829268293,CHEMBL4527894,,OIDQRHGTWLIKKZ-NRFANRHFSA-N,IC50,1895885,0.1685393258426966,CHEMBL4852714,,JEPQMOXLJIDDMY-UHFFFAOYSA-N,IC50,"2100459,2100460",False,False,True,False,RELAXED_JOINT
ACWBQPMHZXGDFX-QFIPXVFZSA-N__CHEMBL1944,ACWBQPMHZXGDFX-QFIPXVFZSA-N,valsartan,CHEMBL1944,MME,0.9856396866840732,1,0.9882506527415144,1,0.9921671018276764,1,-1.862231778602378,0.2704470702939503,0.8466120849672433,10,7.3601403,1,0.9882506527415144,0.9319052,1,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,True,INCLUDE_CORE_DISCOVERY,CHEMBL227,ADMINISTERED_SPECIES_ONLY,False,PASS_GSRS_PUBCHEM_FULL_CONCORDANCE,DB00177,Valsartan,EXACT_NAME,MAPPED_NAME_STRUCTURE_NOT_VERIFIED_IN_GRAPH,DB00177,False,True,SAME_NORMALIZED_EC_NODE_NOT_STEREO_PROOF,True,1,405,208,TXGNN_QUERY_AND_SOURCE_EVIDENCE_REVIEW,P08473,ENZYME_BIOCHEMICAL,NOT_LAB_OR_VENDOR_CONFIRMED,True,288,42,ACWBQPMHZXGDFX,c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,435.52800000000013,4.161700000000002,112.07000000000001,2,5,10,True,1,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,DOES_NOT_MEET_JOINT_PRIORITY,,False,False,False,True,0,0.6875,CHEMBL5315276,,XTKIDERFOUYBDE-QEPKIHTBSA-N,IC50,2273370,0.2134831460674157,CHEMBL5075705,,YWBHCYRCVYEOPE-HJOGWXRNSA-N,Ki,2157371,False,True,True,False,BINDING_CHEMISTRY_WITHOUT_GRAPH_GATE
ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL1827,ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,CHEMBL1827,PDE5A,0.7911227154046998,41,0.8093994778067886,35,0.7667536988685814,45,-2.024467950345446,0.3545317910921116,0.10470582831378,119,-5.769125,312,0.4399477806788512,0.56409055,29,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,True,INCLUDE_CORE_DISCOVERY,CHEMBL2964; CHEMBL3587,ADMINISTERED_SPECIES_ONLY,False,PASS_GSRS_PUBCHEM_FULL_CONCORDANCE,DB11967,Binimetinib,EXACT_NAME,MAPPED_NAME_STRUCTURE_NOT_VERIFIED_IN_GRAPH,DB11967,False,True,SAME_NORMALIZED_EC_NODE_NOT_STEREO_PROOF,True,1,97,10,TXGNN_QUERY_AND_SOURCE_EVIDENCE_REVIEW,O76074,ENZYME_BIOCHEMICAL,NOT_LAB_OR_VENDOR_CONFIRMED,True,911,1011,ACWZRVQXLIRSDF,c1ccc(Nc2ccc3[nH]cnc3c2)cc1,441.2320000000002,3.0113000000000003,88.41000000000001,3,5,6,True,1,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,DOES_NOT_MEET_JOINT_PRIORITY,,False,False,True,False,0,0.2156862745098039,CHEMBL4209025,,AFSIULIFJJDVHG-UHFFFAOYSA-N,IC50,1763666,0.2179487179487179,CHEMBL184,ACYCLOVIR,MKUXAQIIEYXACX-UHFFFAOYSA-N,"IC50,Ki",774665,False,False,True,False,RELAXED_JOINT
ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL3310,ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,CHEMBL3310,HDAC11,0.7532637075718016,58,0.7715404699738904,48,0.7354221061792864,65,-1.9839563416078212,0.3629368889456967,0.0822189440831073,149,-5.406405,281,0.4412532637075718,0.5626543,28,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,True,INCLUDE_CORE_DISCOVERY,CHEMBL2964; CHEMBL3587,ADMINISTERED_SPECIES_ONLY,False,PASS_GSRS_PUBCHEM_FULL_CONCORDANCE,DB11967,Binimetinib,EXACT_NAME,MAPPED_NAME_STRUCTURE_NOT_VERIFIED_IN_GRAPH,DB11967,False,True,SAME_NORMALIZED_EC_NODE_NOT_STEREO_PROOF,True,1,97,10,TXGNN_QUERY_AND_SOURCE_EVIDENCE_REVIEW,Q96DB2,NUCLEAR_EPIGENETIC_DOMAIN,NOT_LAB_OR_VENDOR_CONFIRMED,True,281,87,ACWZRVQXLIRSDF,c1ccc(Nc2ccc3[nH]cnc3c2)cc1,441.2320000000002,3.0113000000000003,88.41000000000001,3,5,6,True,1,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True,False,True,RANK21_50_SENSITIVITY_REVIEW,,False,False,True,False,0,0.2307692307692307,CHEMBL2312167,,XBQPEXDCROFSOE-UHFFFAOYSA-N,IC50,936026,0.2142857142857142,CHEMBL4080014,,MULLJXKFRXICHS-UHFFFAOYSA-N,IC50,1684732,False,False,True,False,RELAXED_JOINT
