candidate_id,pair_id,previous_display_name,modeled_entity_name,source_ingredient_name
EXP-001,UREBDLICKHMUKA-DVTGEIKXSA-N__CHEMBL1994,betamethasone dipropionate,betamethasone,betamethasone dipropionate
EXP-011,JOOXLOJCABQBSG-UHFFFAOYSA-N__CHEMBL3310,fedratinib hydrochloride,fedratinib,fedratinib hydrochloride
EXP-012,JOOXLOJCABQBSG-UHFFFAOYSA-N__CHEMBL1829,fedratinib hydrochloride,fedratinib,fedratinib hydrochloride
EXP-013,JOOXLOJCABQBSG-UHFFFAOYSA-N__CHEMBL1937,fedratinib hydrochloride,fedratinib,fedratinib hydrochloride
EXP-018,MYSWGUAQZAJSOK-UHFFFAOYSA-N__CHEMBL3130,ciprofloxacin hydrochloride,ciprofloxacin,ciprofloxacin hydrochloride
EXP-019,MYSWGUAQZAJSOK-UHFFFAOYSA-N__CHEMBL3267,ciprofloxacin hydrochloride,ciprofloxacin,ciprofloxacin hydrochloride
EXP-020,RTHCYVBBDHJXIQ-UHFFFAOYSA-N__CHEMBL3024,fluoxetine hydrochloride,fluoxetine,fluoxetine hydrochloride
EXP-027,CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL1829,pazopanib hydrochloride,pazopanib,pazopanib hydrochloride
EXP-038,JKVNJTYHRABHIY-WXVUKLJWSA-N__CHEMBL1914,benzgalantamine gluconate,benzgalantamine,benzgalantamine gluconate
EXP-040,GKHIVNAUVKXIIY-UHFFFAOYSA-N__CHEMBL4439,belumosudil mesylate,belumosudil,belumosudil mesylate
EXP-042,YHGSTSNEOJUIRN-UHFFFAOYSA-N__CHEMBL3242,omidenepag isopropyl,omidenepag,omidenepag isopropyl
EXP-043,YHGSTSNEOJUIRN-UHFFFAOYSA-N__CHEMBL3729,omidenepag isopropyl,omidenepag,omidenepag isopropyl
EXP-044,YHGSTSNEOJUIRN-UHFFFAOYSA-N__CHEMBL261,omidenepag isopropyl,omidenepag,omidenepag isopropyl
EXP-051,ZKLPARSLTMPFCP-OAQYLSRUSA-N__CHEMBL215,levocetirizine dihydrochloride,levocetirizine,levocetirizine dihydrochloride
EXP-056,CBRJPFGIXUFMTM-WDEREUQCSA-N__CHEMBL3778,ritlecitinib tosylate,ritlecitinib,ritlecitinib tosylate
EXP-062,OZWKMVRBQXNZKK-UHFFFAOYSA-N__CHEMBL3729,ketorolac tromethamine,ketorolac,ketorolac tromethamine
EXP-068,OZOMQRBLCMDCEG-VIZOYTHASA-N__CHEMBL2850,dantrolene sodium,dantrolene,dantrolene sodium
EXP-070,CMWTZPSULFXXJA-VIFPVBQESA-N__CHEMBL2637,naproxen sodium,naproxen,naproxen sodium
EXP-072,QFFGVLORLPOAEC-SNVBAGLBSA-N__CHEMBL284,besifloxacin hydrochloride,besifloxacin,besifloxacin hydrochloride
EXP-075,JYGXADMDTFJGBT-VWUMJDOOSA-N__CHEMBL1978,hydrocortisone butyrate,hydrocortisone,hydrocortisone butyrate
EXP-077,NNACHAUCXXVJSP-UHFFFAOYSA-N__CHEMBL4618,pitolisant hydrochloride,pitolisant,pitolisant hydrochloride
EXP-082,AJIPIJNNOJSSQC-NYLIRDPKSA-N__CHEMBL1978,estetrol,estetrol anhydrous,estetrol
EXP-085,GZOSMCIZMLWJML-VJLLXTKPSA-N__CHEMBL2331059,abiraterone acetate,abiraterone,abiraterone acetate
EXP-089,KPWSJANDNDDRMB-QAQDUYKDSA-N__CHEMBL2243,cariprazine hydrochloride,cariprazine,cariprazine hydrochloride
EXP-094,UREBDLICKHMUKA-DVTGEIKXSA-N__CHEMBL2973,betamethasone dipropionate,betamethasone,betamethasone dipropionate
EXP-097,RRMJMHOQSALEJJ-UHFFFAOYSA-N__CHEMBL5838,lazertinib mesylate,lazertinib,lazertinib mesylate
EXP-099,CMWTZPSULFXXJA-VIFPVBQESA-N__CHEMBL2722,naproxen sodium,naproxen,naproxen sodium
EXP-100,CMWTZPSULFXXJA-VIFPVBQESA-N__CHEMBL1908,naproxen sodium,naproxen,naproxen sodium
EXP-101,IKKXOSBHLYMWAE-QRPMWFLTSA-N__CHEMBL4338,islatravir,islatravir anhydrous,islatravir
EXP-106,YWGDOWXRIALTES-NRFANRHFSA-N__CHEMBL2243,bepotastine besilate,bepotastine,bepotastine besilate
EXP-109,SGEGOXDYSFKCPT-UHFFFAOYSA-N__CHEMBL2439,vilazodone hydrochloride,vilazodone,vilazodone hydrochloride
