split,task,rows,unique_pairs,positive,negative,molecules,targets
train,ACTIVITY_EC50,102821,102821,72224,30597,80724,1007
train,ACTIVITY_IC50,721383,721383,541497,179886,514705,3171
train,AFFINITY_KD_KI,287296,287296,189128,98168,136788,2138
train,ANNOTATED_INACTIVITY,46603,46603,0,46603,487,736
validation,ACTIVITY_EC50,13033,13033,9178,3855,9994,598
validation,ACTIVITY_IC50,85842,85842,64502,21340,61025,1932
validation,AFFINITY_KD_KI,34745,34745,24471,10274,17305,2034
validation,ANNOTATED_INACTIVITY,6725,6725,0,6725,81,612
test,ACTIVITY_EC50,11985,11985,8551,3434,9451,604
test,ACTIVITY_IC50,85763,85763,65227,20536,61897,1943
test,AFFINITY_KD_KI,34385,34385,23216,11169,16310,2533
test,ANNOTATED_INACTIVITY,4822,4822,0,4822,68,517
reference_control_holdout,ACTIVITY_EC50,22,22,20,2,20,19
reference_control_holdout,ACTIVITY_IC50,99,99,98,1,76,76
reference_control_holdout,AFFINITY_KD_KI,113,113,113,0,89,102
previous_benchmark_scaffold_holdout,ACTIVITY_EC50,1811,1811,1046,765,1368,227
previous_benchmark_scaffold_holdout,ACTIVITY_IC50,8833,8833,3748,5085,5319,899
previous_benchmark_scaffold_holdout,AFFINITY_KD_KI,9504,9504,5101,4403,3410,935
previous_benchmark_scaffold_holdout,ANNOTATED_INACTIVITY,1353,1353,0,1353,29,462
