原候选编号,药物完整InChIKey,新靶点ChEMBL编号,小分子药物名称,新靶点基因,canonical_target_id,exact_pair_id,connectivity_pair,accepted_exact_source_records,accepted_connectivity_related_source_records,note
C384-001,CSKDFZIMJXRJGH-VWLPUNTISA-N,CHEMBL1871,tecovirimat,AR,SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,CSKDFZIMJXRJGH-VWLPUNTISA-N__SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,CSKDFZIMJXRJGH__SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-040,IVBHGBMCVLDMKU-GXNBUGAJSA-N,CHEMBL261,piperacillin,CA1,SEQ:5862305c8302b2d7dd9de31f34102a1220d9099d9f6f7b961610ed4337934880,IVBHGBMCVLDMKU-GXNBUGAJSA-N__SEQ:5862305c8302b2d7dd9de31f34102a1220d9099d9f6f7b961610ed4337934880,IVBHGBMCVLDMKU__SEQ:5862305c8302b2d7dd9de31f34102a1220d9099d9f6f7b961610ed4337934880,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-089,DRHKJLXJIQTDTD-OAHLLOKOSA-N,CHEMBL3729,tamsulosin,CA4,SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,DRHKJLXJIQTDTD-OAHLLOKOSA-N__SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,DRHKJLXJIQTDTD__SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-156,BQJCRHHNABKAKU-KBQPJGBKSA-N,CHEMBL2326,morphine,CA7,SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,BQJCRHHNABKAKU-KBQPJGBKSA-N__SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,BQJCRHHNABKAKU__SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-074,ZBMZVLHSJCTVON-UHFFFAOYSA-N,CHEMBL1994,sotalol,NR3C2,SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,ZBMZVLHSJCTVON-UHFFFAOYSA-N__SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,ZBMZVLHSJCTVON__SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-194,SGUAFYQXFOLMHL-UHFFFAOYSA-N,CHEMBL1944,labetalol,MME,SEQ:1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,SGUAFYQXFOLMHL-UHFFFAOYSA-N__SEQ:1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,SGUAFYQXFOLMHL__SEQ:1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-283,BPZSYCZIITTYBL-YJYMSZOUSA-N,CHEMBL2252,arformoterol,CTSC,SEQ:11218c4d9b56cea287841837e6126434a6d3e34733904e87928c45e26a9e6beb,BPZSYCZIITTYBL-YJYMSZOUSA-N__SEQ:11218c4d9b56cea287841837e6126434a6d3e34733904e87928c45e26a9e6beb,BPZSYCZIITTYBL__SEQ:11218c4d9b56cea287841837e6126434a6d3e34733904e87928c45e26a9e6beb,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-285,SMOBCLHAZXOKDQ-ZJUUUORDSA-N,CHEMBL4073,relebactam,MMP7,SEQ:0979d0f16275fb9831c003699f0d784233dfefee41a6be01942a90b08379d9d0,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__SEQ:0979d0f16275fb9831c003699f0d784233dfefee41a6be01942a90b08379d9d0,SMOBCLHAZXOKDQ__SEQ:0979d0f16275fb9831c003699f0d784233dfefee41a6be01942a90b08379d9d0,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-007,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CHEMBL2815,vismodegib,NTRK1,SEQ:c17cbbd68c27235daefe2b9862da81fedd3a349c2589358be6a4b8f13cd12b63,BPQMGSKTAYIVFO-UHFFFAOYSA-N__SEQ:c17cbbd68c27235daefe2b9862da81fedd3a349c2589358be6a4b8f13cd12b63,BPQMGSKTAYIVFO__SEQ:c17cbbd68c27235daefe2b9862da81fedd3a349c2589358be6a4b8f13cd12b63,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
C384-093,IUBSYMUCCVWXPE-UHFFFAOYSA-N,CHEMBL3729,metoprolol,CA4,SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,IUBSYMUCCVWXPE-UHFFFAOYSA-N__SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,IUBSYMUCCVWXPE__SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,0,0,All related historical records reserved; connectivity-only matches are not exact experimental evidence for the frozen candidate.
