ligand_inchikey,target_chembl_id,is_chembl37_mechanism_relationship,chembl37_mechanism_match_tiers,chembl37_mechanism_molecule_ids,chembl37_action_types,chembl37_mechanism_of_action,chembl37_direct_interaction_any
ACRHBAYQBXXRTO-OAQYLSRUSA-N,CHEMBL1250417,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2145077;CHEMBL471737,BLOCKER,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 blocker,True
ACWZRVQXLIRSDF-UHFFFAOYSA-N,CHEMBL2964,True,EXACT_MODEL_SPECIES,CHEMBL3187723,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,True
ACWZRVQXLIRSDF-UHFFFAOYSA-N,CHEMBL3587,True,EXACT_MODEL_SPECIES,CHEMBL3187723,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,True
ADEBPBSSDYVVLD-UHFFFAOYSA-N,CHEMBL220,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1678,INHIBITOR,Acetylcholinesterase inhibitor,True
AEXFXNFMSAAELR-RXVVDRJESA-N,CHEMBL2252,True,EXACT_MODEL_SPECIES,CHEMBL3900409,INHIBITOR,Dipeptidyl peptidase I inhibitor,True
AFLFKFHDSCQHOL-IZZDOVSWSA-N,CHEMBL239,True,EXACT_MODEL_SPECIES,CHEMBL3707395,AGONIST,Peroxisome proliferator-activated receptor alpha agonist,True
AFLFKFHDSCQHOL-IZZDOVSWSA-N,CHEMBL3979,True,EXACT_MODEL_SPECIES,CHEMBL3707395,AGONIST,Peroxisome proliferator-activated receptor delta agonist,True
AHOUBRCZNHFOSL-YOEHRIQHSA-N,CHEMBL228,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200609;CHEMBL6067650,INHIBITOR,Serotonin transporter inhibitor,True
AHYMHWXQRWRBKT-UHFFFAOYSA-N,CHEMBL3717,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3402762;CHEMBL4594292,INHIBITOR,Hepatocyte growth factor receptor inhibitor,True
AILRADAXUVEEIR-UHFFFAOYSA-N,CHEMBL203,True,EXACT_MODEL_SPECIES,CHEMBL3545311,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,True
AILRADAXUVEEIR-UHFFFAOYSA-N,CHEMBL4247,True,EXACT_MODEL_SPECIES,CHEMBL3545311,INHIBITOR,ALK tyrosine kinase receptor inhibitor,True
ALWKGYPQUAPLQC-UHFFFAOYSA-N,CHEMBL220,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL211471,INHIBITOR,Acetylcholinesterase inhibitor,True
ASOADIZOVZTJSR-UHFFFAOYSA-N,CHEMBL2023,True,EXACT_MODEL_SPECIES,CHEMBL1089318,INHIBITOR,Catechol O-methyltransferase inhibitor,True
ASUTZQLVASHGKV-JDFRZJQESA-N,CHEMBL220,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1555,INHIBITOR,Acetylcholinesterase inhibitor,True
AZSRSNUQCUDCGG-UHFFFAOYSA-N,CHEMBL203,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4650319;CHEMBL4802239,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,True
BCFGMOOMADDAQU-UHFFFAOYSA-N,CHEMBL1824,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201179,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,True
BCFGMOOMADDAQU-UHFFFAOYSA-N,CHEMBL203,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201179,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,True
BFPYWIDHMRZLRN-SLHNCBLASA-N,CHEMBL206,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201151;CHEMBL691,AGONIST,Estrogen receptor alpha agonist,True
BFSMGDJOXZAERB-UHFFFAOYSA-N,CHEMBL5145,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105729,INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor,True
BLIJXOOIHRSQRB-PXYINDEMSA-N,CHEMBL1871,True,EXACT_MODEL_SPECIES,CHEMBL4297185,ANTAGONIST,Androgen Receptor antagonist,True
BMGQWWVMWDBQGC-IIFHNQTCSA-N,CHEMBL1936,True,EXACT_MODEL_SPECIES,CHEMBL608533,INHIBITOR,Stem cell growth factor receptor inhibitor,True
BMGQWWVMWDBQGC-IIFHNQTCSA-N,CHEMBL1974,True,EXACT_MODEL_SPECIES,CHEMBL608533,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor,True
BMGQWWVMWDBQGC-IIFHNQTCSA-N,CHEMBL279,True,EXACT_MODEL_SPECIES,CHEMBL608533,INHIBITOR,Vascular endothelial growth factor receptor 2 inhibitor,True
BNRNXUUZRGQAQC-UHFFFAOYSA-N,CHEMBL1827,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1737,INHIBITOR,Phosphodiesterase 5A inhibitor,True
BPKAHTKRCLCHEA-UBFJEZKGSA-N,CHEMBL1977,True,EXACT_MODEL_SPECIES,CHEMBL1200622,AGONIST,Vitamin D receptor agonist,True
BPRHUIZQVSMCRT-VEUZHWNKSA-N,CHEMBL402,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1744447,INHIBITOR,HMG-CoA reductase inhibitor,True
BQEJAAIPKDQEPV-MXHGPKCJSA-N,CHEMBL2034,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201749,AGONIST,Glucocorticoid receptor agonist,True
BQSJTQLCZDPROO-UHFFFAOYSA-N,CHEMBL1929,True,EXACT_MODEL_SPECIES,CHEMBL1164729,INHIBITOR,Xanthine dehydrogenase inhibitor,True
BSMCAPRUBJMWDF-KRWDZBQOSA-N,CHEMBL2964,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2146883;CHEMBL2364607,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,True
