target_chembl_id,gene_symbol,uniprot_accession,target_class_l1,ot_project_assay_family,is_gpcr,chembl_kinase,ot_sm_structure_with_ligand,ot_sm_high_quality_pocket,ot_sm_med_quality_pocket,af_exact_sequence_model,p2rank_status,p2rank_tier,p2rank_top_score,p2rank_top_probability,pocket_residue_count,pocket_mean_plddt,known_unique_pocket_count,known_k1_pocket_count,known_k1_k2_pocket_count,known_drug_mapped,known_biolip2,known_biolip2_affinity,known_scpdb,known_klifs,known_gpcrdb,p2rank_top1_any_known_residue_match,p2rank_top1_any_known_center_match_4a,p2rank_top1_any_known_center_match_8a,p2rank_top1_any_known_combined_match_8a,p2rank_top1_best_known_recall,p2rank_top1_best_jaccard,p2rank_top1_minimum_center_distance,p2rank_top3_any_known_residue_match,p2rank_top3_any_known_center_match_4a,p2rank_top3_any_known_center_match_8a,p2rank_top3_any_known_combined_match_8a,p2rank_top3_best_known_recall,p2rank_top3_best_jaccard,p2rank_top3_minimum_center_distance,p2rank_all_any_known_residue_match,p2rank_all_any_known_center_match_4a,p2rank_all_any_known_center_match_8a,p2rank_all_any_known_combined_match_8a,p2rank_all_best_known_recall,p2rank_all_best_jaccard,p2rank_all_minimum_center_distance,p2rank_top1_any_k1_combined_match_8a,p2rank_top3_any_k1_combined_match_8a,p2rank_all_any_k1_combined_match_8a,p2rank_top1_any_k1_k2_combined_match_8a,p2rank_top3_any_k1_k2_combined_match_8a,p2rank_all_any_k1_k2_combined_match_8a,pdbe_raw_ligand_instance_count,pdbe_raw_unique_pdb_count,representative_known_pocket_id,representative_known_pocket_grade,representative_known_pocket_sources,representative_pdb_id,representative_chain_id,representative_ligand_id,representative_known_pocket_residues,representative_known_pocket_residue_count,pocket_decision_tier,primary_pocket_policy
CHEMBL1628481,APLNR,P35414,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,47.86,0.964,35,94.52857142857142,79,0,20,False,True,False,False,False,True,True,True,True,True,1.0,0.6666666666666666,0.892351456826289,True,True,True,True,1.0,0.6666666666666666,0.892351456826289,True,True,True,True,1.0,0.6666666666666666,0.892351456826289,False,False,False,True,True,True,107,21,KP:P35414:f59129a77e2e,K2_SPECIALIZED_CURATED_SITE,BIOLIP2;PDBE,8xzi,R,A1D5N,35;78;82;85;109;110;113;261;264;268;271;288;291;295;298;299,16.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL1832,CALCR,P30988,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,35.84,0.934,35,89.83600000000001,69,0,33,False,True,False,False,False,True,True,True,True,True,0.6666666666666666,0.5106382978723404,3.249840156002324,True,True,True,True,0.6666666666666666,0.5106382978723404,3.249840156002324,True,True,True,True,0.7,0.7,2.924142503367438,False,False,False,True,True,True,71,23,KP:P30988:0a8c9d6a92ef,K2_SPECIALIZED_CURATED_SITE,BIOLIP2;PDBE,7tzf,R,P42,146;147;150;151;154;158;382;385,8.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL2414,CCR4,P51679,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,44.12,0.956,38,87.4771052631579,4,0,0,False,False,False,False,False,False,True,False,True,True,0.7142857142857143,0.238095238095238,5.9835976198827625,True,True,True,True,0.8181818181818182,0.6923076923076923,2.426859989073957,True,True,True,True,0.8181818181818182,0.6923076923076923,2.426859989073957,False,False,False,False,False,False,4,4,KP:P51679:d44d90d1a52b,K3_EXPERIMENTAL_DRUGLIKE_SITE,PDBE,11tf,R,A1DAO,95;98;117;118;121;122;188;206;207;255;258;259;262;266;290,15.0,E3_实验药物样口袋待复核,人工确认配体生物学意义后使用实验口袋
CHEMBL2024,FSHR,P23945,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,42.25,0.952,28,87.27928571428572,9,0,3,False,True,False,False,False,True,True,True,True,True,0.9411764705882352,0.7575757575757576,1.011801328577952,True,True,True,True,0.9411764705882352,0.7575757575757576,1.011801328577952,True,True,True,True,0.9411764705882352,0.7575757575757576,1.011801328577952,False,False,False,True,True,True,15,4,KP:P23945:b609bc3bcf99,K2_SPECIALIZED_CURATED_SITE,BIOLIP2;PDBE,8i2g,R,CLR,366;367;370;371;372;375;377;382;406;413;416;417;420;421;423;424;436;440;443;444;447;448;451;465;468;498;502;505;528;529;532;536;537;539;540;544;548;550;551;553;554;568;571;572;574;575;576;578;579;582;585;586;590;593;597;599;613;617;620;621;624;625;628;629;634;637;638,67.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL2346493,FZD1,Q9UP38,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,31.66,0.911,24,96.53375,0,0,0,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,,,,False,False,False,False,,,,False,False,False,False,False,False,0,0,,,,,,,,,P1_无实验口袋_P2Rank_AB探索,以P2Rank为预测起点；需另一口袋模型或结构证据确认
CHEMBL3559686,FZD2,Q14332,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,32.2,0.915,23,96.5395652173913,3,0,1,False,True,False,False,False,False,False,False,False,False,0.0,0.0,45.32825870506536,False,False,False,False,0.0,0.0,34.71576380195794,False,False,False,False,0.0,0.0,12.561705267199992,False,False,False,False,False,False,7,2,KP:Q14332:6133df7e36d4,K2_SPECIALIZED_CURATED_SITE,BIOLIP2;PDBE,6c0b,B,PAM,76;82;124;125;128;130,6.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL3559687,FZD5,Q13467,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,33.03,0.92,26,96.82384615384616,2,0,0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,46.10155641674284,False,False,False,False,0.0,0.0,32.956067441525974,False,False,False,False,0.0,0.0,26.19052070917169,False,False,False,False,False,False,9,3,KP:Q13467:80de49aa0452,K3_EXPERIMENTAL_DRUGLIKE_SITE,PDBE,5ury,A,PAM,69;70;71;72;73;76;119;120;123;125,10.0,E3_实验药物样口袋待复核,人工确认配体生物学意义后使用实验口袋
CHEMBL3559688,FZD7,O75084,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,59.02,0.981,48,95.09229166666668,14,0,1,False,True,False,False,False,False,True,False,True,True,1.0,0.2916666666666667,6.011079425391694,True,True,True,True,1.0,0.3157894736842105,3.5970548733960426,True,True,True,True,1.0,0.3157894736842105,3.5970548733960426,False,False,False,False,True,True,28,8,KP:O75084:9bdb2f1f8a5b,K2_SPECIALIZED_CURATED_SITE,BIOLIP2;PDBE,9epo,A,Y01,272;280;298;309;332;334;335;337;341;345;346,11.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
CHEMBL3559689,FZD8,Q9H461,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,53.11,0.97,39,94.71128205128204,2,0,0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,54.59295844360332,False,False,False,False,0.0,0.0,53.687012652270006,False,False,False,False,0.0,0.0,37.94133965445869,False,False,False,False,False,False,4,1,KP:Q9H461:078c94f5e823,K4_FUNCTIONAL_OR_FRAGMENT_SITE,PDBE,6ndz,A,ACT,33;35;50;101,4.0,E4_功能配体或片段口袋待复核,区分辅因子/底物/片段；不可直接视为药物口袋
CHEMBL2032,GHRHR,Q02643,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,21.64,0.815,25,82.93360000000001,5,0,3,False,True,False,False,False,True,True,False,True,True,0.4473684210526316,0.3695652173913043,7.334949181941348,True,False,True,True,0.4473684210526316,0.3695652173913043,7.334949181941348,True,False,True,True,0.4473684210526316,0.375,7.078321865935301,False,False,False,True,True,True,5,3,KP:Q02643:e7f8a53e814e,K2_SPECIALIZED_CURATED_SITE,BIOLIP2;PDBE,7cz5,R,CLR,163;167;174;211;243;246;250,7.0,E2_专库确认实验口袋,优先专库确认实验口袋；核验配体与构象语境
