target_id,uniprot_id,gene,protein_length,protein_sha256,target_chembl_id,sequence_sha256,target_class_l1,target_class_l2,ot_project_assay_family,structure_ready_strict,target_feature_index,homology_cluster,cluster_known,sampling_cluster,sampling_family,hash_priority,selected_APP96
CHEMBL1075094,Q16236,NFE2L2,605,850aba8ba2a5e1681e7e3dbc08958a52248c816c95be57b749d282e591253998,CHEMBL1075094,850aba8ba2a5e1681e7e3dbc08958a52248c816c95be57b749d282e591253998,Transcription factor,,nuclear_epigenetic_transcription,False,2610.0,SEQ:850aba8ba2a5e1681e7e3dbc08958a52248c816c95be57b749d282e591253998,True,SEQ:850aba8ba2a5e1681e7e3dbc08958a52248c816c95be57b749d282e591253998,nuclear_epigenetic_transcription,0735449255a40a28afe2211eea920e0c6102a98fbe8d5f3e4c284d17ed21f0a6,True
CHEMBL1287628,Q9Y5S8,NOX1,564,87dbdcd6bb922f6c07c087bedb6707d8d54078cc3912c82ea227236f19974349,CHEMBL1287628,87dbdcd6bb922f6c07c087bedb6707d8d54078cc3912c82ea227236f19974349,Transporter,Transmembrane 1-electron transfer carriers,transporter,True,2671.0,SEQ:01cf1106ce4491402aa8769cad230800b3476fee16a1019a20181772b30d3d54,True,SEQ:01cf1106ce4491402aa8769cad230800b3476fee16a1019a20181772b30d3d54,transporter,803437181ea68d384217fd03bef2a618466d10e2f4cae11edeba818b30b867bb,True
CHEMBL1641347,Q4U2R8,SLC22A6,563,f4530393413bef6fed4161594ee08a4d063a4dcbc1b9ce61a747fd299e1ee5de,CHEMBL1641347,f4530393413bef6fed4161594ee08a4d063a4dcbc1b9ce61a747fd299e1ee5de,Transporter,Electrochemical transporter,transporter,True,4852.0,SEQ:2d18ac9566390f8e8a70ccbb95841c3aa5c4e4c5fd088d59fd7e1ac28d693c44,True,SEQ:2d18ac9566390f8e8a70ccbb95841c3aa5c4e4c5fd088d59fd7e1ac28d693c44,transporter,06dff9eb32219c77a1d8ee5638609ad182ea8a95b58c40f4588c7ab793771c5a,True
CHEMBL1744522,Q99814,EPAS1,870,bc397cc8eb78693a226a23c89a09eb3c0054deef0ef8c9cae74b11a491fad1df,CHEMBL1744522,bc397cc8eb78693a226a23c89a09eb3c0054deef0ef8c9cae74b11a491fad1df,Transcription factor,,nuclear_epigenetic_transcription,True,3700.0,SEQ:7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,True,SEQ:7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,nuclear_epigenetic_transcription,373906b493b78a8648bfd2ccf7bb89cc0d057fda075036a25d41bc951b3c4c81,True
CHEMBL1795116,O14744,PRMT5,637,426a120e9105502534446b6b2f93d80918127f6d0a708f46a005683d0db7c88e,CHEMBL1795116,426a120e9105502534446b6b2f93d80918127f6d0a708f46a005683d0db7c88e,Epigenetic regulator,Writer,nuclear_epigenetic_transcription,True,1294.0,SEQ:426a120e9105502534446b6b2f93d80918127f6d0a708f46a005683d0db7c88e,True,SEQ:426a120e9105502534446b6b2f93d80918127f6d0a708f46a005683d0db7c88e,nuclear_epigenetic_transcription,1b391d99bef3df3f80f44fd629c6149c29f5929e83170595ce171ed2097788de,True
CHEMBL1806,P11388,TOP2A,1531,761da99e636939921184b716e7ba5e440765a070c13385f413f8172c5649afbc,CHEMBL1806,761da99e636939921184b716e7ba5e440765a070c13385f413f8172c5649afbc,Enzyme,Isomerase,enzyme,True,2289.0,SEQ:4c6541916ff4b45e7633eeddbeed04b39c5a8b519917ed33e6081c22ce0af528,True,SEQ:4c6541916ff4b45e7633eeddbeed04b39c5a8b519917ed33e6081c22ce0af528,enzyme,1734d020a078d06633b02d24aaf5bd39ef8530ffd1a9ba1ff542f6cbc98caf0e,True
CHEMBL1812,P16233,PNLIP,465,8e144ac7eadb8b0b53e0e195deec103c4626a452c2e9d6b3d76b1590d2ef1112,CHEMBL1812,8e144ac7eadb8b0b53e0e195deec103c4626a452c2e9d6b3d76b1590d2ef1112,Enzyme,Hydrolase,enzyme,False,2789.0,SEQ:5b2bf8da09ea43b32e1c7d516419d5557679d75a918e7373e7c44a84c1ee71c1,True,SEQ:5b2bf8da09ea43b32e1c7d516419d5557679d75a918e7373e7c44a84c1ee71c1,enzyme,08a8027376cbdf0dadabb913764d0c3447ff2a969aac7166ebc8df64fa3a230b,True
CHEMBL1824,P04626,ERBB2,1255,a5f256fc653515d110f6dd48ad55b8ea21bf6d45af33b7f5c182c6c31455b636,CHEMBL1824,a5f256fc653515d110f6dd48ad55b8ea21bf6d45af33b7f5c182c6c31455b636,Enzyme,Kinase,kinase,True,3268.0,SEQ:1d456f9470d2ff57ac97450faa7588aef382adc7eff33d54259187c71584d11a,True,SEQ:1d456f9470d2ff57ac97450faa7588aef382adc7eff33d54259187c71584d11a,kinase,4f43238a08884b13a94190f092c424c8873b5c064ff684d09c17c32e8304ba7b,True
CHEMBL1835,P24557,TBXAS1,533,2527e74d770f31ba23b27e94f47140ab3b881c5f75f5f675cd15269c21c43def,CHEMBL1835,2527e74d770f31ba23b27e94f47140ab3b881c5f75f5f675cd15269c21c43def,Enzyme,Cytochrome P450,enzyme,True,744.0,SEQ:2527e74d770f31ba23b27e94f47140ab3b881c5f75f5f675cd15269c21c43def,True,SEQ:2527e74d770f31ba23b27e94f47140ab3b881c5f75f5f675cd15269c21c43def,enzyme,1cc140d0d200ea695bb0de55fe4ad49ea3a1705971a1d346d74190601c1ef737,True
CHEMBL1841,P06241,FYN,537,a25f82cd1b4be74e9b43bdc43c058fe9ce987dc011b712f1ce43a21e4d45d0a4,CHEMBL1841,a25f82cd1b4be74e9b43bdc43c058fe9ce987dc011b712f1ce43a21e4d45d0a4,Enzyme,Kinase,kinase,True,3207.0,SEQ:01b6c32eee0d173b181b1bb3926e78b1014c3c8a350003ef462b97fcad650063,True,SEQ:01b6c32eee0d173b181b1bb3926e78b1014c3c8a350003ef462b97fcad650063,kinase,1491b55e11da3810a4b94b544e987bb1f35d9f80ddd6b2e305ef6e1430292644,True
