system_id,cluster,native_contact_ap,native_contact_prevalence,native_residue_only_score_ap,native_atom_permuted_score_ap,native_atom_to_residue_macro_ap,native_residue_to_atom_macro_ap,native_contact_pairs,native_pair_candidates,all_regions_contact_ap,all_regions_contact_prevalence,native_distance_mae_capped32_A,native_region_selected,regions
1ddt__1__1.A_2.A__1.B,c1769,0.2900147597976624,0.07387140902872777,0.15838634794241999,0.12566676843558672,0.4086082918595054,0.5154433976551095,108,1462,0.29001475979766234,0.04830053667262969,2.3672921657562256,True,2
1ddt__1__1.A_2.A__2.B,c1769,0.3258268479430118,0.07387140902872777,0.15778756124660706,0.11407351862047901,0.4237564697503461,0.5107853045018712,108,1462,0.32582684794301187,0.04738920579201404,2.3683342933654785,True,2
1d09__1__1.A_2.A__1.E,c103,0.3740807243206458,0.16810344827586207,0.28590098378347806,0.31652654480103715,0.4548845812599924,0.5539735604881108,78,464,0.3740807243206458,0.10833333333333334,2.7506051063537598,True,2
1d09__1__1.C_2.C__2.G,c103,0.3924206653774902,0.18990384615384615,0.3305662353386664,0.3238534035265386,0.49773731209527733,0.5268716048968151,79,416,0.3924206653774902,0.1234375,2.875171184539795,True,2
1d09__1__1.C_3.C__1.G,c103,0.38623811932016355,0.18990384615384615,0.329288515723172,0.3336216327598751,0.48945220858402244,0.5408033326643271,79,416,0.3862381193201635,0.10286458333333333,2.9003500938415527,True,2
1d09__1__1.A_3.A__3.E,c103,0.3757065497534282,0.16810344827586207,0.28277243498185234,0.30368094350743374,0.45853153932052926,0.5169764254337667,78,464,0.3757065497534282,0.1015625,2.7665963172912598,True,2
2ag6__2__2.A__2.B,c121,0.6698029047896632,0.18461538461538463,0.5016685707402619,0.4659173593538088,0.7290614827605778,0.540234533984534,48,260,0.6698029047896632,0.11188811188811189,2.9384818077087402,True,2
2aix__1__2.A__2.B,c7,0.5188277995465034,0.19047619047619047,0.46212300779094784,0.4924438730500883,0.6413549624395213,0.4333063957647291,64,336,0.5187818336302301,0.125,3.0562903881073,True,2
2ag6__1__1.A__1.B,c121,0.6724899655494906,0.18461538461538463,0.5016685707402619,0.5390908070116143,0.7412043399034349,0.5555409156370695,48,260,0.6724899655494906,0.0997920997920998,2.9291903972625732,True,2
2aix__1__1.A__1.B,c7,0.5425155398994729,0.19047619047619047,0.4624020256480907,0.4605665119300125,0.6391623470483765,0.4535520837187504,64,336,0.5425155398994728,0.125,3.0971310138702393,True,2
2ahv__1__1.D__1.H,c2034,0.23294231645650135,0.049890350877192985,0.10000368590560647,0.09380586120305331,0.37938726684212465,0.29454209456620184,91,1824,0.23294231645650135,0.03510802469135803,3.194455862045288,True,2
2bdm__2__1.A_2.A__2.D,c11013,0.2590663300595494,0.125,0.2557507344500681,0.21096028768613645,0.4153708669804235,0.4223234645136787,81,648,0.13700928397692147,0.084375,2.7698488235473633,True,2
2c84__1__1.A__1.B,c1327,0.4917174926901352,0.13095238095238096,0.34869394562163536,0.3510269363863085,0.6153598673346573,0.6099181590549905,77,588,0.4917174926901352,0.08333333333333333,2.4692420959472656,True,2
