system_id,cluster,native_contact_ap_after,native_contact_prevalence_after,native_residue_only_score_ap_after,native_atom_permuted_score_ap_after,native_atom_to_residue_macro_ap_after,native_residue_to_atom_macro_ap_after,native_contact_pairs_after,native_pair_candidates_after,all_regions_contact_ap_after,all_regions_contact_prevalence_after,native_distance_mae_capped32_A_after,native_region_selected_after,regions_after,native_contact_ap_before,native_contact_prevalence_before,native_residue_only_score_ap_before,native_atom_permuted_score_ap_before,native_atom_to_residue_macro_ap_before,native_residue_to_atom_macro_ap_before,native_contact_pairs_before,native_pair_candidates_before,all_regions_contact_ap_before,all_regions_contact_prevalence_before,native_distance_mae_capped32_A_before,native_region_selected_before,regions_before
1ddt__1__1.A_2.A__1.B,c1769,0.2621739841473457,0.0738714090287277,0.1678895198642882,0.1278395889161246,0.4533327862490844,0.4443322796957436,108,1462,0.2369505492691966,0.0483005366726296,3.302006959915161,True,2,0.6048101342283327,0.0738714090287277,0.1792634303519298,0.1418786501399878,0.5854751961595935,0.6334537557869534,108,1462,0.6048101342283327,0.0483005366726296,1.2730271816253662,True,2
1ddt__1__1.A_2.A__2.B,c1769,0.2496500082590691,0.0738714090287277,0.1674911937229387,0.1237694139183696,0.423229161692776,0.4438498146127199,108,1462,0.2296068144630182,0.047389205792014,3.297985553741455,True,2,0.5738679583650937,0.0738714090287277,0.1797883860304497,0.1390719329692611,0.5703659991049077,0.6113393212313368,108,1462,0.5738679583650937,0.047389205792014,1.333497405052185,True,2
1d09__1__1.A_2.A__1.E,c103,0.325064251272349,0.168103448275862,0.2629675879675879,0.2667506853884173,0.4680611920370323,0.4311710078575158,78,464,0.1837870795304403,0.1083333333333333,1.8252547979354856,True,2,0.5425896969710584,0.168103448275862,0.3287492971457904,0.3435830847641652,0.6169557554713804,0.6553927627340326,78,464,0.5425896969710584,0.1083333333333333,1.2168912887573242,True,2
1d09__1__1.C_2.C__2.G,c103,0.2944467751137861,0.1899038461538461,0.2602110026395184,0.2683094943123602,0.4377482856487583,0.4255666314699928,79,416,0.2405787294488918,0.1234375,1.7558543682098389,True,2,0.3394571152903294,0.1899038461538461,0.3980616164086987,0.3281438610541783,0.4320954308296745,0.4829955875771702,79,416,0.3380918018301446,0.1234375,1.7356191873550415,True,2
1d09__1__1.C_3.C__1.G,c103,0.2740908040720131,0.1899038461538461,0.2619886651813284,0.2840560069915895,0.4002144777445391,0.4204085371522346,79,416,0.1831955356345446,0.1028645833333333,1.7570961713790894,True,2,0.2784656082961136,0.1899038461538461,0.3997973610012887,0.3550852713313989,0.3777157011794617,0.4091050498806101,79,416,0.2783865819012978,0.1028645833333333,1.9830570220947263,True,2
1d09__1__1.A_3.A__3.E,c103,0.3188373678901115,0.168103448275862,0.2558434620934621,0.2637665336766595,0.463127596865434,0.448129489374529,78,464,0.2035476123316726,0.1015625,1.8260223865509035,True,2,0.2993179046364249,0.168103448275862,0.3125718728293374,0.2858174926351707,0.4033832070545983,0.4413023594571214,78,464,0.2987651932301288,0.1015625,1.851396083831787,True,2
2ag6__2__2.A__2.B,c121,0.4409171711772232,0.1846153846153846,0.4492628390557956,0.344568087205554,0.619307498057498,0.5353256216717756,48,260,0.3391638062323016,0.1118881118881118,1.713972806930542,True,2,0.656924594731415,0.1846153846153846,0.49237369894539,0.4091978948754935,0.749196914196914,0.7796337209798748,48,260,0.6569245947314151,0.1118881118881118,1.0791325569152832,True,2
2aix__1__2.A__2.B,c7,0.462744360811028,0.1904761904761904,0.3516053608647531,0.3182274470948499,0.5792012610390126,0.5596497021497021,64,336,0.3179245784578777,0.125,1.7264834642410278,True,2,0.7196503657499908,0.1904761904761904,0.4978327878718503,0.4021523297698051,0.7376969471500722,0.7354288258038258,64,336,0.7191112933691569,0.125,0.8272790312767029,True,2
2ag6__1__1.A__1.B,c121,0.4334283825771891,0.1846153846153846,0.4555989712650897,0.3605438979541514,0.6137524975024975,0.5321334434795973,48,260,0.2669484943818226,0.0997920997920998,1.71240234375,True,2,0.6359401938269904,0.1846153846153846,0.4897652116402117,0.4291292631789944,0.7407875457875457,0.7873209411670951,48,260,0.6359401938269905,0.0997920997920998,1.083953857421875,True,2
2aix__1__1.A__1.B,c7,0.4807831113639125,0.1904761904761904,0.3470924584026318,0.3027765601213684,0.5638084903250344,0.553569462944463,64,336,0.3312930836165164,0.125,1.7243783473968506,True,2,0.7270320370135765,0.1904761904761904,0.4970106391004829,0.3878628534966848,0.7197986562049061,0.7319798365215031,64,336,0.7229367738992396,0.125,0.8349399566650391,True,2
