matrix_target_index,gene_symbol,sequence_sha256,sequence_length,feature_route
0,APLNR,7c44a5c602ed3747f888e66d3e0d1e9f5f7ad40194536c4cf2fd76611124e520,380,new_full_chain_esm2
1,CALCR,eef79041ae0d751bda4f74a04308af75cb869f73428f4c4b77215820f529fa06,474,new_full_chain_esm2
2,CCR4,382beaef4182aa309b904efca62ac33f8554b3ed85ecaa3bc3c3fa250f563ea2,360,new_full_chain_esm2
3,FSHR,7bbe9f46e81ee1d0334a73f0f90250a0a869534fcfcb48a4ad2c0caf44af2fa3,695,new_full_chain_esm2
4,FZD1,81f7d297ce1364bd4b82fadc6522557df102c79e214bdc0a0dd4fe8932ba65f6,647,new_full_chain_esm2
5,FZD2,465ea04762c35ae9d57fdc88d15680dadf77eeb2d5ba7cc7505d875cdd486942,565,new_full_chain_esm2
6,FZD5,bbfa09b8787f15f286fca9419f0340ffef1c7ae56b0d3ecd70294bf8be5afaca,585,new_full_chain_esm2
7,FZD7,8ecc09d746ea0a01c7d6990b41faecbfb0e1afee82c84b509dea60851eaecf1c,574,new_full_chain_esm2
8,FZD8,c590d747d5d0857fb807c5ba7256e2370545dc1f2ce16fd5a05ba57940efe921,694,new_full_chain_esm2
9,GHRHR,9ce365cebb12bffd2a89d30da9a7bc1c4e3985d3b715250a78096963b5a60594,423,new_full_chain_esm2
10,GIPR,47ff709b021066635ee59bae11f6f99ff219402ae13bcfcf87c56609e861a3f1,466,new_full_chain_esm2
11,GLP2R,71fe06b2bd24849dbacfbf2ded035fc28b44603234bcc4e090a08b4977c31162,553,new_full_chain_esm2
12,GPRC5D,5388eae978da40105ac1ae2f621abbc49cdbba8bba32ead2694a2fa34fb32c65,345,new_full_chain_esm2
13,LHCGR,8ab4a7858bf09b303831af5ec18c26247c63143b56cd5172827bec24d6a2d261,699,new_full_chain_esm2
14,MAS1,f104c7b186d2a003cfbf9dcad6dcb9e8d9383f5d711634ddd85886324e44bd7a,325,new_full_chain_esm2
15,MC2R,50fc802bf9cb11dd342101fcf587cdba4bab18c52d29e1ebf461a954762200aa,297,new_full_chain_esm2
16,MC3R,d95e69e1dbec47903f88b3851bcdf2b1092472139737f37f919f24932ad54dba,323,new_full_chain_esm2
17,NPY2R,5405ec4c579e685932a3fbc61764f6be9b73e9cb76180d6825433fe3346bc52b,381,new_full_chain_esm2
18,NPY4R,648c2a026f9f9ba1fb1e3fee5a3a6b16722d6dcdee853ef2086e9d3fa9cca465,375,new_full_chain_esm2
19,PTH1R,db20616a415dae80fe8a0a66e0a519dbd38fe6443f1fdd61d804d03d78354f04,593,new_full_chain_esm2
20,RXFP1,d3060ee7b5361dbee05d79c89e76d2d066bb7b2b4373489589506f267e5706b8,757,new_full_chain_esm2
21,RXFP2,70b58630ee42fec483ddebf0f49db21ae93b1f5e8380f97f005eae3020ec6be7,754,new_full_chain_esm2
22,SCTR,d698fd7b3035a41f45b064bac13ae8a51209175e16110e6e9111ef37b5a3e054,440,new_full_chain_esm2
