target_chembl_id,gene_symbol,uniprot_accession,target_name,assay_lane,computed_pocket_evidence,pocket_consensus_class,active_target_branch,active_manifest_pocket_evidence_source,first_exclusion_reason,target_class_zh,experimental_pocket_evidence_category,experimental_pocket_evidence_zh,representative_pdb_id,representative_chain_id,representative_ligand_id,positive_compounds,negative_compounds,target_calibration_tier,mechanistic_branch,mechanistic_branch_zh,mechanistic_subclass,pocket_evidence_tier,pair_pocket_evidence_source,drugclip_formal_eligible,unified_target_route,unified_target_route_zh,qualified_physical_models,allowed_pair_scope_zh,current_target_qualification_strength,current_target_state,target_evidence_layer,modality_compute_branch,target_next_compute_action_zh,gnina_target_qualification,boltz_target_qualification,target_route_family,predicted_pocket_qualification,discovery_authorization,target_gate_pass_for_discovery,remote_qualified_physical_models,formal_computational_triage_pair_count,diagnostic_rescue_pair_count,boltz_pairs_completed,boltz_md_authorized_pairs,primary_gate_strong,primary_gate_pass,incremental_pairs,gnina_increment_pairs,boltz_increment_pairs,gnina_primary_supported_pairs,boltz_primary_supported_pairs,boltz_multiseed_stable_pairs,gnina_state_stable_pairs,gnina_primary_downgraded_pairs,incremental_compute_status
CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,NUCLEAR_EPIGENETIC_DOMAIN,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET,核内/表观遗传蛋白,,,,,,3,70,T5_SPARSE_OR_NONE,B12_TRANSCRIPTION_FACTOR_PPI,转录因子/蛋白互作,STRESS_RESPONSE_TRANSCRIPTION_FACTOR,P2_FPOCKET_GEOMETRIC_RESCUE,COMPUTATIONAL_POCKET_PREDICTION,True,S5_GEOMETRIC_RESCUE_WITHOUT_12X12_CONTROLS,S5_GEOMETRIC_RESCUE_WITHOUT_12X12_CONTROLS,NONE,NO_DISCOVERY_RANKING_YET,NOT_EVALUABLE_MINIMUM_12X12_NOT_MET,S5_GEOMETRIC_RESCUE_WITHOUT_12X12_CONTROLS,PREDICTED_POCKET_RECOVERY_BRANCH,CLASS_SPECIFIC_PREDICTED_POCKET_PROTOCOL,补足12阳性+12阴性并在至少两个构象复现fpocket位点,NOT_EVALUABLE_MINIMUM_12X12_NOT_MET,NOT_FORMALLY_QUALIFIED,PREDICTED_POCKET_RECOVERY,,NO_FORMAL_DISCOVERY_UNTIL_CONTROLS_AND_REPLICATION,False,NONE,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,NO_INCREMENT_REQUIRED
CHEMBL1075126,PKLR,P30613,Pyruvate kinase PKLR,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED,酶（非激酶）,DRUG_MAPPED_HIGH_QUALITY_EXPERIMENTAL,药物映射的高质量实验口袋,8xfd,A,WV2,15,10,T3_MINIMUM_POSITIVE_NEGATIVE,ENZYME_BIOCHEMICAL,酶（非激酶）,LEGACY_MAINLINE_CLASSIFICATION,DRUG_MAPPED_HIGH_QUALITY_EXPERIMENTAL,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,True,E6_NO_ADEQUATE_HISTORICAL_CONTROL,E6 历史实测对照不足,NONE,先补实测正负对照；仅允许限额探索,NOT_QUALIFIED_OR_NOT_EVALUABLE,UNCHANGED,T6_CONTROL_ACQUISITION,M1_STANDARD_HOLO_POCKET,从ChEMBL/文献补充实测阳性与inactive/低活性；未知或未测不得作阴性,NOT_EVALUABLE,BOLTZ_NOT_EVALUABLE,EXPERIMENTAL_POCKET_MAINLINE,NOT_APPLICABLE_EXPERIMENTAL_POCKET,AS_DEFINED_BY_E1_TO_E6_ROUTE,False,NONE,,,,,,,0,0,0,0,0,0,0,0,NO_INCREMENT_REQUIRED
CHEMBL1075319,TRPM8,Q7Z2W7,Transient receptor potential cation channel subfamily M member 8,ION_CHANNEL_FUNCTIONAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED,离子通道,SPECIALIZED_CURATED_EXPERIMENTAL,专业口袋库确认的实验位点,8bdc,B,Y01,244,76,T1_RICH_POSITIVE_NEGATIVE,ION_CHANNEL_FUNCTIONAL,离子通道,LEGACY_MAINLINE_CLASSIFICATION,SPECIALIZED_CURATED_EXPERIMENTAL,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,True,E5_NO_MODEL_QUALIFICATION,E5 当前模型未取得资格,NONE,停止同协议扩筛；先诊断历史对照与结构状态,NOT_QUALIFIED_OR_NOT_EVALUABLE,UNCHANGED,T5_MODEL_QUALIFICATION_REPAIR,M2_MEMBRANE_STATE_SPECIALIZED,按物化偏差、受体状态或无局部效应分支诊断；未重获资格前不晋级pair,GATE_A_FAIL,BOLTZ_GATE_A_FAIL,EXPERIMENTAL_POCKET_MAINLINE,NOT_APPLICABLE_EXPERIMENTAL_POCKET,AS_DEFINED_BY_E1_TO_E6_ROUTE,False,NONE,,,,,,,0,0,0,0,0,0,0,0,NO_INCREMENT_REQUIRED
CHEMBL1163124,MAP3K13,O43283,Mitogen-activated protein kinase kinase kinase 13,KINASE_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET,激酶,,,,,,30,102,T2_ADEQUATE_POSITIVE_NEGATIVE,B01_PROTEIN_KINASE,蛋白激酶,LZK_FAMILY_PROTEIN_KINASE,P1_P2RANK_FPOCKET_SAME_SITE,COMPUTATIONAL_POCKET_PREDICTION,True,S3_MARGINAL_POCKET_CONTROL_SEPARATION,S3_MARGINAL_POCKET_CONTROL_SEPARATION,NONE,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE,MARGINAL_NOT_QUALIFIED,S3_MARGINAL_POCKET_CONTROL_SEPARATION,PREDICTED_POCKET_RECOVERY_BRANCH,CLASS_SPECIFIC_PREDICTED_POCKET_PROTOCOL,增加构象/替代口袋并重复独立对照；通过预设统计门槛后再选候选,MARGINAL_NOT_QUALIFIED,NOT_FORMALLY_QUALIFIED,PREDICTED_POCKET_RECOVERY,MARGINAL_NOT_QUALIFIED,NO_DISCOVERY_PROMOTION,False,NONE,0.0,0.0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,NO_INCREMENT_REQUIRED
CHEMBL1169596,ARAF,P10398,Serine/threonine-protein kinase A-Raf,KINASE_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED,激酶,SPECIALIZED_CURATED_EXPERIMENTAL,专业口袋库确认的实验位点,2mse,D,17F,26,234,T2_ADEQUATE_POSITIVE_NEGATIVE,KINASE_BIOCHEMICAL,激酶,LEGACY_MAINLINE_CLASSIFICATION,SPECIALIZED_CURATED_EXPERIMENTAL,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,True,E4_RECEPTOR_PROTOCOL_REPAIR,E4 受体协议修复,NONE,修复结构、链、状态和redocking前不得晋级pair,NOT_QUALIFIED_OR_NOT_EVALUABLE,NO_SAME_POCKET_ALTERNATE_STRUCTURE,T4_PROTOCOL_RECOVERY,M1_STANDARD_HOLO_POCKET,人工核查construct、口袋、辅因子和蛋白状态；当前协议不再筛pair,NOT_EVALUABLE,BOLTZ_GATE_A_FAIL,EXPERIMENTAL_POCKET_MAINLINE,NOT_APPLICABLE_EXPERIMENTAL_POCKET,AS_DEFINED_BY_E1_TO_E6_ROUTE,False,NONE,,,,,,,0,0,0,0,0,0,0,0,NO_INCREMENT_REQUIRED
CHEMBL1250375,NOX4,Q9NPH5,NADPH oxidase 4,ENZYME_BIOCHEMICAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET,非激酶酶,,,,,,58,22,T2_ADEQUATE_POSITIVE_NEGATIVE,B04_MEMBRANE_NADPH_OXIDASE,膜NADPH氧化酶,CONSTITUTIVE_NOX_MEMBRANE_OXIDASE,P1_P2RANK_FPOCKET_SAME_SITE,COMPUTATIONAL_POCKET_PREDICTION,True,S4_POCKET_FAILED_RETROSPECTIVE_CONTROLS,S4_POCKET_FAILED_RETROSPECTIVE_CONTROLS,NONE,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE,FAILED_CONTROL_SEPARATION,S4_POCKET_FAILED_RETROSPECTIVE_CONTROLS,PREDICTED_POCKET_RECOVERY_BRANCH,CLASS_SPECIFIC_PREDICTED_POCKET_PROTOCOL,回到构象、辅因子、膜环境或口袋选择；当前位点不得用于候选排名,FAILED_CONTROL_SEPARATION,NOT_FORMALLY_QUALIFIED,PREDICTED_POCKET_RECOVERY,FAILED_CONTROL_SEPARATION,NO_DISCOVERY_PROMOTION,False,NONE,0.0,0.0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,NO_INCREMENT_REQUIRED
CHEMBL1250417,HCN4,Q9Y3Q4,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,ION_CHANNEL_FUNCTIONAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED,离子通道,SPECIALIZED_CURATED_EXPERIMENTAL,专业口袋库确认的实验位点,3u11,A,CMP,7,12,T5_SPARSE_OR_NONE,ION_CHANNEL_FUNCTIONAL,离子通道,LEGACY_MAINLINE_CLASSIFICATION,SPECIALIZED_CURATED_EXPERIMENTAL,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,True,E6_NO_ADEQUATE_HISTORICAL_CONTROL,E6 历史实测对照不足,NONE,先补实测正负对照；仅允许限额探索,NOT_QUALIFIED_OR_NOT_EVALUABLE,UNCHANGED,T6_CONTROL_ACQUISITION,M2_MEMBRANE_STATE_SPECIALIZED,从ChEMBL/文献补充实测阳性与inactive/低活性；未知或未测不得作阴性,NOT_EVALUABLE,BOLTZ_NOT_EVALUABLE,EXPERIMENTAL_POCKET_MAINLINE,NOT_APPLICABLE_EXPERIMENTAL_POCKET,AS_DEFINED_BY_E1_TO_E6_ROUTE,False,NONE,,,,,,,0,0,0,0,0,0,0,0,NO_INCREMENT_REQUIRED
CHEMBL1255163,PORCN,Q9H237,Protein-serine O-palmitoleoyltransferase porcupine,ENZYME_BIOCHEMICAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED,酶（非激酶）,SPECIALIZED_CURATED_EXPERIMENTAL,专业口袋库确认的实验位点,7urc,A,CLR,58,4,T4_POSITIVE_ONLY,ENZYME_BIOCHEMICAL,酶（非激酶）,LEGACY_MAINLINE_CLASSIFICATION,SPECIALIZED_CURATED_EXPERIMENTAL,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,True,E6_NO_ADEQUATE_HISTORICAL_CONTROL,E6 历史实测对照不足,NONE,先补实测正负对照；仅允许限额探索,NOT_QUALIFIED_OR_NOT_EVALUABLE,UNCHANGED,T6_CONTROL_ACQUISITION,M1_STANDARD_HOLO_POCKET,从ChEMBL/文献补充实测阳性与inactive/低活性；未知或未测不得作阴性,NOT_EVALUABLE,BOLTZ_NOT_EVALUABLE,EXPERIMENTAL_POCKET_MAINLINE,NOT_APPLICABLE_EXPERIMENTAL_POCKET,AS_DEFINED_BY_E1_TO_E6_ROUTE,False,NONE,,,,,,,0,0,0,0,0,0,0,0,NO_INCREMENT_REQUIRED
CHEMBL1287628,NOX1,Q9Y5S8,NADPH oxidase 1,TRANSPORTER_MEMBRANE_FUNCTIONAL,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,RECOVERED_NO_EXPERIMENTAL_POCKET_46,COMPUTATIONAL_POCKET_PREDICTION,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET,转运体,,,,,,78,19,T3_MINIMUM_POSITIVE_NEGATIVE,B04_MEMBRANE_NADPH_OXIDASE,膜NADPH氧化酶,REGULATED_NOX_MEMBRANE_OXIDASE,P1_P2RANK_FPOCKET_SAME_SITE,COMPUTATIONAL_POCKET_PREDICTION,True,S2_POCKET_STRONG_NO_SUPPORTED_CANDIDATE,S2_POCKET_STRONG_NO_SUPPORTED_CANDIDATE,GNINA_PREDICTED_POCKET_STRONG,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE,QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION,S2_POCKET_STRONG_NO_SUPPORTED_CANDIDATE,PREDICTED_POCKET_RECOVERY_BRANCH,CLASS_SPECIFIC_PREDICTED_POCKET_PROTOCOL,用历史正负对照验证预测位点；treprostinil不获候选资格,QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION,NOT_FORMALLY_QUALIFIED,PREDICTED_POCKET_RECOVERY,QUALIFIED_STRONG_RETROSPECTIVE_CONTROL_SEPARATION,SITE_VALIDATION_ONLY_NO_CANDIDATE_PROMOTION,True,GNINA_PREDICTED_POCKET_STRONG,0.0,0.0,0.0,0.0,True,True,0,0,0,0,0,0,0,0,NO_INCREMENT_REQUIRED
CHEMBL1628478,CLCN2,P51788,Chloride channel protein 2,ION_CHANNEL_FUNCTIONAL,,,STRICT_EXPERIMENTAL_POCKET_MAINLINE_338,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,INCLUDED,离子通道,SPECIALIZED_CURATED_EXPERIMENTAL,专业口袋库确认的实验位点,8gqu,A,GH6,0,0,T5_SPARSE_OR_NONE,ION_CHANNEL_FUNCTIONAL,离子通道,LEGACY_MAINLINE_CLASSIFICATION,SPECIALIZED_CURATED_EXPERIMENTAL,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,True,E6_NO_ADEQUATE_HISTORICAL_CONTROL,E6 历史实测对照不足,NONE,先补实测正负对照；仅允许限额探索,NOT_QUALIFIED_OR_NOT_EVALUABLE,UNCHANGED,T6_CONTROL_ACQUISITION,M2_MEMBRANE_STATE_SPECIALIZED,从ChEMBL/文献补充实测阳性与inactive/低活性；未知或未测不得作阴性,NOT_EVALUABLE,BOLTZ_NOT_EVALUABLE,EXPERIMENTAL_POCKET_MAINLINE,NOT_APPLICABLE_EXPERIMENTAL_POCKET,AS_DEFINED_BY_E1_TO_E6_ROUTE,False,NONE,,,,,,,0,0,0,0,0,0,0,0,NO_INCREMENT_REQUIRED
