target_feature_index,sequence_sha256,length,selected_actual_residues,pocket_union_residues,selected_pocket_residues,full_mean_coverage
0,850aba8ba2a5e1681e7e3dbc08958a52248c816c95be57b749d282e591253998,605,96,0,0,605
1,4e4075bd902760c9a35050c66dbe273ad1a4cf0dcf8ac68d3858465b0f757cf7,574,96,69,69,574
2,b752efca239d6c441dadf5c0a7bb5e4a9500b78108fb7bafa7604d2ee58898cc,1104,96,71,71,1104
3,4b73868ce025017dbd7dc7c6e3d898657ae4faf8dd559c654aec1cb4c86901db,966,96,41,41,966
4,39ad43cf31421ee66dcea16ed6c270c50e9b75b9984e56a6806f208b39ce4fe8,606,96,58,58,606
5,45ea878aa8f308e6bac27bbe1c4e2dfa0945622116e9bc1f92526df3e6a9bc72,578,96,129,96,578
6,9c3188b073b9e98d1564288ad72c38251639f58ffa45500df86cfcc08355c99f,1203,96,46,46,1203
7,b2c990ba31b043f2e3029746535efd35e18656597c027a86068758bb928430d4,461,96,85,85,461
8,87dbdcd6bb922f6c07c087bedb6707d8d54078cc3912c82ea227236f19974349,564,96,95,95,564
9,7756423b3cb4a3ce6ad2f3dba705c7a6aa3804e8306021e09b6040c2b2f4a110,898,96,64,64,898
10,f4530393413bef6fed4161594ee08a4d063a4dcbc1b9ce61a747fd299e1ee5de,563,96,63,63,563
11,2d18ac9566390f8e8a70ccbb95841c3aa5c4e4c5fd088d59fd7e1ac28d693c44,542,96,69,69,542
12,dbd82d02d7916602a7d14fb2d0202917b489aaff347393d7bc526bb025176d83,1970,96,61,61,1970
13,bc397cc8eb78693a226a23c89a09eb3c0054deef0ef8c9cae74b11a491fad1df,870,96,51,51,870
14,3e723e9b939c852d117a2a4862213f89c492ff4b6056a25176e677a8fd066a27,491,96,39,39,491
15,fa554cc87a32d58ec860310b47bd8ba0682f5a1f4dee892685283f4289b12e2e,765,96,0,0,765
16,6162b17907607d9b41ec56d5672c104c2596dc26c9f5638e327985ddd21a0499,1189,96,67,67,1189
17,265d3e283924e8ac4ea8bc436c687772d97f9703fd677b466a605ac7f1a560d7,419,96,40,40,419
18,8dfa317b0c2b7bd7a20857e127c506e04e100a0b3cd0045d906de2ee961ac21f,277,96,51,51,277
19,426a120e9105502534446b6b2f93d80918127f6d0a708f46a005683d0db7c88e,637,96,47,47,637
20,082ef6cfa8a9d5c17782cc036623a4c0ece915fc6a420e54678ff55dab70b98e,810,96,30,30,810
21,761da99e636939921184b716e7ba5e440765a070c13385f413f8172c5649afbc,1531,96,75,75,1531
22,9b90c234c007ae25d011f573a0deccfd96ca908b193a043413120f802384f402,1306,96,164,96,1306
