target_chembl_id,gene_symbol,uniprot_accession,target_class_zh,assay_lane,target_calibration_tier,positive_compounds,negative_compounds,panel_quota_per_class,positive_pool,primary_negative_pool,all_negative_pool,panel_quality,selected_positive,selected_negative,development_rows,locked_evaluation_rows,gnina_gate_b_remote_positive_rows,gnina_gate_a_formally_evaluable,gnina_gate_a_auroc_primary_cnn_affinity,gnina_gate_a_average_precision_primary_cnn_affinity,gnina_gate_a_bedroc_alpha20_primary_cnn_affinity,gnina_gate_a_ef_5pct,gnina_gate_a_bootstrap_auroc_ci_low,gnina_gate_a_bootstrap_auroc_ci_high,gnina_gate_a_permutation_bh_q,gnina_gate_a_primary_gate_pass,gnina_gate_a_primary_gate_strong,gnina_gate_b_formally_evaluable,gnina_gate_b_auroc_primary_cnn_affinity,gnina_gate_b_average_precision_primary_cnn_affinity,gnina_gate_b_bedroc_alpha20_primary_cnn_affinity,gnina_gate_b_ef_5pct,gnina_gate_b_bootstrap_auroc_ci_low,gnina_gate_b_bootstrap_auroc_ci_high,gnina_gate_b_permutation_bh_q,gnina_gate_b_primary_gate_pass,gnina_gate_b_primary_gate_strong,gnina_target_qualification,gnina_use_policy,gate_a_scope,gate_a_rows,gate_a_positive,gate_a_negative,gate_a_formally_evaluable,gate_a_auroc_affinity_probability_binary,gate_a_average_precision_affinity_probability_binary,gate_a_auroc_secondary_ligand_iptm,gate_a_average_precision_secondary_ligand_iptm,gate_a_bedroc_alpha20_affinity_probability_binary,gate_a_bootstrap_auroc_ci_low,gate_a_bootstrap_auroc_ci_high,gate_a_permutation_p_one_sided,gate_a_ef_5pct,gate_a_permutation_bh_q,gate_a_primary_gate_pass_raw,gate_a_gate_a_dependency_pass,gate_a_primary_gate_pass,gate_a_primary_gate_strong,gate_b_scope,gate_b_rows,gate_b_positive,gate_b_negative,gate_b_formally_evaluable,gate_b_auroc_affinity_probability_binary,gate_b_average_precision_affinity_probability_binary,gate_b_auroc_secondary_ligand_iptm,gate_b_average_precision_secondary_ligand_iptm,gate_b_bedroc_alpha20_affinity_probability_binary,gate_b_bootstrap_auroc_ci_low,gate_b_bootstrap_auroc_ci_high,gate_b_permutation_p_one_sided,gate_b_ef_5pct,gate_b_permutation_bh_q,gate_b_primary_gate_pass_raw,gate_b_gate_a_dependency_pass,gate_b_primary_gate_pass,gate_b_primary_gate_strong,development_positive_n,development_negative_n,development_positive_q25,development_positive_median,development_negative_q90,development_negative_q95,development_negative_q99,boltz_target_qualification,boltz_use_policy,final_audit_status,redock_status_final,redock_best_symmetry_rmsd_A_final,pdb_id,target_chain_id,alternate_structure_used,docking_context_included,usable_experimental_pocket_instances,usable_experimental_pdbs,alternate_experimental_pdb_count,target_route,target_route_zh,qualified_models,allowed_scope_zh,next_compute_action_zh,target_route_priority,01_STRICT_AB_DISCOVERY_CORE,02_STRICT_C_DISCOVERY_RESERVE,03_LOCAL_ANALOG_BASELINE,04_RECEPTOR_PROTOCOL_REVIEW_AB,05_RECEPTOR_PROTOCOL_REVIEW_C,06_IN_DOMAIN_BELOW_BACKGROUND,07_OUT_OF_DOMAIN_EXPLORATORY,08_KNOWN_CONTROL_CALIBRATION_ONLY,09_TECHNICAL_INCOMPLETE,strict_boltz_abc_pairs,receptor_review_abc_pairs,strict_gnina_abc_pairs,P1_DUAL_STRUCTURE_SUPPORT,P2_BOLTZ_SUPPORT_GNINA_DISAGREES,P3_GNINA_SUPPORT_BOLTZ_DISAGREES,P4_BOLTZ_ONLY_APPLICABLE,P5_GNINA_ONLY_APPLICABLE,physical_union_pairs,urgent_receptor_repair,task_code,minimum_goal
CHEMBL1910,ADA,P00813,酶（非激酶）,ENZYME_BIOCHEMICAL,T4_POSITIVE_ONLY,196,3,0,195.0,0.0,3.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,0.5864,3iar,A,,True,5,2,1,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL4116,ADH5,P11766,酶（非激酶）,ENZYME_BIOCHEMICAL,T4_POSITIVE_ONLY,69,6,0,68.0,4.0,6.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,1.4504,3qj5,A,,True,78,10,9,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL1911,ALDH5A1,P51649,酶（非激酶）,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,1,4,0,1.0,3.0,4.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,1.486,2w8q,A,,False,11,5,4,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL2118,AOC1,P19801,酶（非激酶）,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,2,0,0,1.0,0.0,0.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,1.6498,3hii,A,,False,38,5,4,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL3901,ATP2A2,P16615,酶（非激酶）,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,6,3,0,6.0,1.0,3.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,1.7445,6lle,A,,True,38,15,14,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL4502,CDA,P32320,酶（非激酶）,ENZYME_BIOCHEMICAL,T4_POSITIVE_ONLY,11,4,0,10.0,6.0,6.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,0.1911,1mq0,B,,True,4,1,0,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL4051,CFTR,P13569,离子通道,ION_CHANNEL_FUNCTIONAL,T3_MINIMUM_POSITIVE_NEGATIVE,18,356,8,12.0,31.0,109.0,PRIMARY_QUANTITATIVE,8.0,8.0,8.0,8.0,0.0,False,0.8125,0.8041666666666667,0.9246877834683256,2.0,0.3333333333333333,1.0,0.2230285650187035,False,False,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,8.0,4.0,4.0,False,0.75,0.6791666666666667,0.5,0.7321428571428572,0.0820433234552586,0.1999999999999999,1.0,0.175912043978011,0.0,0.2818480262631115,False,False,False,False,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.6051692217588425,0.6177185475826263,0.6854204535484314,0.6942458152770996,0.7013061046600342,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,0.966,7svd,A,,False,146,45,44,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL1628478,CLCN2,P51788,离子通道,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,0.8091,8ta2,B,,False,10,4,3,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL2362990,CPS1,P31327,酶（非激酶）,ENZYME_BIOCHEMICAL,T4_POSITIVE_ONLY,8,7,8,8.0,11.0,11.0,PRIMARY_QUANTITATIVE,8.0,8.0,8.0,8.0,0.0,False,0.5625,0.6916666666666667,0.924180075978056,2.0,0.0,1.0,0.5751102304791567,False,False,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,8.0,4.0,4.0,False,0.3125,0.4821428571428571,1.0,1.0,0.0758165260113987,0.0,0.8,0.8295852073963018,0.0,0.9361078215755936,False,False,False,False,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.4761980473995209,0.4933671653270721,0.5227053344249726,0.5255866438150406,0.527891691327095,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,0.8544,5dou,A,,True,38,7,6,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
CHEMBL2033,CYP11A1,P05108,酶（非激酶）,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS,PASS,0.6416,3na1,B,,True,16,4,3,E6_NO_ADEQUATE_HISTORICAL_CONTROL,历史对照不足,NONE,先补实测正负对照；仅允许限额探索,从ChEMBL/BindingDB/PubChem补正负对照；未补齐前不作概率化排序,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_CONTROL_ACQUISITION,8 measured positives + 8 measured low-activity/inactive controls
