sequence_key,primary_gene,representative_protein_id,pdb_path,expected_representative_protein_id,expected_sequence_length,expected_sequence_sha256,template_sequence_length,template_sequence_sha256,receptor_pdb_sha256,pocket_definition_sha256,pocket_definition_status,sequence_match_status
SEQ000002,ABAT,P80404,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P80404-F1-model_v6.pdb,A8K386,500,54b8ff6cb53707afb9a9b02349f5a054c83ecbaa7c35613a520a7ffa5f12a384,500,54b8ff6cb53707afb9a9b02349f5a054c83ecbaa7c35613a520a7ffa5f12a384,90398989520fa83350775cc37c9442919842d2ea7a0a354e6c083584bdcf5e16,3d1791484b48751760da8513feddf207b339f9302b4cb61c48a0ec78adcadcda,present,exact_match
SEQ000003,ABCA1,O95477,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O95477-F1-model_v6.pdb,Q5VX33,2261,3136cc5cb28231272477a2bcc16add022b5fc6d26aa161cedaa8d3271e785d34,2261,3136cc5cb28231272477a2bcc16add022b5fc6d26aa161cedaa8d3271e785d34,8dd5321fd232a5cba9d8da938d5497943de0dd497c5e67f28f7aeae7066deea0,2009d4c644e9b4db3bfe27a8db583a158d269b5313c0fe532e813b0bbc352c1d,present,exact_match
SEQ000004,ABL1,P00519,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00519-F1-model_v6.pdb,A3KFJ3,1130,bf5ccc817349256c1c2f16dd66d61bfcd29ac4897fdead01d85e01cd84e33670,1130,bf5ccc817349256c1c2f16dd66d61bfcd29ac4897fdead01d85e01cd84e33670,5584d2df9817f991ca9355670fc817e97c0b8f7e043cfb3f85302e3796d62c1b,2f51c778d354561426b4ee6fb61f3e23a10039ce7e8fa1e7fb07e814a790d7a2,present,exact_match
SEQ000005,ACE,P12821-2,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P12821-2-F1-model_v6.pdb,B0LPF0,1306,9b90c234c007ae25d011f573a0deccfd96ca908b193a043413120f802384f402,1145,cd5a8cabf4deba62e55877019285fc3d0a0eaa2352d4874a94205607f652d5b1,5aa3e2697098ad0a1b48962e3e900149c017a7bd793eb823720028663ce19711,99cbaabf4e7ff4e856c1d96c0b58a4746a5c597c837f223a1f3cc6a3b1538745,present,sequence_mismatch
SEQ000006,ACHE,P22303,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P22303-F1-model_v6.pdb,A4D2E2,614,b5e7ca71ef5af9ce9e3ffc10eebc77b2bb95d592400670484ee596f06be68e78,614,b5e7ca71ef5af9ce9e3ffc10eebc77b2bb95d592400670484ee596f06be68e78,0a071dc9d502473e2a1140997414fae4766da9a82bbf527e5c4c74259cb168c3,6277c8e1fd85f3988b82674a7e0553ed9a402284e16c297d1317bb6d72423952,present,exact_match
SEQ000007,ACLY,P53396,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P53396-F1-model_v6.pdb,B4DIM0,1101,5c8f6c84561e4836ba257bc1182486257393c8dc7073d72f08afd8e522ee95c4,1101,5c8f6c84561e4836ba257bc1182486257393c8dc7073d72f08afd8e522ee95c4,a6a2937faa85447ab0a5c8766597d77cae9349acf1e461cf496e3801bb2845d4,e08bc491077ee473e87b1552f721ee369b72b11d783214a718c160e675c85d8b,present,exact_match
SEQ000008,ACVR1,Q04771,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q04771-F1-model_v6.pdb,Q04771,509,7c2a7bcf3a9e687a4734d149429648beaeb58a4936962328b18c1fd4d5c90203,509,7c2a7bcf3a9e687a4734d149429648beaeb58a4936962328b18c1fd4d5c90203,62d4fb9fa7513edd137f30cfc94b7245282d14e9021e99184744ee552e23449a,1789b20025a2c6296b0f5ed4bbf6fe5ecd1d1bc82e4f45b8aa60949abb4a73ec,present,exact_match
SEQ000009,ACVR2A,P27037,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P27037-F1-model_v6.pdb,B2RAB8,513,6283e1d55ac251bbad7cb4d2689de41e6d1bf065cce5a2ce68edbcb3fb85c985,513,6283e1d55ac251bbad7cb4d2689de41e6d1bf065cce5a2ce68edbcb3fb85c985,f3d685f4704e5a33249fe1a25ce6fa202f4a91bf3059a9e7684588bd72989d33,5da1753e4413e3c65ef5f5c12077b529f3dbffc61e0c67bc2956e5983278033b,present,exact_match
SEQ000010,ACVR2B,Q13705,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q13705-F1-model_v6.pdb,Q4VAV0,512,3f5bc742b8501d981e4ee44d17484d634855cddebe1472ea78eeb13cc38b1649,512,3f5bc742b8501d981e4ee44d17484d634855cddebe1472ea78eeb13cc38b1649,a42448cd4475c1848609ef76ce3e82160403c85c45178f3571d0affceb07a841,cae690569adb7231dff8920903a1d4055ae4fc6eb5b2207c18efab3c93a7d0b2,present,exact_match
SEQ000011,ADA,P00813,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00813-F1-model_v6.pdb,Q53F92,363,f4124bbcd051f8182a69fa8eb7767b80cfc460fdd1a01eb6e8567315f1bc4b97,363,f4124bbcd051f8182a69fa8eb7767b80cfc460fdd1a01eb6e8567315f1bc4b97,ea03d84fd402b9678aca138062a95e611e8fc7e52bb28faf106fecda06261984,303fb171299efd3c894c2e88f2749fd61a26f2afb66680ba70f0635cff864708,present,exact_match
SEQ000012,ADAMTS13,Q76LX8-4,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q76LX8-4-F1-model_v6.pdb,Q6UY16,1427,20d8937a8f2450b612ad8a1c68c7ea02159f8d228ec3804a4e0c0cfc867e8563,364,cec319cf81296ae67aa5cd45c662c07b6a4b8179a902b3b35e99f425c0cfea8d,328d53fca7e5bbb28c1f7246cd6eece4696458bf3693f149f03b0eed06aa1d28,5b7e7f120186783123b3f82908871b30cde252624e5fd8f9346d2ab0ff3e7234,present,sequence_mismatch
