sequence_key,primary_gene,representative_protein_id,target_assay_family,structure_bin,pdb_path,scope_source,inclusion_reason
SEQ000002,ABAT,P80404,enzyme,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P80404-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000003,ABCA1,O95477,transporter,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O95477-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000004,ABL1,P00519,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00519-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000005,ACE,P12821-2,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P12821-2-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000006,ACHE,P22303,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P22303-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000007,ACLY,P53396,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P53396-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000008,ACVR1,Q04771,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q04771-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000009,ACVR2A,P27037,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P27037-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000010,ACVR2B,Q13705,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q13705-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000011,ADA,P00813,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00813-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000012,ADAMTS13,Q76LX8-4,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q76LX8-4-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000020,AHR,P35869,nuclear_epigenetic,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P35869-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000021,AKR1B1,P15121,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P15121-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
