target_chembl_id,gene_symbol,uniprot_accession,target_class_zh,assay_lane,target_calibration_tier,positive_compounds,negative_compounds,panel_quota_per_class,positive_pool,primary_negative_pool,all_negative_pool,panel_quality,selected_positive,selected_negative,development_rows,locked_evaluation_rows,gnina_gate_b_remote_positive_rows,gnina_gate_a_formally_evaluable,gnina_gate_a_auroc_primary_cnn_affinity,gnina_gate_a_average_precision_primary_cnn_affinity,gnina_gate_a_bedroc_alpha20_primary_cnn_affinity,gnina_gate_a_ef_5pct,gnina_gate_a_bootstrap_auroc_ci_low,gnina_gate_a_bootstrap_auroc_ci_high,gnina_gate_a_permutation_bh_q,gnina_gate_a_primary_gate_pass,gnina_gate_a_primary_gate_strong,gnina_gate_b_formally_evaluable,gnina_gate_b_auroc_primary_cnn_affinity,gnina_gate_b_average_precision_primary_cnn_affinity,gnina_gate_b_bedroc_alpha20_primary_cnn_affinity,gnina_gate_b_ef_5pct,gnina_gate_b_bootstrap_auroc_ci_low,gnina_gate_b_bootstrap_auroc_ci_high,gnina_gate_b_permutation_bh_q,gnina_gate_b_primary_gate_pass,gnina_gate_b_primary_gate_strong,gnina_target_qualification,gnina_use_policy,gate_a_scope,gate_a_rows,gate_a_positive,gate_a_negative,gate_a_formally_evaluable,gate_a_auroc_affinity_probability_binary,gate_a_average_precision_affinity_probability_binary,gate_a_auroc_secondary_ligand_iptm,gate_a_average_precision_secondary_ligand_iptm,gate_a_bedroc_alpha20_affinity_probability_binary,gate_a_bootstrap_auroc_ci_low,gate_a_bootstrap_auroc_ci_high,gate_a_permutation_p_one_sided,gate_a_ef_5pct,gate_a_permutation_bh_q,gate_a_primary_gate_pass_raw,gate_a_gate_a_dependency_pass,gate_a_primary_gate_pass,gate_a_primary_gate_strong,gate_b_scope,gate_b_rows,gate_b_positive,gate_b_negative,gate_b_formally_evaluable,gate_b_auroc_affinity_probability_binary,gate_b_average_precision_affinity_probability_binary,gate_b_auroc_secondary_ligand_iptm,gate_b_average_precision_secondary_ligand_iptm,gate_b_bedroc_alpha20_affinity_probability_binary,gate_b_bootstrap_auroc_ci_low,gate_b_bootstrap_auroc_ci_high,gate_b_permutation_p_one_sided,gate_b_ef_5pct,gate_b_permutation_bh_q,gate_b_primary_gate_pass_raw,gate_b_gate_a_dependency_pass,gate_b_primary_gate_pass,gate_b_primary_gate_strong,development_positive_n,development_negative_n,development_positive_q25,development_positive_median,development_negative_q90,development_negative_q95,development_negative_q99,boltz_target_qualification,boltz_use_policy,final_audit_status,redock_status_final,redock_best_symmetry_rmsd_A_final,pdb_id,target_chain_id,alternate_structure_used,docking_context_included,usable_experimental_pocket_instances,usable_experimental_pdbs,alternate_experimental_pdb_count,target_route,target_route_zh,qualified_models,allowed_scope_zh,next_compute_action_zh,target_route_priority,01_STRICT_AB_DISCOVERY_CORE,02_STRICT_C_DISCOVERY_RESERVE,03_LOCAL_ANALOG_BASELINE,04_RECEPTOR_PROTOCOL_REVIEW_AB,05_RECEPTOR_PROTOCOL_REVIEW_C,06_IN_DOMAIN_BELOW_BACKGROUND,07_OUT_OF_DOMAIN_EXPLORATORY,08_KNOWN_CONTROL_CALIBRATION_ONLY,09_TECHNICAL_INCOMPLETE,strict_boltz_abc_pairs,receptor_review_abc_pairs,strict_gnina_abc_pairs,P1_DUAL_STRUCTURE_SUPPORT,P2_BOLTZ_SUPPORT_GNINA_DISAGREES,P3_GNINA_SUPPORT_BOLTZ_DISAGREES,P4_BOLTZ_ONLY_APPLICABLE,P5_GNINA_ONLY_APPLICABLE,physical_union_pairs,urgent_receptor_repair,task_code,repair_priority,completion_rule
CHEMBL1859,CACNA1H,O95180,离子通道,ION_CHANNEL_FUNCTIONAL,T1_RICH_POSITIVE_NEGATIVE,298,63,32,299.0,48.0,79.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,13.0,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,32.0,16.0,16.0,True,0.74609375,0.7062882719132719,0.48828125,0.5183156368799408,0.6765679470880508,0.5499754901960785,0.904861111111111,0.0114942528735632,1.0,0.0294985250737463,True,True,True,True,GATE_B,26.0,13.0,13.0,True,0.7396449704142012,0.701227298342683,0.4142011834319526,0.4693124823894055,0.6965699542192948,0.5272727272727273,0.925056818181818,0.025487256371814,1.0,0.0885682158920539,True,True,True,True,16.0,16.0,0.4532171934843063,0.5900863409042358,0.6604092419147491,0.6827561557292938,0.7095418393611908,BOLTZ_REMOTE_QUALIFIED,MAY_RANK_LOCAL_AND_REMOTE_WITHIN_TARGET,FROZEN_REVIEW_REDOCK_FAILED,FAIL_RMSD_GT_2P5,4.0364,9ayj,A,,False,29,5,4,E4_RECEPTOR_PROTOCOL_REPAIR,受体协议修复,Boltz-2,修复结构、链、状态和redocking前不得晋级pair,选择替代实验holo结构并redocking；通过后重算当前102条A/B/C,4,0,0,0,14,3,127,0,0,0,0,17,0,0,0,0,0,0,0,True,C0_RECEPTOR_PROTOCOL_REPAIR,URGENT,alternate experimental holo protocol redocking RMSD <= 2.5 A or explicit downgrade
CHEMBL6009,DGAT1,O75907,酶（非激酶）,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,793,35,32,874.0,101.0,115.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,10.0,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,32.0,16.0,16.0,True,0.78125,0.7445829884984297,0.546875,0.5566588163193766,0.793653059789073,0.6030749951802583,0.9450980392156862,0.0024987506246876,2.0,0.0082345191040843,True,True,True,True,GATE_B,20.0,10.0,10.0,True,0.88,0.88007215007215,0.6,0.6728166226618238,0.9878749148713248,0.696969696969697,1.0,0.0019990004997501,2.0,0.0138930534732633,True,True,True,True,16.0,16.0,0.5858555734157562,0.6714252531528473,0.7305478155612946,0.7344493269920349,0.7404910922050476,BOLTZ_REMOTE_QUALIFIED,MAY_RANK_LOCAL_AND_REMOTE_WITHIN_TARGET,FROZEN_REVIEW_REDOCK_FAILED,FAIL_RMSD_GT_2P5,4.1732,6vyi,B,,False,10,5,4,E4_RECEPTOR_PROTOCOL_REPAIR,受体协议修复,Boltz-2,修复结构、链、状态和redocking前不得晋级pair,选择替代实验holo结构并redocking；通过后重算当前102条A/B/C,4,0,0,0,53,3,318,0,0,1,0,56,0,0,0,0,0,0,0,True,C0_RECEPTOR_PROTOCOL_REPAIR,URGENT,alternate experimental holo protocol redocking RMSD <= 2.5 A or explicit downgrade
CHEMBL2439,MPO,P05164,酶（非激酶）,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,451,31,32,527.0,44.0,63.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,9.0,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,32.0,16.0,16.0,True,0.77734375,0.7634972949332217,0.6796875,0.6656669025104256,0.8576997797333525,0.5843885281385283,0.9216444911297852,0.0034982508745627,2.0,0.0109085242325074,True,True,True,True,GATE_B,18.0,9.0,9.0,True,0.8148148148148149,0.8317571317571317,0.7037037037037037,0.7737104942987296,0.9757082994617732,0.5625,0.974025974025974,0.0119940029985007,2.0,0.0529259179933842,True,True,True,True,16.0,16.0,0.5890341252088547,0.6687449216842651,0.6855927407741547,0.722457692027092,0.7642225831747055,BOLTZ_REMOTE_QUALIFIED,MAY_RANK_LOCAL_AND_REMOTE_WITHIN_TARGET,FROZEN_REVIEW_REDOCK_FAILED,FAIL_RMSD_GT_2P5,2.8137,3zs0,D,True,True,536,46,45,E4_RECEPTOR_PROTOCOL_REPAIR,受体协议修复,Boltz-2,修复结构、链、状态和redocking前不得晋级pair,选择替代实验holo结构并redocking；通过后重算当前102条A/B/C,4,0,0,0,4,1,94,0,0,0,0,5,0,0,0,0,0,0,0,True,C0_RECEPTOR_PROTOCOL_REPAIR,URGENT,alternate experimental holo protocol redocking RMSD <= 2.5 A or explicit downgrade
CHEMBL3119,TRPV4,Q9HBA0,离子通道,ION_CHANNEL_FUNCTIONAL,T2_ADEQUATE_POSITIVE_NEGATIVE,250,31,16,248.0,30.0,49.0,PRIMARY_QUANTITATIVE,16.0,16.0,16.0,16.0,4.0,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,16.0,8.0,8.0,True,0.96875,0.9704861111111112,0.25,0.4116862304362305,0.999637736694366,0.873015873015873,1.0,0.0004997501249375,2.0,0.0027344818156959,True,True,True,True,GATE_B,8.0,4.0,4.0,True,1.0,1.0,0.25,0.4571428571428572,1.0000000000000002,1.0,1.0,0.0139930034982508,2.0,0.0572066907722609,True,True,True,True,8.0,8.0,0.3486245423555374,0.437436580657959,0.6116214632987976,0.61365647315979,0.615284481048584,BOLTZ_REMOTE_QUALIFIED,MAY_RANK_LOCAL_AND_REMOTE_WITHIN_TARGET,FROZEN_REVIEW_REDOCK_FAILED,FAIL_RMSD_GT_2P5,11.1566,8t1e,D,,False,66,15,14,E4_RECEPTOR_PROTOCOL_REPAIR,受体协议修复,Boltz-2,修复结构、链、状态和redocking前不得晋级pair,选择替代实验holo结构并redocking；通过后重算当前102条A/B/C,4,0,0,0,23,1,84,0,0,0,0,24,0,0,0,0,0,0,0,True,C0_RECEPTOR_PROTOCOL_REPAIR,URGENT,alternate experimental holo protocol redocking RMSD <= 2.5 A or explicit downgrade
CHEMBL2362986,ABCA1,O95477,转运体,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_REVIEW_REDOCK_FAILED,FAIL_RMSD_GT_2P5,2.6096,7tbw,A,,True,11,3,2,E4_RECEPTOR_PROTOCOL_REPAIR,受体协议修复,NONE,修复结构、链、状态和redocking前不得晋级pair,选择替代实验holo结构并redocking；通过后重算当前102条A/B/C,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_RECEPTOR_PROTOCOL_REPAIR,SECONDARY,alternate experimental holo protocol redocking RMSD <= 2.5 A or explicit downgrade
CHEMBL1169596,ARAF,P10398,激酶,KINASE_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,26,234,32,60.0,227.0,232.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,6.0,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,32.0,16.0,16.0,True,0.31640625,0.5146824572077078,0.62109375,0.6700134811373923,0.7908087605545948,0.1207477226720648,0.5312624007936507,0.9685157421289357,2.0,0.999000499750125,False,False,False,False,GATE_B,12.0,6.0,6.0,True,0.3055555555555555,0.5382575757575757,0.3888888888888889,0.6305194805194805,0.8166257194924755,0.0,0.7430357142857141,0.8840579710144928,2.0,0.9703597813496352,False,False,False,False,16.0,16.0,0.3324593603610992,0.3857005387544632,0.591229647397995,0.6749635636806488,0.7700607478618622,BOLTZ_GATE_A_FAIL,DO_NOT_USE_BOLTZ_FOR_DISCOVERY_SELECTION,FROZEN_REVIEW_REDOCK_FAILED,FAIL_RMSD_GT_2P5,14.0116,2mse,D,,False,7,2,1,E4_RECEPTOR_PROTOCOL_REPAIR,受体协议修复,NONE,修复结构、链、状态和redocking前不得晋级pair,选择替代实验holo结构并redocking；通过后重算当前102条A/B/C,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_RECEPTOR_PROTOCOL_REPAIR,SECONDARY,alternate experimental holo protocol redocking RMSD <= 2.5 A or explicit downgrade
CHEMBL4266,CACNA1A,O00555,离子通道,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,0,0.0,1.0,1.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_REVIEW_REDOCK_FAILED,FAIL_RMSD_GT_2P5,3.1518,8x90,A,True,False,7,1,0,E4_RECEPTOR_PROTOCOL_REPAIR,受体协议修复,NONE,修复结构、链、状态和redocking前不得晋级pair,选择替代实验holo结构并redocking；通过后重算当前102条A/B/C,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_RECEPTOR_PROTOCOL_REPAIR,SECONDARY,alternate experimental holo protocol redocking RMSD <= 2.5 A or explicit downgrade
CHEMBL340,CYP3A4,P08684,酶（非激酶）,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,45,195,32,46.0,389.0,393.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,16.0,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,32.0,16.0,16.0,True,0.65625,0.6574041861024253,0.38671875,0.4583189433803189,0.7291203737065236,0.4509803921568627,0.8432046568627449,0.0694652673663168,1.0,0.1283116403581648,False,False,False,False,GATE_B,32.0,16.0,16.0,True,0.65625,0.6574041861024253,0.38671875,0.4583189433803189,0.7291203737065236,0.456313025210084,0.8352941176470587,0.0689655172413793,1.0,0.17880874377626,False,False,False,False,16.0,16.0,0.591336727142334,0.6187314391136169,0.7163268327713013,0.7485722601413727,0.7515051662921906,BOLTZ_GATE_A_FAIL,DO_NOT_USE_BOLTZ_FOR_DISCOVERY_SELECTION,FROZEN_REVIEW_REDOCK_FAILED,FAIL_RMSD_GT_2P5,5.7351,9bbb,A,,True,329,122,121,E4_RECEPTOR_PROTOCOL_REPAIR,受体协议修复,NONE,修复结构、链、状态和redocking前不得晋级pair,选择替代实验holo结构并redocking；通过后重算当前102条A/B/C,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_RECEPTOR_PROTOCOL_REPAIR,SECONDARY,alternate experimental holo protocol redocking RMSD <= 2.5 A or explicit downgrade
CHEMBL1989,DPEP1,P16444,酶（非激酶）,ENZYME_BIOCHEMICAL,T5_SPARSE_OR_NONE,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_PASS_PARTIAL_REFERENCE_REVIEW,PASS,1.0081,1itu,A,True,True,8,2,1,E4_RECEPTOR_PROTOCOL_REPAIR,受体协议修复,NONE,修复结构、链、状态和redocking前不得晋级pair,选择替代实验holo结构并redocking；通过后重算当前102条A/B/C,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_RECEPTOR_PROTOCOL_REPAIR,SECONDARY,alternate experimental holo protocol redocking RMSD <= 2.5 A or explicit downgrade
CHEMBL3026,GABRA3,P34903,离子通道,ION_CHANNEL_FUNCTIONAL,T4_POSITIVE_ONLY,47,1,0,47.0,1.0,1.0,NOT_EVALUABLE_8X8,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_EVALUABLE,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOLTZ_NOT_EVALUABLE,EXPLORATORY_SCORE_ONLY,FROZEN_REVIEW_REDOCK_FAILED,FAIL_RMSD_GT_2P5,11.0253,9ctp,D,,False,3,1,0,E4_RECEPTOR_PROTOCOL_REPAIR,受体协议修复,NONE,修复结构、链、状态和redocking前不得晋级pair,选择替代实验holo结构并redocking；通过后重算当前102条A/B/C,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_RECEPTOR_PROTOCOL_REPAIR,SECONDARY,alternate experimental holo protocol redocking RMSD <= 2.5 A or explicit downgrade
