system_id,cluster,native_contact_ap,native_contact_prevalence,native_residue_only_score_ap,native_atom_permuted_score_ap,native_atom_to_residue_macro_ap,native_residue_to_atom_macro_ap,native_contact_pairs,native_pair_candidates,all_regions_contact_ap,all_regions_contact_prevalence,native_distance_mae_capped32_A,native_region_selected,regions
1ddt__1__1.A_2.A__1.B,c1769,0.15230751573153406,0.07387140902872777,0.11494803238451977,0.10648832464956062,0.23993391749346632,0.24382084868053364,108,1462,0.14821530681195416,0.04830053667262969,10.034141540527344,True,2
1ddt__1__1.A_2.A__2.B,c1769,0.15584449095662142,0.07387140902872777,0.11151241306560723,0.0962387837001393,0.24030867328934097,0.2398239779087712,108,1462,0.14816040987484344,0.04738920579201404,10.074851036071777,True,2
1d09__1__1.A_2.A__1.E,c103,0.20722662253127966,0.16810344827586207,0.2768528749024875,0.2372321708002918,0.3754856790943021,0.383552784908605,78,464,0.20722662253127971,0.10833333333333334,7.106240272521973,True,2
1d09__1__1.C_2.C__2.G,c103,0.2215387164936511,0.18990384615384615,0.3029586365690238,0.25693250086293906,0.380246753260394,0.38688340468277443,79,416,0.21171959334536694,0.1234375,7.373940467834473,True,2
1d09__1__1.C_3.C__1.G,c103,0.23310883341046915,0.18990384615384615,0.30195235583684954,0.23095389384470694,0.38179239584476415,0.381328237005758,79,416,0.2003594549370888,0.10286458333333333,7.4021382331848145,True,2
1d09__1__1.A_3.A__3.E,c103,0.20924144677529527,0.16810344827586207,0.27542597648039674,0.23920265858467998,0.37915737114042364,0.3840998394487151,78,464,0.20920008686132388,0.1015625,7.110724449157715,True,2
2ag6__2__2.A__2.B,c121,0.34360371892261077,0.18461538461538463,0.31894639265962793,0.37574235892254765,0.4638017464991149,0.4376069514531053,48,260,0.3420379688667582,0.11188811188811189,8.478261947631836,True,2
2aix__1__2.A__2.B,c7,0.2990766469434861,0.19047619047619047,0.3165199811167182,0.25814646034043,0.4338421243287729,0.3896471661054994,64,336,0.2953866215849472,0.125,7.641257286071777,True,2
2ag6__1__1.A__1.B,c121,0.3378139391758595,0.18461538461538463,0.32228506787330313,0.3384508592975902,0.45952754847491695,0.42326236085851476,48,260,0.3378139391758595,0.0997920997920998,8.626375198364258,True,2
2aix__1__1.A__1.B,c7,0.3019356887356647,0.19047619047619047,0.3183340199424758,0.2688723739689164,0.4267113014828523,0.37688006746340075,64,336,0.3018818909648804,0.125,7.68648624420166,True,2
2ahv__1__1.D__1.H,c2034,0.04773388653776066,0.049890350877192985,0.05126513411217722,0.05015621142458419,0.12407213423838256,0.1401207144961958,91,1824,0.047088025114875864,0.03510802469135803,5.692273139953613,True,2
2bdm__2__1.A_2.A__2.D,c11013,0.20529788831476484,0.125,0.1832067428926543,0.18476885410329,0.30780066822827173,0.3416299896426176,81,648,0.17830321020573375,0.084375,7.358885765075684,True,2
2c84__1__1.A__1.B,c1327,0.28974126655695087,0.13095238095238096,0.2941888903144314,0.26827204109689584,0.46648898482088075,0.4160986404793558,77,588,0.28917319681669795,0.08333333333333333,9.180679321289062,True,2
2de3__1__1.A__1.D,c4237,0.18058627408388772,0.1527777777777778,0.17007349794725587,0.15974169618709771,0.2341161257076294,0.42874635324215155,66,432,0.1320240871675072,0.10060975609756098,11.716428756713867,True,2
2de3__2__1.B__1.G,c4237,0.15206038844230882,0.140625,0.15614093367653556,0.15791394605034512,0.2280316035186938,0.3655108255423381,63,448,0.08996158526151381,0.0875,11.609461784362793,True,2
2de4__1__1.A__1.D,c4237,0.1697394588717115,0.15476190476190477,0.17246600500584366,0.1683710948030877,0.25472985309386575,0.3738978967655438,65,420,0.1427138298305532,0.09848484848484848,11.84517765045166,True,2
2dcl__1__1.B_1.C__1.F,c4257,0.16086232011916513,0.12443778110944528,0.18404760271483964,0.1770557977524276,0.27461562649915605,0.412007327452849,83,667,0.15659756589704374,0.08592132505175984,9.26728630065918,True,2
2dcl__1__2.B_2.C__2.F,c4257,0.16117427481062802,0.12443778110944528,0.1942825065244515,0.17652033425620353,0.27710636382744264,0.41284904430867825,83,667,0.1605834021723847,0.09496567505720824,9.266260147094727,True,2
3b7d__1__1.A__1.I,c7,0.2683076749454933,0.18575851393188855,0.3068496372908138,0.2893936643526717,0.3816001603804372,0.3335347956348279,60,323,0.2664662471725006,0.12170385395537525,7.209799289703369,True,2
3b7d__2__1.C__1.K,c7,0.2654055425955792,0.18885448916408668,0.3034630148058306,0.25201179052583084,0.3809281993797565,0.3430003899533634,61,323,0.26036114484826234,0.10873440285204991,7.259540557861328,True,2
3b7d__1__1.B__1.J,c7,0.25043788300935216,0.18575851393188855,0.29027491299550123,0.2635668122847235,0.3725487144215518,0.3414891771750141,60,323,0.24619400848541304,0.11764705882352941,7.2876763343811035,True,2
3b7d__2__1.D__1.L,c7,0.2513610402029749,0.18529411764705883,0.28414277585193626,0.2463834153803417,0.3612963415440196,0.35421053762588456,63,340,0.20891197248272458,0.09264705882352942,7.107235908508301,True,2
3b7d__3__1.E__1.M,c7,0.26680462857179216,0.18575851393188855,0.3168263679163334,0.28335229347059054,0.3823217481608485,0.33563830947476714,60,323,0.2576378407758205,0.11764705882352941,7.212049961090088,True,2
3b7d__3__1.F__1.N,c7,0.24754519803280356,0.17941176470588235,0.28740370088936745,0.26462212773167654,0.38032255206768045,0.3479080856686707,61,340,0.23551581357517654,0.09697933227344992,7.114625453948975,True,2
3b7d__4__1.G__1.O,c7,0.26319798407896966,0.18885448916408668,0.30699840045307736,0.27830357936590067,0.3808412225670011,0.36972962430245343,61,323,0.2574440903001756,0.11213235294117647,7.26409912109375,True,2
3b7d__4__1.H__1.P,c7,0.253155094866974,0.1826625386996904,0.2990951208423791,0.26488793543130895,0.38647158893266154,0.33795718449753137,59,323,0.2116301397361434,0.10207612456747404,7.27352237701416,True,2
3bki__1__1.A__1.E,c7,0.2898603250120413,0.20955882352941177,0.3027789918414918,0.2668923981029045,0.4378561270079127,0.4260924855567712,57,272,0.2886373190466871,0.11875,7.585580348968506,True,2
3bki__2__1.B__1.F,c7,0.32477630949059777,0.25390625,0.411368006993007,0.3539631840283532,0.5186202599483849,0.44937819565795745,65,256,0.31825281841198416,0.126953125,7.738101005554199,True,2
3bki__3__1.C__1.G,c7,0.3535978001214186,0.24609375,0.43505691839025173,0.34482881718235925,0.5401880758130758,0.4489866231143704,63,256,0.3517858585084271,0.140625,7.666929244995117,True,2
3bki__4__1.D__1.H,c7,0.3390363406771064,0.24632352941176472,0.4129635005334632,0.32433731751464584,0.5088904021325896,0.4605301774944632,67,272,0.3247359470589463,0.11631944444444445,7.512065410614014,True,2
3bda__1__1.A__1.D,c33,0.16851394247778748,0.13333333333333333,0.22933654410079848,0.15299435161328204,0.3257713549178719,0.4165241179217459,72,540,0.16833570396407704,0.1,6.962395191192627,True,2
3bd8__1__2.A__2.C,c33,0.16580718630035846,0.13450292397660818,0.15931472692848805,0.16808151694686588,0.25748253231388313,0.376835267793261,69,513,0.1436472550315465,0.06983805668016195,7.10435152053833,True,2
3bd7__1__1.A__1.D,c33,0.13836335306460865,0.13148148148148148,0.14390065494179652,0.1414161305098282,0.2360371411005126,0.3323445260433059,71,540,0.13805591566813596,0.08875,6.940627574920654,True,2
3bd7__1__2.A__2.D,c33,0.13777267761035575,0.13148148148148148,0.14414713381503597,0.1326823567516598,0.23960496216833374,0.326960743159523,71,540,0.13729265453651113,0.07888888888888888,6.939802169799805,True,2
3bd8__1__1.A__1.C,c33,0.16564751924996357,0.13450292397660818,0.1582080405815271,0.1585862050405632,0.2527318368057328,0.3533927653500315,69,513,0.16244945314141745,0.08253588516746412,7.070614337921143,True,2
3bz9__1__1.A__1.F,c1599,0.16637848762198987,0.14087301587301587,0.159074295024205,0.15507284824614992,0.28718834726849485,0.26886763515863354,71,504,0.08221559396103781,0.07349896480331262,6.578348636627197,True,2
3bz7__1__1.A__1.E,c1599,0.1621007144864136,0.13818181818181818,0.13682040652696192,0.1448013202002846,0.2598504004374044,0.2844794914524192,76,550,0.16163478228697173,0.08636363636363636,6.448134422302246,True,2
3bz9__2__2.A__2.F,c1599,0.16834640136850415,0.14087301587301587,0.16270720358669105,0.16492500122029377,0.2928708925265414,0.2686178555551388,71,504,0.1602799186973296,0.08669108669108669,6.579197883605957,True,2
3bz7__2__2.A__2.E,c1599,0.165904753204276,0.13818181818181818,0.13682040652696192,0.15687009906407004,0.2617878287446258,0.28267828676023116,76,550,0.14543618281566084,0.0735009671179884,6.439406871795654,True,2
3ctl__1__1.B__1.I_1.J,c1173,0.18717246128508297,0.14439655172413793,0.19696104342810825,0.19358155432839894,0.30093560414968235,0.34729308830499306,67,464,0.187172461285083,0.09517045454545454,6.86134672164917,True,2
3ctl__1__1.C__1.K_1.L,c1173,0.19583461138507058,0.15086206896551724,0.20271739683073162,0.19651565083928282,0.3075708937867476,0.3427820019486686,70,464,0.19583461138507055,0.09943181818181818,6.813552379608154,True,2
3ctl__1__1.A__1.G_1.H,c1173,0.18014816906604694,0.14439655172413793,0.18921216599042429,0.20410816648420838,0.2726754838519965,0.35252279286370186,67,464,0.18014816906604697,0.1046875,6.88484525680542,True,2
3ctl__1__1.D__1.M_1.N,c1173,0.1843253318278696,0.15301724137931033,0.18934448608534296,0.18993666401163595,0.2688910331452964,0.37558153046248277,71,464,0.18432533182786956,0.1056547619047619,6.869548797607422,True,2
3ctl__1__1.F__1.Q_1.R,c1173,0.1837522050166769,0.15,0.19620898310396742,0.20798562365907203,0.29832502375948616,0.33555848912991765,72,480,0.18375220501667694,0.1125,6.744806289672852,True,2
3ctl__1__1.E__1.O_1.P,c1173,0.18616213637497503,0.15086206896551724,0.18778039489840728,0.19089631048102476,0.2854781372765266,0.3458872807087093,70,464,0.18616213637497503,0.10416666666666667,6.823111057281494,True,2
3a20__1__1.A_1.B__1.C,c1089,0.18139016979640768,0.11790878754171301,0.17232223319903675,0.1531925226788448,0.2756249834217202,0.3980195452261799,106,899,0.1764185619533144,0.09241499564080209,8.92630672454834,True,2
3dnt__1__1.A__1.C_1.D_1.E,c2488,0.1862564430656428,0.11143695014662756,0.18704724931668076,0.15536980265178948,0.3611176858332732,0.34467555595218263,114,1023,0.18619404881520668,0.08172043010752689,5.41643762588501,True,2
3a20__1__1.A_1.B__1.D,c1089,0.18274231094594728,0.11981566820276497,0.17118954386591054,0.14909050978376218,0.26283404708273034,0.40798361573423214,104,868,0.17624178313539657,0.09067131647776809,8.979660987854004,True,2
