query,core_gene,core_target,esm2_mean_cosine
LYVE1,FLT3,P36888,0.9785712957382202
LYVE1,NR3C1,P04150,0.9766242504119873
LYVE1,KDR,P35968,0.9763599634170532
LYVE1,ABL1,P00519,0.9754139184951782
LYVE1,PDGFRA,P16234,0.9750651121139526
LYVE1,PIKFYVE,Q9Y2I7,0.974480390548706
LYVE1,MAP3K13,O43283,0.9741186499595642
LYVE1,FLT1,P17948,0.9738072752952576
LYVE1,DNMT1,P26358,0.973135232925415
LYVE1,ROS1,P08922,0.9725914597511292
SLC8A1,HMGCR,P04035,0.9838871955871582
SLC8A1,KCNK10,P57789,0.9825569987297058
SLC8A1,TRPV4,Q9HBA0,0.9805067777633667
SLC8A1,TRPV1,Q8NER1,0.979978084564209
SLC8A1,ADAM17,P78536,0.979114294052124
SLC8A1,PDE9A,O76083,0.9789605736732483
SLC8A1,KCNK9,Q9NPC2,0.9789271950721741
SLC8A1,IGF1R,P08069,0.9788723587989807
SLC8A1,NOS2,P35228,0.9782180190086365
SLC8A1,KDR,P35968,0.9779053926467896
HGF,PLG,P00747,0.9895886182785034
HGF,PLAT,P00750,0.9880988001823425
HGF,F11,P03951,0.9856552481651306
HGF,KLKB1,P03952,0.9856204986572266
HGF,LOXL2,Q9Y4K0,0.9834650754928589
HGF,F2,P00734,0.98287433385849
HGF,F10,P00742,0.980380654335022
HGF,MMP2,P08253,0.9795293807983398
HGF,ADAM17,P78536,0.9775865077972412
HGF,IGF1R,P08069,0.9772821664810181
