system_id,cluster,native_contact_ap,native_contact_prevalence,native_residue_only_score_ap,native_atom_permuted_score_ap,native_atom_to_residue_macro_ap,native_residue_to_atom_macro_ap,native_contact_pairs,native_pair_candidates,all_regions_contact_ap,all_regions_contact_prevalence,native_distance_mae_capped32_A,native_region_selected,regions
1ddt__1__1.A_2.A__1.B,c1769,0.6048101342283327,0.07387140902872777,0.17926343035192985,0.14187865013998788,0.5854751961595935,0.6334537557869534,108,1462,0.6048101342283327,0.04830053667262969,1.2730271816253662,True,2
1ddt__1__1.A_2.A__2.B,c1769,0.5738679583650937,0.07387140902872777,0.17978838603044972,0.13907193296926118,0.5703659991049077,0.6113393212313368,108,1462,0.5738679583650937,0.04738920579201404,1.333497405052185,True,2
1d09__1__1.A_2.A__1.E,c103,0.5425896969710584,0.16810344827586207,0.32874929714579043,0.3435830847641652,0.6169557554713804,0.6553927627340326,78,464,0.5425896969710584,0.10833333333333334,1.2168912887573242,True,2
1d09__1__1.C_2.C__2.G,c103,0.33945711529032946,0.18990384615384615,0.3980616164086987,0.3281438610541783,0.4320954308296745,0.4829955875771702,79,416,0.3380918018301446,0.1234375,1.7356191873550415,True,2
1d09__1__1.C_3.C__1.G,c103,0.27846560829611366,0.18990384615384615,0.39979736100128876,0.3550852713313989,0.3777157011794617,0.40910504988061014,79,416,0.2783865819012978,0.10286458333333333,1.9830570220947266,True,2
1d09__1__1.A_3.A__3.E,c103,0.29931790463642494,0.16810344827586207,0.3125718728293374,0.28581749263517076,0.4033832070545983,0.44130235945712143,78,464,0.2987651932301288,0.1015625,1.851396083831787,True,2
2ag6__2__2.A__2.B,c121,0.656924594731415,0.18461538461538463,0.49237369894539007,0.4091978948754935,0.749196914196914,0.7796337209798748,48,260,0.6569245947314151,0.11188811188811189,1.0791325569152832,True,2
2aix__1__2.A__2.B,c7,0.7196503657499908,0.19047619047619047,0.49783278787185037,0.40215232976980514,0.7376969471500722,0.7354288258038258,64,336,0.7191112933691569,0.125,0.8272790312767029,True,2
2ag6__1__1.A__1.B,c121,0.6359401938269904,0.18461538461538463,0.4897652116402117,0.4291292631789944,0.7407875457875457,0.7873209411670951,48,260,0.6359401938269905,0.0997920997920998,1.083953857421875,True,2
2aix__1__1.A__1.B,c7,0.7270320370135765,0.19047619047619047,0.4970106391004829,0.38786285349668487,0.7197986562049061,0.7319798365215031,64,336,0.7229367738992396,0.125,0.8349399566650391,True,2
